year,permettant_VERB en_ADP,permettant_VERB dans_ADP
1800,1.5720821977538435e-08,3.144164484325529e-09
1801,3.5717739876872656e-08,2.1430643926123594e-08
1802,5.147032311469957e-08,1.1189200677108602e-08
1803,1.950339223455444e-09,2.3404069793286908e-08
1804,7.4155526164076946e-09,7.4155526164076946e-09
1805,8.528632911009026e-09,5.685755422035754e-09
1806,0.0,1.152667650217154e-08
1807,1.4234775136401367e-08,5.693910232196231e-09
1808,6.798221985349073e-09,2.039466551195801e-08
1809,6.7770917766551975e-09,6.7770917766551975e-09
1810,0.0,1.1700633351097167e-08
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,0.0,5.3344164641089264e-09
1813,2.8757416448144113e-09,8.627225156487839e-09
1814,3.4613449884091096e-08,0.0
1815,6.203614333344376e-08,0.0
1816,9.270415546325239e-09,0.0
1817,1.71256075987003e-08,2.1796227045456362e-08
1818,5.960588467246453e-09,1.1921177378582115e-09
1819,1.8631890696951814e-08,0.0
1820,0.0,0.0
1821,1.577838126820552e-08,1.676452932031225e-08
1822,3.8097340393505874e-08,1.303330066093622e-08
1823,1.9765373782121287e-09,1.1859224713361982e-08
1824,2.863178316658832e-08,6.736890156844311e-09
1825,1.4088708866211164e-08,8.805443485471187e-09
1826,1.9377566218281572e-08,1.2331177856594877e-08
1827,1.8434546333878643e-08,1.6591091167583727e-08
1828,1.1006761724274838e-08,9.172301251858528e-10
1829,1.7146351893870815e-08,8.57317605795771e-10
1830,1.461157062010443e-08,2.2961039292113128e-08
1831,4.053713453799901e-08,1.7150327380477393e-08
1832,1.352996914505411e-08,1.2176972319366541e-08
1833,1.3900354645102198e-08,6.950177322551099e-09
1834,5.600718555598405e-09,4.667265685043276e-09
1835,1.739510224751939e-08,1.5126175867408165e-09
1836,3.427582484505365e-08,8.064899859050456e-09
1837,2.7831563720326358e-09,4.87052354003481e-09
1838,1.7042836475411605e-08,4.418513555037862e-09
1839,1.1885507689157748e-08,2.7965900706306e-09
1840,1.2739377552861697e-08,3.1848443882154243e-09
1841,1.6051371787284552e-08,7.0626033910059505e-09
1842,1.408735705865638e-08,5.366612043644636e-09
1843,1.1813821920725331e-08,1.2995204023980023e-08
1844,2.4698525891153622e-08,3.2931368743049916e-09
1845,2.0646844234306627e-08,1.2276501593078137e-08
1846,2.6930706553685013e-08,1.5221703009160592e-08
1847,1.5101026207275936e-08,2.6966118227278457e-09
1848,1.045878850192139e-08,1.448139919091318e-08
1849,1.3407063903514427e-08,7.54147322368226e-09
1850,1.2899092460827433e-08,8.146795238417326e-09
1851,2.0638204034639784e-08,4.514607354622058e-09
1852,1.8229528109259263e-08,4.557382027314816e-09
1853,2.9262466227919504e-08,2.09017620989016e-08
1854,2.3900057044556888e-08,1.0391328908454511e-09
1855,2.4411910715116392e-08,6.8990182455763716e-09
1856,1.2425253714809514e-08,1.0354378687793542e-08
1857,2.2943092758964667e-08,7.810414537345878e-09
1858,2.202154192332273e-08,1.4191660291373864e-08
1859,2.64793023063703e-08,6.110608019582742e-09
1860,1.4189270203246451e-08,6.865775947773045e-09
1861,1.5091083938045813e-08,6.6023493339173456e-09
1862,1.1746764450037972e-08,5.873382225018986e-09
1863,1.2986014041871385e-08,2.9967726078439227e-09
1864,1.3904711160250827e-08,1.9178911792039344e-09
1865,1.97687466396701e-08,1.3179164426446732e-08
1866,1.4596838404656864e-08,1.4596839292835284e-09
1867,2.038180824115443e-08,8.73506067478047e-09
1868,1.2843672791973404e-08,6.915823469455518e-09
1869,1.70923168951731e-08,8.30198221279943e-09
1870,1.834895613228582e-08,6.307453670473251e-09
1871,1.274541272522356e-08,8.496941816815706e-09
1872,2.116568786902917e-08,2.1770421909650395e-08
1873,1.7958013742713774e-08,1.7958013742713774e-08
1874,2.9275584623178474e-08,7.169530746864439e-09
1875,2.1169650921137873e-08,7.437985338754061e-09
1876,3.748529309177684e-08,1.5115036333668286e-08
1877,2.4120781816350245e-08,4.9478527941460015e-09
1878,3.200716847118201e-08,8.4547240319921e-09
1879,2.5659165459046562e-08,9.163987790827832e-09
1880,1.9895322722618403e-08,7.701415505323439e-09
1881,3.69542902944886e-08,1.673401861523871e-08
1882,2.6621540527571597e-08,1.1314154946262533e-08
1883,2.274962085380139e-08,1.1374810426900694e-08
1884,3.895001299270007e-08,9.902545450302114e-09
1885,4.447488777259423e-08,1.160214413431504e-08
1886,5.420909587883216e-08,1.4842966855610484e-08
1887,3.9173546184656516e-08,2.7421483750345033e-08
1888,4.1848057463766963e-08,2.9166827175686194e-08
1889,2.255449160770695e-08,1.566284169030041e-08
1890,3.4082809463598096e-08,2.0318598359381213e-08
1891,5.099376210182527e-08,1.7210394887001712e-08
1892,2.7581453565517222e-08,1.9432388143059143e-08
1893,4.187723234849727e-08,1.4780200174868696e-08
1894,5.041231432301174e-08,1.5123694296903523e-08
1895,2.467631965430428e-08,1.8055843042930064e-08
1896,5.071444775239797e-08,2.5357223876198987e-08
1897,3.8456310136325556e-08,2.0976168357833558e-08
1898,5.318853624203257e-08,1.6975064909274806e-08
1899,5.472302433418008e-08,2.984892333302014e-08
1900,5.6582479146527476e-08,1.2977633190303095e-08
1901,5.9240633731860726e-08,3.353243371861936e-08
1902,2.739938338436332e-07,4.4192553616539954e-08
1903,5.508224631967096e-08,2.430099144135056e-08
1904,3.869730136329963e-08,2.364835083312755e-08
1905,4.18021492976095e-08,2.4255568220610257e-08
1906,4.3211148437194424e-08,1.2346042410626978e-08
1907,4.937129460813594e-08,1.8514235478050978e-08
1908,6.630375537497457e-08,3.241516921548282e-08
1909,4.400786934866119e-08,2.0353638774395222e-08
1910,5.2907090264397993e-08,2.0842188419578633e-08
1911,4.8947441655400326e-08,2.7665945978583295e-08
1912,6.876435776348444e-08,2.8651816919023076e-08
1913,7.901454779357664e-08,1.96210621083992e-08
1914,6.897646187553619e-08,1.9420557606508737e-08
1915,5.183535378705528e-08,2.1205371680821372e-08
1916,5.383856560570166e-08,3.076489463182952e-08
1917,6.579854527899442e-08,2.9609346086090227e-08
1918,7.581008532042688e-08,2.2972752589112133e-08
1919,7.274200441997891e-08,2.762354434082681e-08
1920,6.815008646299248e-08,1.590168707821249e-08
1921,7.64847456480311e-08,3.862101038976107e-08
1922,7.156597092716765e-08,1.1066902949607993e-08
1923,7.006525493125082e-08,3.078624999375279e-08
1924,5.285566118118368e-08,2.5783249313349188e-08
1925,7.148815939217457e-08,2.639562701745035e-08
1926,7.57937428375044e-08,3.566764306128789e-08
1927,7.358488574027433e-08,3.7907366134959375e-08
