year,doit_VERB étendre_VERB,doit_VERB etendre_VERB,doit_VERB détendre_VERB
1800,1.2262241000371432e-07,0.0,3.144164484325529e-09
1801,1.5239568540437176e-07,0.0,2.3811825844433088e-09
1802,1.3650824826072494e-07,0.0,2.2378401354217203e-09
1803,1.4432509942707838e-07,0.0,1.950339223455444e-09
1804,1.97748079244775e-07,2.4718509461507665e-09,2.4718509461507665e-09
1805,2.0753007845542015e-07,2.842877711017877e-09,5.685755422035754e-09
1806,8.933174200365102e-08,0.0,2.881669125542885e-09
1807,1.3380689267705748e-07,0.0,0.0
1808,7.931259204951857e-08,0.0,4.5321479902327155e-09
1809,1.197286110254936e-07,4.518061036407062e-09,0.0
1810,1.193464669313471e-07,0.0,2.3401267590372754e-09
1811,6.267691787797958e-08,5.0141535368197765e-09,2.5070767684098882e-09
1812,9.868670503010435e-08,0.0,0.0
1813,1.2653262615458516e-07,0.0,2.8757416448144113e-09
1814,5.664018942752591e-08,0.0,3.1466771410748606e-09
1815,8.091670622434322e-08,2.697223555614414e-09,5.394447111228828e-09
1816,9.733936678912869e-08,0.0,2.3176038865813098e-09
1817,9.963989811012652e-08,0.0,0.0
1818,8.821671571013212e-08,0.0,3.5763532135746345e-09
1819,7.24573467891787e-08,0.0,1.035105001712111e-09
1820,1.044250339532482e-07,1.1866481131050932e-09,1.1866481131050932e-09
1821,9.762873531826699e-08,9.86148829262845e-10,0.0
1822,1.1529458276982041e-07,0.0,0.0
1823,9.289725966254991e-08,0.0,1.9765373782121287e-09
1824,9.431646219582035e-08,8.421112696055388e-10,4.210556348027694e-09
1825,9.069606221601134e-08,0.0,1.7610886082763955e-09
1826,1.35642963527971e-07,1.7615968683770689e-09,2.642395191543301e-09
1827,1.3457218983603525e-07,9.217273055917019e-10,3.6869092223668076e-09
1828,1.1098484264948638e-07,9.172301251858528e-10,0.0
1829,1.3802812759422523e-07,8.57317605795771e-10,8.57317605795771e-10
1830,1.763825281386744e-07,0.0,0.0
1831,8.731075240575592e-08,0.0,1.5591206103948707e-09
1832,5.682587200794842e-08,0.0,0.0
1833,8.108539617524002e-08,0.0,1.1583628500844156e-09
1834,5.600718466780563e-08,0.0,9.334530925997342e-10
1835,7.865611451052246e-08,0.0,7.563087933704082e-10
1836,8.064900214321824e-08,0.0,1.3441500135158435e-09
1837,9.880205453782764e-08,0.0,3.478945576063097e-09
1838,7.890202624594167e-08,0.0,6.312161904276081e-10
1839,1.2025337525756186e-07,0.0,2.7965900706306e-09
1840,8.471685930544481e-08,0.0,0.0
1841,8.410918894696806e-08,0.0,1.926164561183441e-09
1842,1.1471133376517173e-07,0.0,1.341653010911159e-09
1843,8.683159080646874e-08,0.0,5.906911071384968e-10
1844,9.714753446132818e-08,0.0,1.097712254427563e-09
