year,est_VERB en_ADP,est_VERB dans_ADP
1800,8.012588659767061e-05,5.7050863688346e-05
1801,7.804326014593244e-05,5.152402809471823e-05
1802,8.012810576474294e-05,5.2569102990673855e-05
1803,8.20527202449739e-05,5.460949978441931e-05
1804,7.760622975183651e-05,5.642246833303943e-05
1805,7.60412949603051e-05,4.924716995446943e-05
1806,7.141352398321033e-05,5.002001125831157e-05
1807,7.662579446332529e-05,5.2344115829328075e-05
1808,7.359528535744175e-05,4.772805186803453e-05
1809,7.188913150457665e-05,4.914068995276466e-05
1810,6.479577132267877e-05,4.450452979654074e-05
1811,7.123607792891562e-05,4.5430737372953445e-05
1812,7.705831376370043e-05,4.356617864686996e-05
1813,7.450184057233855e-05,4.772293323185295e-05
1814,6.868566561024636e-05,4.0998056647367775e-05
1815,6.590126577066258e-05,4.239765621605329e-05
1816,7.277971599251032e-05,4.503799573285505e-05
1817,7.833875861251727e-05,4.839073881157674e-05
1818,6.660958024440333e-05,4.586076829582453e-05
1819,6.922161264810711e-05,4.847707168664783e-05
1820,6.399000267265365e-05,4.2656440200516954e-05
1821,6.850479985587299e-05,4.6383509470615536e-05
1822,6.960584869375452e-05,4.525061740423553e-05
1823,6.312862387858331e-05,3.901091986335814e-05
1824,6.500930612673983e-05,3.906301571987569e-05
1825,6.443206802941859e-05,4.021005588583648e-05
1826,6.480034062406048e-05,3.983234637416899e-05
1827,6.504444900201634e-05,3.986194133176468e-05
1828,6.973792187636718e-05,4.327950227889232e-05
1829,6.989710527705029e-05,3.969037425122224e-05
1830,6.944878987269476e-05,4.180161340627819e-05
1831,7.627061859238893e-05,4.293662277632393e-05
1832,7.02070101397112e-05,4.260181594872847e-05
1833,7.34193527023308e-05,3.9694779843557626e-05
1834,7.291855581570417e-05,4.1925111872842535e-05
1835,7.177899533417076e-05,4.190177787677385e-05
1836,7.090660074027255e-05,3.927337456843816e-05
1837,7.181100227171555e-05,3.868587373290211e-05
1838,6.693542673019692e-05,3.604749508667737e-05
1839,7.028180698398501e-05,3.579425538191572e-05
1840,7.172842742875218e-05,4.027426621178165e-05
1841,7.352170359808952e-05,4.041863576276228e-05
1842,6.902536551933736e-05,3.88388434657827e-05
1843,7.328350329771638e-05,4.115640331292525e-05
1844,7.02771867509e-05,3.725854912772775e-05
1845,6.986891821725294e-05,3.838750490103848e-05
1846,7.369470404228196e-05,3.887447383021936e-05
1847,6.7432556534186e-05,3.8130630855448544e-05
1848,6.87842330080457e-05,3.832502261502668e-05
1849,7.020106568234041e-05,3.6968303902540356e-05
1850,7.059130439301953e-05,3.7708799936808646e-05
1851,6.987128290347755e-05,3.8750164094381034e-05
1852,7.119151268852875e-05,3.963359631597996e-05
1853,7.298596756299958e-05,4.02382793254219e-05
1854,7.104915130184963e-05,3.966785880038515e-05
1855,7.070857100188732e-05,3.752535121748224e-05
1856,7.468302646884695e-05,4.112345050089061e-05
1857,7.280526915565133e-05,3.814313458860852e-05
1858,7.262948929565027e-05,3.904859840986319e-05
1859,7.346019992837682e-05,3.752727934625e-05
1860,7.064288365654647e-05,3.628196282079443e-05
1861,7.668157195439562e-05,3.948016092181206e-05
1862,7.559178629890084e-05,3.9144735637819394e-05
1863,7.34543937142007e-05,3.866535917040892e-05
1864,7.658379036001861e-05,3.8758182199671865e-05
1865,7.533445750596002e-05,3.727302828337997e-05
1866,7.533331518061459e-05,3.7425321352202445e-05
1867,7.858982280595228e-05,3.6104433092987165e-05
1868,7.891596760600805e-05,3.532849586918019e-05
1869,7.961357187014073e-05,3.6861289117950946e-05
1870,7.77542736614123e-05,3.698461296153255e-05
1871,7.665091106900945e-05,3.363089490449056e-05
1872,7.85428419476375e-05,3.6500528949545696e-05
1873,8.031841571209952e-05,3.41950508300215e-05
1874,7.994863699423149e-05,3.3057513064704835e-05
1875,7.934785389807075e-05,3.489616574370302e-05
1876,8.304261427838355e-05,3.5814173315884545e-05
1877,7.875744631746784e-05,3.389155608601868e-05
1878,7.975100015755743e-05,3.423740417929366e-05
1879,7.856225420255214e-05,3.422566078370437e-05
1880,7.726765761617571e-05,3.2966549042612314e-05
1881,7.937502959975973e-05,3.2629941415507346e-05
1882,8.197504212148488e-05,3.249425208196044e-05
1883,8.143289596773684e-05,3.1991021387511864e-05
1884,8.204655023291707e-05,3.094677595072426e-05
1885,8.09307603049092e-05,3.059485607082024e-05
1886,8.093869837466627e-05,2.9214830647106282e-05
1887,8.376675395993516e-05,3.082435796386562e-05
1888,8.219085430027917e-05,2.9154780349927023e-05
1889,8.228129445342347e-05,3.0114006221992895e-05
1890,8.287300443043932e-05,3.005251710419543e-05
1891,8.539606642443687e-05,3.0821902328170836e-05
1892,8.456662180833519e-05,2.9432545488816686e-05
1893,8.509084000252187e-05,2.9679873478016816e-05
1894,8.487354352837428e-05,2.8151496735517867e-05
1895,8.24935341370292e-05,2.834827682818286e-05
1896,8.389349386561662e-05,2.776969995466061e-05
1897,8.555829845136032e-05,2.793151725200005e-05
1898,8.487928425893188e-05,2.838457112375181e-05
1899,8.395009353989735e-05,2.892029078793712e-05
1900,8.512185013387352e-05,2.762730400718283e-05
1901,8.7084285041783e-05,2.7678230253513902e-05
1902,9.747011790750548e-05,2.849634074664209e-05
1903,8.615241677034646e-05,2.7162568585481495e-05
1904,8.601818990428001e-05,2.6768320822156966e-05
1905,8.531766798114404e-05,2.653094634297304e-05
1906,8.496803638990968e-05,2.6610867280396633e-05
1907,8.617862476967275e-05,2.6929985324386507e-05
1908,8.505592995788902e-05,2.7639824111247435e-05
1909,8.642375178169459e-05,2.7850379410665482e-05
1910,8.443972183158621e-05,2.728723302425351e-05
1911,8.471152978017926e-05,2.6917901777778752e-05
1912,8.516987145412713e-05,2.6963964046444744e-05
1913,8.634381083538756e-05,2.639669219206553e-05
1914,8.524084114469588e-05,2.5935818484867923e-05
1915,8.251363760791719e-05,2.4132890757755376e-05
1916,8.474519563606009e-05,2.5403012841707096e-05
1917,8.327573596034199e-05,2.4909137209760956e-05
1918,8.248366793850437e-05,2.4315510017913766e-05
1919,8.109720511129126e-05,2.4889734049793333e-05
1920,8.552229701308534e-05,2.5956096578738652e-05
