year,rendant_VERB en_ADP,rendant_VERB dans_ADP
1800,2.421006684016902e-07,1.6978488304175698e-07
1801,1.7620750725200196e-07,1.6430159632818686e-07
1802,3.7819498288627074e-07,5.370816325012129e-08
1803,1.2287136996746995e-07,7.411289004721766e-08
1804,2.076354803648428e-07,4.2021465418429216e-08
1805,1.9331568523739406e-07,8.52863308864471e-08
1806,2.1324350996110297e-07,1.0950342499427279e-07
1807,2.1067468480850948e-07,1.537355700520493e-07
1808,2.1754310353117035e-07,8.837688625362716e-08
1809,3.0496912017952127e-07,1.7620438086396462e-07
1810,1.9189039335287816e-07,1.3572734758326988e-07
1811,1.9805906958936248e-07,1.3036799373367103e-07
1812,1.226915742336132e-07,1.0402111882967802e-07
1813,2.415623043816595e-07,7.764502640839055e-08
1814,1.9824065589091333e-07,4.090680150170556e-08
1815,2.6163067445850174e-07,1.6453063267363177e-07
1816,3.175117342379963e-07,1.0892738089296472e-07
1817,1.6814232139950036e-07,1.2610674104962527e-07
1818,2.0504424469436344e-07,1.0490636270787945e-07
1819,1.542306478086175e-07,9.108924103884419e-08
1820,2.3970292772901303e-07,9.730514705097448e-08
1821,2.0018821089706762e-07,1.065040748926549e-07
1822,2.0753024898567674e-07,5.81485721795616e-08
1823,2.529967844111525e-07,1.1859224002819246e-07
1824,2.4421225930382207e-07,1.3221146843989118e-07
1825,2.562383940585278e-07,1.2327620879659662e-07
1826,3.523193754517706e-07,7.310627125889368e-08
1827,2.2951009270855138e-07,1.5208500769858802e-07
1828,1.770254129951354e-07,1.6051527040872315e-07
1829,1.9032451348266477e-07,7.630126930280312e-08
1830,2.870129947041278e-07,1.1480519646056564e-07
1831,1.9489007740958186e-07,2.1671776551102084e-07
1832,3.138952990866528e-07,1.5018265742128278e-07
1833,2.3630602186131e-07,1.8649642186119308e-07
1834,2.3056291809098184e-07,1.3161688627860713e-07
1835,2.2235478525090002e-07,1.8075780872095493e-07
1836,2.50011908065062e-07,1.3374292961998435e-07
1837,2.379598669222105e-07,1.502904467542976e-07
1838,1.9504579995555105e-07,1.2750567179864447e-07
1839,2.614811762668978e-07,1.370329130168102e-07
1840,2.809032650930021e-07,1.229349919640299e-07
1841,2.1637248437400558e-07,1.3804179843646125e-07
1842,2.4485166250087786e-07,1.1471133376517173e-07
1843,3.012524700807262e-07,1.222730645622505e-07
1844,2.9144260338398453e-07,1.6026598359530908e-07
1845,2.539003673973639e-07,1.5568835465273878e-07
1846,2.663797999957751e-07,1.4519163471504726e-07
1847,3.1334630534729513e-07,1.1919023990003552e-07
1848,3.137636497285712e-07,1.713632258315556e-07
1849,3.44393953355393e-07,1.5837093769732746e-07
1850,2.57302957606953e-07,1.5071570658165e-07
1851,2.824854163918644e-07,1.709101269398161e-07
1852,3.6133528169557394e-07,1.966184726143183e-07
1853,2.5559867822266824e-07,1.606449728797088e-07
1854,2.940745957857871e-07,1.6989822881896544e-07
1855,3.136399868708395e-07,1.1250706677401467e-07
1856,2.676606811746751e-07,1.7084724390770134e-07
1857,2.9972466109029483e-07,1.2643108959764504e-07
1858,3.268975490300363e-07,1.492571186645364e-07
1859,4.221411700200406e-07,1.919749337275789e-07
1860,2.5769546141418687e-07,1.867491050688841e-07
1861,3.2823106721480144e-07,1.9476929935535736e-07
1862,2.7559715931602113e-07,1.296662048844155e-07
1863,2.7320575668454694e-07,1.9379129412300244e-07
1864,2.0952961676812265e-07,1.5534918418325105e-07
1865,2.3063537923917465e-07,1.5391381680274208e-07
1866,2.525252966734115e-07,2.1506009773020196e-07
1867,2.3681720051627053e-07,1.232614152968381e-07
1868,2.1982440046031115e-07,1.951250254705883e-07
1869,2.544313417729427e-07,1.4357546262999676e-07
1870,2.729407242441084e-07,1.2844269292600075e-07
1871,3.281943747879268e-07,1.5931766483845422e-07
1872,2.866438819637551e-07,1.457408700389351e-07
1873,2.7595481810749334e-07,1.2989629283310933e-07
1874,2.6945485842588823e-07,1.4757284816369065e-07
1875,3.1868907512944133e-07,1.310229720274947e-07
1876,2.7267526547802845e-07,1.6021938620269793e-07
1877,2.473926485890843e-07,1.3853987468337436e-07
1878,2.536417298415472e-07,1.666788449483647e-07
1879,2.7064311325375456e-07,1.3562701894898055e-07
1880,2.791763051845919e-07,2.3104246338334633e-07
1881,2.837810484379588e-07,1.736154331410944e-07
1882,3.0015786478543305e-07,1.8036094218132348e-07
1883,3.633619769516372e-07,1.807330960446052e-07
1884,3.657340243989893e-07,1.5910089246062853e-07
1885,2.4235589535237523e-07,1.4889418764596485e-07
1886,3.291266637006629e-07,1.5230175165470428e-07
1887,2.9771896947750065e-07,1.4037188122983935e-07
1888,3.436613269514055e-07,1.490044496677001e-07
1889,2.5436455075578124e-07,1.6539961222861166e-07
1890,2.66763521494795e-07,1.5796071295426373e-07
1891,2.7026692350773374e-07,1.4788190583203686e-07
1892,3.1154505109043384e-07,1.542054093306433e-07
1893,2.900614219925046e-07,1.7058813739367906e-07
