year,voyant_VERB en_ADP,voyant_VERB dans_ADP
1800,5.376521432509662e-07,8.48924436525067e-07
1801,5.429096194831118e-07,1.1143934663948585e-06
1802,4.3414098627181374e-07,9.913631799918221e-07
1803,4.778331179622342e-07,1.0687858469360378e-06
1804,5.660538704432838e-07,1.045592912696236e-06
1805,4.434889344651083e-07,1.0490219002345924e-06
1806,3.602086451337527e-07,9.567141239230637e-07
1807,3.957267722398683e-07,9.480360363411933e-07
1808,4.3282012063272646e-07,8.475117017070488e-07
1809,4.5632417844387874e-07,9.555699058694245e-07
1810,4.493043346265324e-07,1.139641746306097e-06
1811,5.891630188159525e-07,9.902953017615346e-07
1812,4.294205169230736e-07,1.2589223401526795e-06
1813,4.68745876336385e-07,9.92130921417811e-07
1814,4.4368147200657404e-07,1.3436311725456562e-06
1815,4.531335662250058e-07,8.873865438019379e-07
1816,5.608601458817475e-07,1.0591449424168786e-06
1817,5.978393744499044e-07,1.0368776699465343e-06
1818,6.747386480654427e-07,1.316097954173756e-06
1819,6.748884544549583e-07,1.051666686180397e-06
1820,8.401468782892607e-07,1.3717652267430935e-06
1821,7.751130066679934e-07,1.1754893964877056e-06
1822,8.271133111747986e-07,1.0767511327003376e-06
1823,1.1295910589126379e-06,1.0011161641898525e-06
1824,9.726385172825758e-07,1.178113713251605e-06
1825,7.035548765799149e-07,1.2045846276009797e-06
1826,9.477390907619565e-07,1.1441571210468737e-06
1827,6.074183138693456e-07,1.0701254034017893e-06
1828,6.090408053438523e-07,1.167633934429091e-06
1829,4.852417525569308e-07,1.1016531509255856e-06
1830,5.625454393420881e-07,9.894120367448522e-07
1831,4.271990521331759e-07,1.0368151528439284e-06
1832,4.6407795828429244e-07,1.1446354371003054e-06
1833,5.316885580697317e-07,1.1317205199645741e-06
1834,5.152661088914101e-07,1.0025286769632658e-06
1835,6.776526930707405e-07,1.0936224654756188e-06
1836,9.328401215924487e-07,1.1969655737686935e-06
1837,7.444943079804034e-07,1.0200267883675451e-06
1838,8.767592820646541e-07,1.0957913065823277e-06
1839,7.061390157048208e-07,1.0543144099983692e-06
1840,6.255034348257027e-07,1.23763051007586e-06
1841,4.99518693075629e-07,1.1595510294171163e-06
1842,6.755222692333973e-07,9.7605257565192e-07
1843,5.788772590165081e-07,1.0567463739619143e-06
1844,6.108768451085211e-07,1.128997016763833e-06
1845,5.278895525151484e-07,1.2254180319359875e-06
1846,4.5430931283618747e-07,1.0947916919690215e-06
1847,4.7136775727096847e-07,9.788701049728843e-07
1848,5.148941752963765e-07,8.729065612556042e-07
1849,3.745598560200847e-07,9.292771352420459e-07
1850,5.268260885316067e-07,9.905144899846619e-07
1851,5.462674721457006e-07,9.113057117815515e-07
1852,4.524829151364429e-07,1.0071813392187323e-06
1853,4.640191155758089e-07,1.1352642985684724e-06
1854,6.484189132294205e-07,1.0573176716377475e-06
1855,5.853551634515952e-07,1.0353833772569487e-06
1856,4.763014000985777e-07,9.712406736639423e-07
1857,7.663969050497599e-07,1.0304866187027528e-06
1858,6.802209462364317e-07,1.179375901827484e-06
1859,5.693049889288204e-07,9.95010656978934e-07
1860,5.433117369335605e-07,1.101270409975541e-06
1861,5.753475713632383e-07,1.0601486444272723e-06
1862,5.96826001952877e-07,1.064889360691268e-06
1863,5.569002219374397e-07,1.0703472987927398e-06
1864,5.792031307905177e-07,1.0481275012352853e-06
1865,5.558783389147948e-07,1.0868103288430575e-06
1866,5.561395752806675e-07,9.084099144018865e-07
1867,4.663551855799142e-07,8.992259807882874e-07
1868,4.989272888167307e-07,9.321542329132626e-07
1869,4.947005010080829e-07,9.977029993279984e-07
1870,4.805132860496997e-07,9.134339791216917e-07
1871,4.652075684674628e-07,7.923398008813365e-07
1872,4.940676063824867e-07,9.421754398886151e-07
1873,5.052187823650911e-07,7.745889760712998e-07
1874,4.445109116346657e-07,8.728903750920836e-07
1875,4.4227404316643515e-07,8.124568751100014e-07
1876,4.0326919670263806e-07,6.620386177047521e-07
1877,5.349865848103263e-07,8.510306876985396e-07
1878,4.4387302366999393e-07,7.609251788665006e-07
1879,5.082958596247522e-07,7.563344652794513e-07
1880,3.587576085095634e-07,8.144247161112617e-07
1881,3.576896272505792e-07,7.272325479590336e-07
1882,4.306034142587123e-07,8.099603796551946e-07
1883,4.1960410968044926e-07,6.957592209033692e-07
1884,3.762967386577998e-07,6.291417271597766e-07
1885,3.5966647349283676e-07,5.833300260604801e-07
1886,3.542951585444598e-07,6.253406290568364e-07
1887,3.362396157058356e-07,6.698676759953059e-07
1888,3.76632513621189e-07,7.260003780373836e-07
1889,3.345583037273059e-07,6.810203423412986e-07
1890,3.408281017414083e-07,6.154568907845714e-07
1891,3.55681491370774e-07,6.061882995567203e-07
1892,3.6043945783603704e-07,6.356271597951491e-07
1893,3.448713252751645e-07,5.992139371358007e-07
1894,3.6359880617453655e-07,5.683988639759718e-07
1895,2.816711694997309e-07,6.512140693359925e-07
1896,3.6148788495893314e-07,5.684735739919233e-07
1897,2.6161942656699466e-07,5.605298305511042e-07
1898,3.6835889893893636e-07,6.263798688621591e-07
1899,3.5100123341180733e-07,5.908981108859734e-07
1900,2.8187418354974625e-07,5.544044636707213e-07
1901,2.4869888370915305e-07,5.834643559410324e-07
1902,2.2931025345229727e-07,4.772795865193302e-07
1903,2.8081144609615194e-07,5.567626839564355e-07
1904,2.8216782066436963e-07,4.5899299916385417e-07
1905,2.446199816041883e-07,5.444600787996023e-07
1906,3.0556456032115875e-07,5.807784102529467e-07
1907,2.9211349961144606e-07,5.651984977816937e-07
1908,2.6865297453326775e-07,5.559692297651964e-07
1909,3.0200399248059284e-07,4.983891113141681e-07
1910,2.468997508664472e-07,5.456377678569879e-07
1911,3.144341036431797e-07,4.772375543637963e-07
1912,2.849553393247106e-07,5.303190828698234e-07
1913,2.9537653833955346e-07,5.356019894264819e-07
1914,3.080502208874236e-07,5.250246815080573e-07
1915,2.6742328840256846e-07,4.782989453389064e-07
1916,2.669953271805525e-07,4.680658705069618e-07
1917,2.2590833825830714e-07,4.792327494840265e-07
1918,3.2276718542334493e-07,4.847250849593365e-07
1919,2.5597818176237297e-07,4.6775870110593587e-07
1920,3.1121872723360866e-07,4.861372655540208e-07
1921,2.74133444833069e-07,4.528503030343245e-07
1922,3.069221197193883e-07,5.164554686132306e-07
1923,3.598806284088596e-07,5.711380168804681e-07
1924,3.5709800449978957e-07,5.530506754780617e-07
1925,4.124316710374387e-07,5.400105109742981e-07
1926,3.38842619740376e-07,5.43931543361964e-07
1927,3.210976711187641e-07,5.329329297865115e-07
1928,3.5306468060269935e-07,4.924623819846374e-07
1929,3.353262219008002e-07,5.67046704702534e-07
1930,2.709929685096313e-07,5.283312489723357e-07
1931,2.4863677428044184e-07,5.155221174391045e-07
1932,2.794681890350148e-07,5.008508168202752e-07
1933,3.028254731418656e-07,4.8406195318762e-07
1934,2.827652991754803e-07,5.068208519531936e-07
1935,2.69286383414169e-07,4.895028329343631e-07
1936,2.667437168923925e-07,4.619516253967504e-07
1937,2.341947995532223e-07,5.174949677666518e-07
1938,3.04682538754264e-07,5.302772798643218e-07
1939,2.951751723045959e-07,4.481156885560722e-07
1940,2.3075625055213322e-07,4.234757433607683e-07
1941,3.0105327741836163e-07,4.279678762486583e-07
1942,3.367975178747429e-07,4.399606972071979e-07
1943,3.1064616123899214e-07,4.993564619582003e-07
1944,2.3777577418115925e-07,4.4020650769027725e-07
1945,3.0934757155876014e-07,5.6205405130072e-07
1946,2.9512742472093123e-07,5.415309338729912e-07
1947,3.8385203637858467e-07,6.425349248218026e-07
1948,2.7397158319786286e-07,5.066299646472316e-07
1949,2.5818732307669734e-07,5.055759046967978e-07
1950,3.211879224807035e-07,5.285774520302766e-07
1951,2.558736351687685e-07,5.671865590528569e-07
1952,2.8998210588326856e-07,4.534265691802375e-07
1953,3.3183387415647303e-07,5.203758348670817e-07
1954,2.8144904717919417e-07,5.922157164661712e-07
1955,2.6561271049274637e-07,5.162084484311436e-07
1956,2.2238910979410775e-07,4.753022206926971e-07
1957,2.394295279817271e-07,4.6472299430888597e-07
1958,3.0193689770641186e-07,5.087429713057645e-07
