year,faudrait_VERB étendre_VERB,faudrait_VERB détendre_VERB
1800,9.432493897065797e-09,0.0
1801,3.095537337571841e-08,0.0
1802,2.9091921760482364e-08,2.2378401354217203e-09
1803,3.900678446910888e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,2.55858996212055e-08,0.0
1806,5.76333825108577e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,1.3596443970698147e-08,0.0
1809,0.0,0.0
1810,2.3401266702194334e-08,0.0
1811,1.504245972228091e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,3.738464116054274e-08,2.8757416448144113e-09
1814,1.5733386149463513e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,9.536941902865692e-09,0.0
1819,7.24573512300708e-09,0.0
1820,2.7292905713238724e-08,0.0
1821,4.930744257336528e-09,9.86148829262845e-10
1822,3.308453244699194e-08,2.0051231786055723e-09
1823,2.7671523739059012e-08,0.0
1824,1.6000115010683658e-08,0.0
1825,7.924898959288385e-09,0.0
1826,8.80798456392995e-09,2.642395191543301e-09
1827,4.608636672287503e-08,0.0
1828,1.4675682002973645e-08,0.0
1829,1.0287811491593857e-08,0.0
1830,4.174734158368665e-08,0.0
1831,4.053713453799901e-08,0.0
1832,5.411987746839486e-09,0.0
1833,5.791814139399776e-09,0.0
1834,1.5868701908061666e-08,9.334530925997342e-10
1835,2.4201881387853064e-08,0.0
1836,3.49478987970997e-08,0.0
1837,1.3219993100221927e-08,0.0
1838,3.597932263232906e-08,0.0
1839,2.3771015378315496e-08,0.0
1840,1.8472096741106725e-08,1.2739377330817092e-09
1841,4.1091510638580075e-08,6.420548537278137e-10
1842,1.9453969102301016e-08,0.0
1843,1.063243981747064e-08,0.0
1844,4.8848196598783034e-08,5.488561272137815e-10
1845,3.1807299905040054e-08,0.0
1846,3.2785209214125643e-08,1.1709002656346001e-09
1847,4.314578916364553e-08,0.0
1848,1.287235473768078e-08,0.0
1849,1.5920887719289567e-08,0.0
1850,1.4935791270431764e-08,0.0
1851,2.902247508984601e-08,6.449438760824933e-10
1852,3.971432604998881e-08,0.0
1853,2.329053394589664e-08,0.0
1854,7.79349651480743e-09,0.0
1855,3.131092896069276e-08,0.0
1856,5.177189343896771e-09,5.177189232874468e-10
1857,8.298565390418844e-09,0.0
1858,1.8106600663259087e-08,0.0
1859,1.7313389832906978e-08,0.0
1860,2.4259074749011234e-08,0.0
1861,3.206855225812433e-08,0.0
1862,1.7168348520613108e-08,0.0
1863,3.596127129412707e-08,0.0
1864,2.4932585773740357e-08,0.0
1865,3.671338433264282e-08,0.0
1866,2.432806489593986e-08,0.0
1867,5.580733386523207e-08,0.0
1868,3.2603168165223906e-08,0.0
1869,3.271957993433716e-08,0.0
1870,3.096386436141074e-08,5.734048791339319e-10
1871,4.991953161948004e-08,0.0
1872,3.0236694925633856e-08,0.0
1873,2.9331422624068182e-08,0.0
1874,2.2106053876314036e-08,0.0
1875,2.7463329388410784e-08,0.0
1876,2.7811667635546655e-08,0.0
1877,3.463496867084359e-08,0.0
1878,2.113680963589104e-08,0.0
1879,2.932476128592043e-08,0.0
1880,2.631317030932223e-08,0.0
1881,2.5101027034679646e-08,0.0
1882,2.4624924321869912e-08,0.0
1883,2.338155447034751e-08,0.0
1884,3.3668655419205606e-08,0.0
1885,1.933690718658454e-08,0.0
1886,2.0005737511041843e-08,0.0
1887,1.3710741875172516e-08,0.0
1888,3.043495055976564e-08,6.340614699951175e-10
1889,2.6940087494153886e-08,4.385595886446936e-09
1890,3.4082809463598096e-08,0.0
1891,1.9122660788184476e-08,6.374220040683554e-10
1892,3.63573704476039e-08,0.0
1893,3.7566341148931315e-08,0.0
1894,1.0082462864602348e-08,3.150769645188234e-09
1895,3.069493459406658e-08,0.0
1896,2.0049897742069334e-08,0.0
1897,3.1464253424928756e-08,0.0
1898,2.546259736391221e-08,0.0
1899,4.0351324059884064e-08,0.0
1900,1.661137005726232e-08,0.0
1901,2.6267072072982955e-08,0.0
1902,2.3078333910575566e-08,0.0
1903,3.0781254878320397e-08,0.0
1904,3.654745128756076e-08,2.6873125946735854e-09
1905,1.8062657147766004e-08,5.160759042333041e-10
1906,2.777859720026754e-08,6.173021205313489e-09
1907,3.291419758966185e-08,5.142843373384665e-10
1908,3.1432890068572306e-08,0.0
1909,3.355599886845084e-08,0.0
1910,3.099607326362275e-08,5.344150677544235e-10
1911,4.203095471666529e-08,0.0
1912,2.031674206648404e-08,0.0
1913,2.5454351515463713e-08,0.0
1914,2.74566485103378e-08,6.696743715117748e-10
1915,3.7698438148936475e-08,0.0
1916,4.614734194774428e-08,0.0
1917,4.276905585243185e-08,0.0
1918,3.790504266021344e-08,0.0
1919,4.880159565345821e-08,0.0
1920,2.3473917920568965e-08,0.0
1921,3.256281289054641e-08,0.0
1922,2.7298360905092522e-08,7.377935484775833e-10
1923,1.4862327368803108e-08,0.0
1924,1.5469948877466777e-08,0.0
1925,2.3096173862313663e-08,0.0
1926,2.229227646921572e-08,0.0
1927,2.4528294062520217e-08,0.0
1928,2.0566874425753667e-08,0.0
1929,3.342121956961819e-08,0.0
1930,2.7309368988426286e-08,0.0
1931,2.6232321204133768e-08,0.0
1932,2.301502632917618e-08,0.0
1933,1.605892663292252e-08,0.0
1934,3.2350264689284813e-08,0.0
1935,1.6755597798123745e-08,0.0
1936,4.00115567344983e-08,1.2124714565686645e-09
1937,2.5182236740306507e-08,0.0
1938,3.3709557811789637e-08,0.0
1939,1.988226472349197e-08,0.0
1940,1.7750480196809804e-08,0.0
1941,1.4757512545315876e-08,0.0
1942,3.6410540360520827e-08,0.0
1943,1.1612940831184915e-08,0.0
1944,1.2852744646352221e-08,0.0
1945,2.3963544037997053e-08,0.0
1946,3.897909195416105e-08,0.0
1947,2.8610090296865565e-08,0.0
1948,3.261566305923225e-08,0.0
1949,1.9634017078828947e-08,0.0
1950,2.3397795700930146e-08,0.0
1951,2.5587365115598004e-08,1.0661401761424827e-09
1952,3.057992969957013e-08,2.1089607837865287e-09
1953,3.124409886368085e-08,1.0773827385790469e-09
1954,2.7363100230104465e-08,1.9545072227344917e-09
1955,1.783265446420046e-08,0.0
1956,3.314033847345854e-08,0.0
1957,2.5621609722747962e-08,0.0
1958,1.7371711180658167e-08,0.0
1959,2.325224279786653e-08,0.0
1960,2.906750040665429e-08,0.0
1961,4.307858603169734e-08,0.0
1962,2.8538803320543593e-08,6.341956404476434e-10
1963,2.8450633848819962e-08,0.0
1964,1.9468698653213323e-08,0.0
1965,2.6265809083270142e-08,0.0
1966,3.323444985880997e-08,0.0
1967,2.7116845657815247e-08,9.860671168482327e-10
1968,3.09907690621003e-08,0.0
1969,3.40631842732364e-08,9.083515606356229e-10
1970,3.1731204330753826e-08,0.0
1971,2.3122789016838396e-08,0.0
1972,2.667676390899487e-08,5.130146862875051e-10
1973,3.3079221140042137e-08,0.0
1974,3.431598827319249e-08,5.625571675160757e-10
1975,2.513051278185685e-08,0.0
1976,2.971033907783749e-08,0.0
1977,3.173462204131283e-08,0.0
1978,1.841583241457556e-08,0.0
1979,3.3356247541860284e-08,0.0
1980,1.9329512213062117e-08,2.2740602734216964e-09
1981,3.6055631369436014e-08,1.2651099057237047e-09
1982,3.47620137119975e-08,0.0
1983,2.9681984869966982e-08,0.0
1984,3.189454744756404e-08,0.0
1985,2.8273122509858695e-08,0.0
1986,2.2779044428489215e-08,0.0
1987,1.9554613928107756e-08,0.0
1988,2.998276826815527e-08,0.0
1989,2.250130037850795e-08,0.0
1990,2.397406362319998e-08,0.0
1991,2.8135033858234237e-08,5.861465202094962e-10
1992,3.4712648755430564e-08,0.0
1993,1.550978012687665e-08,0.0
1994,2.320967773528082e-08,0.0
1995,1.5182862966867106e-08,0.0
1996,2.4021414191111035e-08,0.0
1997,1.5823152565985765e-08,0.0
1998,7.056831208274161e-08,0.0
1999,2.8792268125243936e-08,0.0
2000,2.87172046142814e-08,0.0
2001,2.93541191354052e-08,0.0
2002,2.8477940006155222e-08,0.0
2003,2.5001536840818517e-08,0.0
