year,dut_VERB écrire_VERB,dut_VERB décrire_VERB
1800,3.144164484325529e-09,0.0
1801,1.904946067554647e-08,0.0
1802,1.5664880947952042e-08,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,8.528632911009026e-09,0.0
1806,4.034336598124355e-08,0.0
1807,0.0,0.0
1808,1.1330369531492579e-08,0.0
1809,1.581321384946932e-08,0.0
1810,4.680253518074551e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,4.090680150170556e-08,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,1.9666995143552413e-08,0.0
1820,1.0679833017945839e-08,0.0
1821,1.7750679148775816e-08,0.0
1822,1.5038423839541792e-08,0.0
1823,1.680056804787e-08,0.0
1824,4.210556348027694e-09,0.0
1825,3.434122675116669e-08,0.0
1826,7.927186018719112e-09,0.0
1827,7.373818444733615e-09,0.0
1828,2.7516904310687096e-09,0.0
1829,1.1145129263923081e-08,0.0
1830,1.1480519646056564e-08,0.0
1831,1.5591206548037917e-08,0.0
1832,1.352996914505411e-08,0.0
1833,1.1583628500844156e-09,0.0
1834,9.334531370086552e-09,0.0
1835,2.0420337421001022e-08,0.0
1836,1.68018754465038e-08,0.0
1837,2.435261770017405e-08,0.0
1838,2.840472923537618e-08,0.0
1839,7.690622361167243e-09,0.0
1840,7.64362617644565e-09,1.2739377330817092e-09
1841,1.4767261191650505e-08,0.0
1842,1.7441490030023488e-08,0.0
1843,2.8943864194275193e-08,0.0
1844,1.866110821424627e-08,0.0
1845,1.0602432709561072e-08,0.0
1846,1.8148954339380907e-08,0.0
1847,1.0247124926365814e-08,0.0
1848,7.24069959545659e-09,0.0
1849,3.6869426622843093e-08,0.0
1850,1.5614691761811628e-08,0.0
1851,1.2253933867611977e-08,0.0
1852,2.018269107395554e-08,3.2552727180501506e-09
1853,3.941475057445132e-08,0.0
1854,3.065441944727354e-08,0.0
1855,3.02495415382964e-08,5.306937111981824e-10
1856,3.158085348786699e-08,0.0
1857,4.393358210563747e-08,0.0
1858,3.963877404089544e-08,0.0
1859,3.920973412618878e-08,0.0
1860,4.027921818305913e-08,0.0
1861,4.6688040100661965e-08,0.0
1862,3.7951085829490694e-08,0.0
1863,3.696019490462277e-08,0.0
1864,4.17141343689309e-08,0.0
1865,4.1890913848874334e-08,4.706844358715045e-10
1866,6.082016312802807e-08,2.432806400776144e-09
1867,4.4160586298858107e-08,0.0
1868,3.1615194018286275e-08,0.0
1869,4.737013625799591e-08,0.0
1870,3.669791226457164e-08,0.0
1871,4.460894587055009e-08,0.0
1872,5.744972497723211e-08,6.047339295989218e-10
1873,6.46488516053978e-08,0.0
1874,3.345781252050983e-08,0.0
1875,4.1194994082616176e-08,0.0
1876,3.143927784776679e-08,0.0
1877,4.824156363270049e-08,1.8554447978047506e-09
1878,7.669642343444139e-08,1.8117265465633636e-09
1879,4.459807456669296e-08,6.10932526790009e-10
1880,6.161132404258751e-08,0.0
1881,4.322954794133693e-08,0.0
1882,5.657077295495583e-08,0.0
1883,7.204046426068089e-08,6.319338941018771e-10
1884,6.337629088193353e-08,1.3203393933736152e-09
1885,5.9299846810745294e-08,6.445635691854079e-10
1886,5.227305877042454e-08,0.0
1887,6.594213886046418e-08,0.0
1888,4.6920547447371064e-08,6.340614699951175e-10
1889,4.761503902273034e-08,1.8795409673089125e-09
1890,3.8015443237782165e-08,0.0
1891,3.569563133964948e-08,0.0
1892,3.8864776286118285e-08,0.0
1893,6.77425830986067e-08,3.079208221734575e-09
1894,5.1672621736997826e-08,0.0
1895,4.634333095054899e-08,2.4074457982692365e-09
1896,4.8355637716213096e-08,5.307326134129653e-09
1897,3.729096675897381e-08,5.826713556089658e-10
1898,5.714938566825367e-08,2.26334195829736e-09
1899,3.371822998587959e-08,0.0
1900,5.087231969014283e-08,0.0
1901,4.750427962108006e-08,0.0
1902,4.468358127951433e-08,9.820567692386817e-10
1903,5.778235845355084e-08,2.7001101354784396e-09
1904,8.276922613958959e-08,1.0749250378694342e-09
1905,6.192910717572886e-08,1.0321518084666081e-09
1906,4.3211148437194424e-08,4.115347618238729e-09
1907,6.788553008618692e-08,5.142843373384665e-10
1908,7.023286485718927e-08,0.0
1909,7.591357586989034e-08,0.0
1910,5.076943310200477e-08,1.6032452032632705e-09
1911,6.065226187956796e-08,5.320374141248863e-10
1912,7.136907242966117e-08,5.209421227725386e-10
1913,5.992378504515727e-08,0.0
1914,6.830678245250965e-08,0.0
1915,3.887651445211304e-08,0.0
1916,4.504859418830165e-08,0.0
1917,4.496234140560773e-08,0.0
1918,7.810736235569493e-08,0.0
1919,6.629650783906982e-08,9.207848372660976e-10
1920,5.5277290300637105e-08,0.0
1921,5.2251955651172466e-08,0.0
1922,4.795657915224183e-08,0.0
