year,devrait_VERB écrire_VERB,devrait_VERB décrire_VERB
1800,4.4018303668735825e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,1.950339267864365e-08,0.0
1804,4.449331569844617e-08,0.0
1805,3.980028751016107e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,2.7192887941396293e-08,0.0
1809,2.259030518203531e-09,0.0
1810,2.574139479349924e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,3.467370746079723e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,2.1577788444915313e-08,1.6183340889597275e-08
1816,1.622322720606917e-08,0.0
1817,1.0898113522728181e-08,1.556873407970727e-09
1818,1.3113295338484932e-08,4.768470951432846e-09
1819,3.726378139390363e-08,0.0
1820,4.6279275522920216e-08,0.0
1821,9.861488337037372e-08,1.97229765852569e-09
1822,6.917674966189225e-08,0.0
1823,2.174191138237802e-08,0.0
1824,1.2631669044083083e-08,2.5263338088166165e-09
1825,1.6730341556581152e-08,4.4027217427355936e-09
1826,9.248383747717526e-08,8.807984341885344e-10
1827,4.055600300034712e-08,1.1060727445055818e-08
1828,1.6510142586412258e-08,3.668920500743411e-09
1829,2.8291481157793896e-08,1.714635211591542e-09
1830,1.461157062010443e-08,2.0873671680021744e-09
1831,1.091384405071949e-08,4.677361609140007e-09
1832,6.494385473843067e-08,0.0
1833,7.992703388026712e-08,1.1583628500844156e-09
1834,3.267085801894609e-08,1.8669061851994684e-09
1835,3.2521278114927554e-08,0.0
1836,1.747394939854985e-08,1.0753200108126748e-08
1837,3.5485243188304594e-08,4.87052354003481e-09
1838,3.5348108440302894e-08,7.574594285131298e-09
1839,2.0974425751774106e-08,0.0
1840,2.229391071750797e-08,3.821813088222825e-09
1841,2.953452238330101e-08,2.5682194149112547e-09
1842,4.360372329870188e-08,0.0
1843,3.18973185642335e-08,1.1813822142769936e-09
1844,2.9089374464774664e-08,1.6465684371524958e-09
1845,4.8547981634783355e-08,5.580227946389016e-10
1846,7.376671362635534e-08,0.0
1847,5.2853593501822616e-08,3.775256551818984e-09
1848,4.505324113779352e-08,0.0
1849,3.100383594301093e-08,1.6758829879393033e-09
1850,4.3449574604892405e-08,6.1100964288129944e-09
1851,4.2566295377355345e-08,1.2898877521649865e-09
1852,4.817803755940986e-08,4.557382027314816e-09
1853,5.2552998397459305e-08,1.7915795513800958e-09
1854,3.948704829781491e-08,0.0
1855,5.678422709820552e-08,1.8574279891936385e-08
1856,5.487820686767009e-08,2.5885946719483854e-09
1857,5.9554409403972386e-08,2.9289055625270066e-09
1858,4.1106879677954566e-08,3.4255731584664773e-09
1859,5.092173438470127e-08,1.5276520048956854e-09
1860,3.3871160098897235e-08,2.288591982591015e-09
1861,7.781340372048362e-08,9.431927461278633e-10
1862,5.511943257374696e-08,2.2589932147099034e-09
1863,3.346395871517416e-08,3.496234635136375e-09
1864,2.7329949858767577e-08,1.0548401263577034e-08
1865,2.8241066374334878e-08,9.41368871743009e-10
1866,4.038458811805867e-08,2.919367858567057e-09
1867,9.268870115874961e-08,0.0
1868,8.990571132017067e-08,9.87974813071446e-10
1869,4.0044856319809696e-08,3.906815315701806e-09
1870,3.096386436141074e-08,4.587239033071455e-09
1871,5.098165090089424e-08,0.0
1872,3.084143074261192e-08,5.442605477412599e-09
1873,3.6514627765882324e-08,5.387403856360606e-09
1874,1.9118749250424116e-08,5.974609251779839e-09
1875,2.2313955128083762e-08,3.432916173551348e-09
1876,3.929909553335165e-08,6.04601479992084e-10
1877,3.0924081073635534e-08,4.329371083855449e-09
1878,4.5293166550663955e-08,1.8117265465633636e-09
1879,7.331190232662266e-08,0.0
1880,3.786529134686134e-08,1.2835692508872398e-09
1881,4.671580100534811e-08,6.972507571312292e-10
1882,4.45910792734594e-08,0.0
1883,6.256145468341856e-08,3.791603475633565e-09
1884,4.621188054443337e-08,1.2543224237049344e-08
1885,3.867381437316908e-08,1.5469526104539e-08
1886,5.6145136539953455e-08,1.355227396970804e-08
1887,4.439668899181015e-08,3.264462256069578e-09
1888,3.1703073943845084e-08,1.268122939990235e-09
1889,4.009687515349469e-08,1.2530273485467092e-09
1890,3.080561583601593e-08,2.6217545912032847e-09
1891,5.035633776628856e-08,7.0116419337296065e-09
1892,3.949162774574688e-08,7.522214851007902e-09
1893,7.75960486976146e-08,3.695050043717174e-09
1894,5.734400687629204e-08,6.301539290376468e-10
1895,3.611168608586013e-08,1.9861428057765806e-08
1896,5.012474701970859e-08,1.7691086373616827e-09
1897,6.176316702521945e-08,2.330685422435863e-09
1898,5.941272718246182e-08,3.960848538042683e-09
1899,5.251199297617859e-08,0.0
1900,3.1665425836990835e-08,4.15284251431558e-09
1901,3.409130755471779e-08,1.1177477832191585e-09
1902,3.5845072687834545e-08,1.9641135384773634e-09
1903,3.4021386596805314e-08,8.640352433531007e-09
1904,2.579820090886642e-08,3.2247751136083025e-09
1905,5.3155819301764495e-08,8.257214467732865e-09
1906,7.356183573392627e-08,4.629765903985117e-09
1907,4.885701088142014e-08,3.599990305858114e-09
1908,5.107844458507316e-08,4.911389073214423e-09
1909,4.1807474815414025e-08,1.6502950117569526e-09
1910,5.076943310200477e-08,2.137660271017694e-09
1911,3.937076797910777e-08,4.25629931299909e-09
1912,5.730363383804615e-08,9.897900277167082e-09
1913,3.181793672979438e-08,1.1666577037772186e-08
1914,2.0090231700464756e-08,2.0090231700464756e-09
1915,3.416420923940677e-08,3.534228465440492e-09
1916,2.966614687238689e-08,3.2962386153911893e-09
1917,4.0575770299255964e-08,4.386569774084137e-09
1918,3.790504266021344e-08,4.594550517822427e-09
1919,5.1563951330990676e-08,9.207848372660976e-10
1920,5.6034515694136644e-08,7.572231730534895e-10
1921,4.770830841493989e-08,6.815472630705699e-09
1922,5.75478971143184e-08,8.853522359686394e-09
1923,3.290944050604594e-08,4.246379248229459e-09
1924,5.285566118118368e-08,5.156649773851996e-09
1925,8.468597201272132e-08,0.0
1926,4.56991671171636e-08,5.57306911730393e-09
1927,5.2401357919507063e-08,4.4596899506643695e-09
1928,4.570416578530967e-08,6.8556245125250825e-09
1929,4.4561623724348465e-08,0.0
1930,7.142450186847782e-08,2.100720708497761e-09
1931,3.9918749195066994e-08,3.4216069977333063e-09
1932,6.13734059129456e-08,0.0
1933,4.01473165823063e-08,1.4911860191091364e-08
1934,5.6313425034204556e-08,2.3963160344919743e-09
1935,8.736847689760907e-08,9.574627313213568e-09
1936,6.426098764222843e-08,0.0
1937,3.5255130370615007e-08,6.295559185076627e-09
1938,6.223302762009553e-08,1.2965214457594243e-09
1939,4.7411557346777045e-08,0.0
1940,5.0715659227762444e-08,1.0143131667916805e-08
1941,2.3612020783048138e-08,2.9515025978810172e-09
1942,6.675266206457309e-08,2.1239483061208375e-08
1943,2.9032351633873077e-08,8.709705845433291e-09
1944,6.42637232317611e-08,0.0
1945,3.703456741277478e-08,2.178504043826024e-09
1946,7.238973864787113e-08,2.7842208538686464e-09
1947,3.9338875268413176e-08,2.3841741914054637e-09
1948,4.348755311411878e-08,5.435944139264848e-09
1949,3.337782672474532e-08,3.9268033269479474e-09
1950,4.892266147749069e-08,3.190608444114673e-09
1951,6.183613265875465e-08,7.462981344019681e-09
1952,3.585233443459401e-08,9.490323193972472e-09
1953,4.201792691560513e-08,1.1851209791302608e-08
1954,4.10446503451567e-08,6.840775057526116e-09
1955,8.353190850129977e-08,7.508486277174597e-09
1956,6.54085638984725e-08,4.360570571293465e-09
1957,3.3573144264664734e-08,1.9437083054185678e-08
1958,4.3015667472445784e-08,4.1361216673863055e-09
1959,5.5805383425422406e-08,3.100299128533379e-09
1960,4.3601250609981435e-08,3.460416619915918e-09
1961,3.682524507553353e-08,4.16889545107324e-09
1962,3.805173776072479e-08,3.805173953708163e-09
1963,4.396916253313066e-08,6.466053248388448e-10
1964,5.353892262860427e-08,2.4335873316516654e-09
1965,4.049311996823235e-08,1.0944086747954884e-09
1966,5.428293192721867e-08,7.200797291773142e-09
1967,4.930335606445624e-08,5.423369309198733e-09
1968,5.6591840547071115e-08,3.5931326802796093e-09
1969,4.042164292172856e-08,6.8126366770115965e-09
1970,3.678979965116014e-08,5.518470125309705e-09
1971,4.932861585871251e-08,4.1107179882260425e-09
1972,4.6684338173008655e-08,7.182205497002769e-09
1973,5.513203760187935e-08,2.7566018356850464e-09
1974,3.825388716904854e-08,8.438357568252286e-09
1975,3.4268879289811593e-08,6.8537762132336866e-09
1976,4.342280490732264e-08,7.427584769459372e-09
1977,3.819908300783936e-08,7.052138428775834e-09
