year,transportant_VERB en_ADP,transportant_VERB dans_ADP
1800,5.65949598296811e-08,1.603523855919775e-07
1801,2.3811825400343878e-08,1.5477686554632442e-07
1802,5.370816325012129e-08,7.832440473976021e-08
1803,2.7304748684287006e-08,1.501761204281138e-07
1804,3.9549615138412264e-08,1.9527622896475805e-07
1805,7.107194477384837e-08,1.2792949632967066e-07
1806,1.3543845511776453e-07,1.4120178093435243e-07
1807,3.4163463169534225e-08,2.5053205376934784e-07
1808,1.5862518409903714e-08,2.4246992325061e-07
1809,7.454800510231507e-08,2.552704359004565e-07
1810,4.44624070894406e-08,1.6146875259082094e-07
1811,1.42903374467096e-07,6.769107585569145e-08
1812,5.3344166417446104e-08,2.080422403238913e-07
1813,6.039057609541487e-08,2.501895153272926e-07
1814,0.0,1.1642705288750221e-07
1815,6.74305908887618e-08,1.726223066711441e-07
1816,2.5493642752394408e-08,1.2515060632267705e-07
1817,3.42512151974006e-08,2.3664475179430156e-07
1818,4.768470773797162e-08,1.9312307131258422e-07
1819,3.415846450138815e-08,1.676870056144253e-07
1820,4.153268307049984e-08,1.76810573293551e-07
1821,2.3667571014129862e-08,1.1242096320529527e-07
1822,5.6143449000956025e-08,1.6843034700286807e-07
1823,3.162459805139406e-08,1.2452186126665765e-07
1824,3.2000230021367315e-08,1.4147468618830317e-07
1825,5.899646993157148e-08,1.320816522820678e-07
1826,3.52319382557198e-08,1.6118610801640898e-07
1827,4.239945528006217e-08,1.4378945800697096e-07
1828,4.769596628761974e-08,1.8069432883294212e-07
1829,5.486832677092934e-08,1.4488666977285902e-07
1830,3.1310506187764986e-08,1.3672255372298991e-07
1831,2.182768810143898e-08,1.512347012067039e-07
1832,4.329590197471589e-08,1.0688675899928057e-07
1833,4.054269808762001e-08,1.4132027104096778e-07
1834,5.507373401769655e-08,1.586870297387577e-07
1835,3.327758690829796e-08,8.848812882433776e-08
1836,5.645430078971003e-08,1.5256102869898314e-07
1837,4.383471363667013e-08,9.253994903701823e-08
1838,4.797243136067664e-08,1.6285377868463513e-07
1839,4.9639474752893875e-08,1.4122780478409425e-07
1840,3.630722389402763e-08,8.790170369366024e-08
1841,3.4028907691663335e-08,1.553772785989338e-07
1842,5.0982812638267205e-08,1.2209042621336152e-07
1843,4.7255289903347375e-08,1.3408687427052257e-07
1844,5.269018737985576e-08,1.2404149174471968e-07
1845,5.0780073479472776e-08,1.1551072010007601e-07
1846,3.9810608143397985e-08,1.3055537806394568e-07
1847,5.662884916546318e-08,1.925380894718387e-07
1848,6.597081636527946e-08,1.584908702056964e-07
1849,3.016589289472904e-08,1.508294693586265e-07
1850,3.326607966869233e-08,1.4189001262820966e-07
1851,2.3862924081186065e-08,1.3608315585500463e-07
1852,2.4740073101270355e-08,1.58206248102033e-07
1853,3.523439673358553e-08,1.893102345995601e-07
1854,3.3771819119010615e-08,1.2833291745950604e-07
1855,5.625353338700734e-08,1.6504574418263473e-07
1856,7.248065259091163e-08,1.4910304346749115e-07
1857,4.5886185517929334e-08,1.4595711661513633e-07
1858,5.921348167348128e-08,2.260878373405717e-07
1859,5.1940166834185675e-08,1.889196239446278e-07
1860,3.6159753635800485e-08,1.377732390395181e-07
1861,6.413710451624866e-08,1.311037873819032e-07
1862,5.2408640982548604e-08,1.4367196865539e-07
