year,jetant_VERB en_ADP,jetant_VERB dans_ADP
1800,1.2262241000371432e-07,9.055193572748976e-07
1801,8.334139067756041e-08,8.834187497086532e-07
1802,8.951360541686881e-08,9.622713150747586e-07
1803,1.560271414291492e-07,8.36695505768148e-07
1804,1.3842365831351344e-07,1.270531356567517e-06
1805,6.538618890772341e-08,8.557062187719566e-07
1806,8.645007198992971e-08,5.648071237374097e-07
1807,9.964342950752325e-08,6.377179602168326e-07
1808,9.064295625194063e-08,7.52336575260415e-07
1809,7.228897658251299e-08,9.939734582076198e-07
1810,1.4742798271072388e-07,8.775475066613581e-07
1811,8.273353557797236e-08,7.89729199368594e-07
1812,5.067695596494559e-08,8.428377782365715e-07
1813,7.189353823378042e-08,9.116101296058332e-07
1814,2.2970742463712668e-07,8.653362328914227e-07
1815,7.282503844407984e-08,7.120669920368528e-07
1816,6.025770460382773e-08,9.942521046468755e-07
1817,1.9460917466407324e-07,9.901715429805336e-07
1818,1.0729059596314983e-07,8.952804364525946e-07
1819,8.487860725381324e-08,8.31189311156777e-07
1820,9.01852530432734e-08,9.516917884866416e-07
1821,9.072569184809254e-08,8.29351165521075e-07
1822,7.519211919770896e-08,1.0326384654035792e-06
1823,1.571347244544441e-07,8.400284059462138e-07
1824,1.2800091031550664e-07,8.833746960590361e-07
1825,1.1975402425257187e-07,1.0214314443146577e-06
1826,1.4973573569943e-07,8.085729632512084e-07
1827,1.4194600339578756e-07,8.157286401910824e-07
1828,9.630916270042533e-08,9.337402957498853e-07
1829,1.2602568233432976e-07,9.173298280984454e-07
1830,1.315041373572967e-07,9.153105224868341e-07
1831,7.951515357262906e-08,1.0742340919023263e-06
1832,1.0688675899928057e-07,9.97158736026904e-07
1833,1.1120283061050174e-07,9.64916239354352e-07
1834,1.2414926686687977e-07,9.063829793376499e-07
1835,1.2630356138743082e-07,9.96814947029634e-07
1836,1.0417162599196672e-07,1.0262585874443175e-06
1837,1.3359149875213916e-07,7.89720616012346e-07
1838,1.1046283532323287e-07,8.666598318995966e-07
1839,1.3843121005052694e-07,8.180026043191901e-07
1840,8.599079848181646e-08,9.694666687209974e-07
1841,8.603534951134861e-08,9.117179047279933e-07
1842,1.0666141347925873e-07,9.022616609399847e-07
1843,8.624090352959968e-08,7.885726063250331e-07
1844,1.1196664667645351e-07,8.924400844989577e-07
1845,1.2722919962016022e-07,1.004441060104e-06
1846,1.229445274475438e-07,7.587433970002166e-07
1847,9.653870591819214e-08,8.499720252075349e-07
1848,1.0297883790144624e-07,8.318759228131967e-07
1849,1.4161211669971863e-07,8.664314918860327e-07
1850,9.029364367307835e-08,7.685143259550387e-07
1851,8.771236537086224e-08,8.848629704516497e-07
1852,1.0872611100332108e-07,6.97279403993889e-07
1853,7.644072752555076e-08,8.390564403271128e-07
1854,9.040456139253195e-08,8.292280426758225e-07
1855,1.0401596739484376e-07,9.207535640598508e-07
1856,9.9919752472033e-08,9.5674454314576e-07
1857,8.005675150579705e-08,7.95197820480098e-07
1858,1.2087379275271815e-07,8.681381018504908e-07
1859,1.2475824462399032e-07,8.447915433862363e-07
1860,1.1488731485598258e-07,8.270971534329874e-07
1861,1.1789909137860377e-07,8.427427360402362e-07
1862,1.088834694074059e-07,7.93810158938868e-07
