year,rentrant_VERB en_ADP,rentrant_VERB dans_ADP
1800,2.1694735607979965e-07,1.0344301699660718e-06
1801,2.809795489611133e-07,9.905719409175617e-07
1802,3.826706631571142e-07,9.980767003980873e-07
1803,3.7836579735994746e-07,1.0843885696054656e-06
1804,4.375176274606929e-07,1.0134588732668703e-06
1805,3.3261667908845993e-07,1.0632362792417638e-06
1806,2.9681191904273874e-07,8.789090610861194e-07
1807,3.3309373748124926e-07,1.4120896878466738e-06
1808,7.319418955376022e-07,8.135205575854343e-07
1809,2.643065784013743e-07,1.1769548757811776e-06
1810,2.92515835553786e-07,1.2051652715783234e-06
1811,2.131015293116434e-07,1.118156246704416e-06
1812,2.9872731621694015e-07,7.521527489728896e-07
1813,1.8692320691293673e-07,8.512195108778542e-07
1814,3.27254436438551e-07,1.1988839707655075e-06
1815,2.1847511155748123e-07,1.3054561804892728e-06
1816,3.8008704450476216e-07,1.4485024664168122e-06
1817,3.409552850053288e-07,1.0804701355837665e-06
1818,3.4332990139773756e-07,1.170659612803604e-06
1819,3.1156659696662814e-07,1.1479314121487505e-06
1820,3.298881745550375e-07,1.2709001424582311e-06
1821,3.264152618198679e-07,1.0117887345728604e-06
1822,3.2282483175549714e-07,1.2532020150501921e-06
1823,3.8443652139452666e-07,1.3470102047108412e-06
1824,3.722131953765029e-07,1.2825355106826919e-06
1825,3.9536439544463065e-07,1.2133900657573804e-06
1826,2.4926594277552283e-07,1.3881383651437318e-06
1827,4.037165632908568e-07,1.3143830948081359e-06
1828,3.72395442482798e-07,1.2492674557051942e-06
1829,2.880587173237359e-07,1.312553272292405e-06
1830,1.9725619049282272e-07,1.2064982080062236e-06
1831,2.806417001011141e-07,1.457777720759168e-06
1832,3.111893076557237e-07,1.5600055114362021e-06
1833,3.6951774262661274e-07,1.547572821891663e-06
1834,2.912373622265818e-07,1.3544404069421034e-06
1835,3.093303106993517e-07,1.3832888399178955e-06
1836,3.441023936900933e-07,1.256108179248372e-06
1837,3.6041875572934146e-07,1.259378207052464e-06
1838,3.206578327308307e-07,1.3217667014231438e-06
1839,2.9853597638407336e-07,1.2304996177547878e-06
1840,3.197583851033414e-07,1.2510068643223349e-06
1841,2.728733248247295e-07,1.3354740975302093e-06
1842,2.99188635199954e-07,1.4208105678648053e-06
1843,2.6758308324659197e-07,1.412342435003211e-06
1844,3.221785567220081e-07,1.5505186063968779e-06
1845,3.11376720851797e-07,1.7454953074036439e-06
1846,2.523290101308362e-07,1.590082533198256e-06
1847,2.5456015162461654e-07,1.5505517545477687e-06
1848,2.4135665710467435e-07,1.671797037694489e-06
1849,2.8825188103098753e-07,1.9616211019979346e-06
1850,3.1025711866305983e-07,1.5254874643488847e-06
1851,2.921595729787896e-07,1.6046203299424633e-06
1852,2.864639978561456e-07,1.7864936836531342e-06
1853,2.765004429861051e-07,1.6590026161722449e-06
1854,2.769289260129426e-07,1.542073174931602e-06
1855,3.125786030011568e-07,1.5506870063575207e-06
1856,3.3082239037085515e-07,1.583184451092734e-06
1857,2.5383846402604604e-07,1.4966707286845349e-06
1858,2.877481559693251e-07,1.4132936652089256e-06
1859,3.248806663691539e-07,1.7221730193028861e-06
1860,3.423733461183076e-07,1.6784533283242808e-06
1861,2.829578198415561e-07,1.6623772118862234e-06
1862,3.1896983904156073e-07,1.5826505768146149e-06
1863,3.7759334325926375e-07,1.6457276039716362e-06
1864,3.130957404451351e-07,1.6815110797097077e-06
1865,2.9511913979263227e-07,1.5396087444941031e-06
1866,3.2356325174731637e-07,1.579864482792459e-06
1867,3.0621241720041326e-07,1.6868372831879697e-06
1868,3.156579437835205e-07,1.826271477156638e-06
1869,3.0619663737851965e-07,1.8655043305670915e-06
1870,3.1422588531171414e-07,1.6084007192773697e-06
1871,4.0360474917733313e-07,1.9649177414038377e-06
1872,2.4733616488248344e-07,1.841414766445837e-06
1873,2.573981783271506e-07,1.7215749412713421e-06
1874,3.0589999244767796e-07,1.762509722169625e-06
1875,2.958029439170673e-07,1.6289187669826788e-06
1876,2.3095775869563795e-07,1.7442752948682028e-06
1877,2.560513792104757e-07,1.8449306029566515e-06
1878,2.294853735929081e-07,1.640820380011121e-06
1879,3.0729905775572774e-07,1.8474599716711282e-06
1880,3.2217589396310586e-07,1.9067420744534047e-06
1881,2.7820305970038817e-07,1.9209258326213785e-06
1882,2.2561755952388296e-07,1.8794808056554757e-06
1883,2.458222878587435e-07,1.9368773536143635e-06
1884,2.977365314293934e-07,1.8273497675025396e-06
1885,2.68138432790721e-07,2.047133975224824e-06
1886,2.4845836121834e-07,2.072852687717841e-06
1887,2.8400823293139865e-07,2.104272409653163e-06
1888,2.7011019199107977e-07,2.1412256074881952e-06
1889,2.5624410504576645e-07,2.1514478554252037e-06
1890,3.4672703996818655e-07,2.18457696021801e-06
1891,3.5249436924900124e-07,2.2781461979093365e-06
1892,2.7268028857108106e-07,2.058579417152373e-06
1893,2.8636637283696587e-07,2.28292492554516e-06
1894,2.8861050171968827e-07,2.381981964560964e-06
1895,3.2079216083502615e-07,2.1654974151630313e-06
1896,3.2551600526176117e-07,2.299841342257025e-06
1897,2.7443821259964807e-07,2.2263871493066745e-06
1898,2.8291775888700244e-07,2.24410356164384e-06
1899,2.90750625353553e-07,2.2447495631183756e-06
1900,2.502087657063612e-07,2.2830251005245827e-06
1901,3.5544378906848806e-07,2.427189248699335e-06
1902,2.6564637023440696e-07,2.2896654081616674e-06
1903,2.9215192576259597e-07,2.433339311380678e-06
1904,2.7571828553618616e-07,2.2320819077492615e-06
1905,2.848738969163378e-07,2.323889709998639e-06
1906,2.5926690483402126e-07,2.4774391764736947e-06
1907,2.5148503279837087e-07,2.6197643165914997e-06
1908,2.730732360234356e-07,2.360413532187522e-06
1909,2.99803602832327e-07,2.5084485208992646e-06
1910,2.853776361888549e-07,2.39364515053353e-06
1911,3.26670972938814e-07,2.3574577032725585e-06
