year,voudrait_VERB étendre_VERB,voudrait_VERB détendre_VERB
1800,1.5720821977538435e-08,0.0
1801,1.904946067554647e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,2.2775640928784924e-08,0.0
1808,6.798221985349073e-09,0.0
1809,4.518061036407062e-09,0.0
1810,3.2761775514700275e-08,0.0
1811,0.0,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,3.5763532135746345e-09,0.0
1819,2.2772310259711048e-08,0.0
1820,0.0,0.0
1821,6.903041693817613e-09,0.0
1822,3.0076847679083585e-09,0.0
1823,4.941343334508019e-09,0.0
1824,8.421112696055388e-09,0.0
1825,1.7610886082763955e-09,0.0
1826,3.6112734136395375e-08,0.0
1827,1.566936447261469e-08,0.0
1828,2.384798314380987e-08,0.0
1829,1.2859763920403111e-08,0.0
1830,1.5655253093882493e-08,0.0
1831,1.870944643656003e-08,0.0
1832,1.8941957335982806e-08,0.0
1833,1.0425265983826648e-08,0.0
1834,1.3068342852307069e-08,0.0
1835,6.806779140333674e-09,0.0
1836,1.5457725766054864e-08,0.0
1837,1.2524203896191466e-08,0.0
1838,7.574594285131298e-09,0.0
1839,3.4957377437194737e-08,0.0
1840,1.2739377552861697e-08,0.0
1841,2.247191943638427e-08,0.0
1842,3.287049921141261e-08,0.0
1843,1.3585895075607368e-08,0.0
1844,2.030767731753258e-08,5.488561272137815e-10
1845,1.674068350610014e-08,0.0
1846,1.8734404250153602e-08,0.0
1847,1.3483059113639229e-08,0.0
1848,2.815827571112095e-08,0.0
1849,1.4245005175439474e-08,0.0
1850,2.2403686017469226e-08,0.0
1851,2.7732586005413395e-08,0.0
1852,8.463708844885787e-09,0.0
1853,3.5831591027601917e-09,0.0
1854,3.4291385730966795e-08,0.0
1855,9.021793090369101e-09,0.0
1856,1.65670055451983e-08,0.0
1857,7.810414537345878e-09,0.0
1858,1.3702292633865909e-08,0.0
1859,2.953460587207246e-08,0.0
1860,9.15436793036406e-09,0.0
1861,1.9807048445841247e-08,0.0
1862,2.2138133104476765e-08,0.0
1863,1.6482248454963155e-08,0.0
1864,1.4384183621984903e-08,0.0
1865,2.118079933666195e-08,0.0
1866,6.3252967308358166e-09,0.0
1867,1.5043715606566366e-08,0.0
1868,1.679557115608077e-08,0.0
1869,1.3673853160867111e-08,0.0
1870,9.17447806614291e-09,0.0
1871,2.7615060460561835e-08,0.0
1872,1.814201766592305e-08,0.0
1873,7.781805422268917e-09,0.0
1874,1.9118749250424116e-08,0.0
1875,9.7265964171811e-09,0.0
1876,1.3301232115736639e-08,0.0
1877,1.4225077116236662e-08,0.0
1878,2.0532901601200138e-08,2.4156354694326865e-09
1879,2.2604503158163425e-08,0.0
1880,2.0537108014195837e-08,0.0
1881,3.137628468152798e-08,0.0
1882,3.527354053289855e-08,0.0
1883,9.479008689083912e-09,1.8958017378167824e-09
1884,2.772712726084592e-08,0.0
1885,8.379326565943757e-09,1.2891271383708158e-09
1886,2.5168509054651622e-08,0.0
1887,1.2404957061562527e-08,0.0
1888,1.6485598663962264e-08,0.0
1889,2.4434033463194282e-08,0.0
1890,1.5730527991308918e-08,0.0
1891,2.8046567734918426e-08,0.0
1892,8.149066310636499e-09,0.0
1893,1.539604177480669e-08,0.0
1894,2.0164925729204697e-08,6.301539290376468e-10
1895,1.2639090662958097e-08,0.0
1896,1.47425724961181e-08,5.89702897624278e-10
1897,1.631479840114025e-08,0.0
1898,7.355861253444118e-09,0.0
1899,2.9296165493519766e-08,5.527578395003729e-10
1900,8.30568502863116e-09,0.0
1901,1.7883964531506535e-08,0.0
1902,1.276673788908056e-08,0.0
1903,2.1600881083827517e-08,0.0
1904,9.13686282189019e-09,0.0
1905,1.7030505006232488e-08,0.0
1906,1.1317205839134203e-08,0.0
1907,2.262851062084792e-08,0.0
1908,9.331639461152008e-09,0.0
1909,1.4302557360679202e-08,5.500983557560346e-10
1910,2.137660359835536e-08,0.0
1911,2.0217422402879492e-08,0.0
1912,2.2921453179947093e-08,0.0
1913,2.8636144122629048e-08,0.0
1914,2.5447626228469744e-08,0.0
1915,2.238344798399794e-08,0.0
1916,1.9777431248257926e-08,0.0
1917,1.315970976634162e-08,0.0
1918,5.743188147278033e-09,0.0
