year,petit_ADJ doute_NOUN
1800,9.432493897065797e-09
1801,0.0
1802,1.1189200677108602e-08
1803,2.145373123596528e-08
1804,9.887403784603066e-09
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,1.0668832928217853e-08
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,7.784366928831332e-09
1818,7.152706427149269e-09
1819,1.035105001712111e-09
1820,1.0679833017945839e-08
1821,1.676452932031225e-08
1822,5.012807946513931e-09
1823,1.9765373338032077e-08
1824,1.0105335235266466e-08
1825,4.4027217427355936e-09
1826,0.0
1827,1.474763688946723e-08
1828,8.255071293206129e-09
1829,4.286587973467704e-09
1830,5.218417697960831e-09
1831,1.5591206548037917e-08
1832,1.6235963684607668e-08
1833,2.3167257001688313e-09
1834,3.733812370398937e-09
1835,6.806779140333674e-09
1836,1.747394939854985e-08
1837,2.7831563720326358e-09
1838,7.574594285131298e-09
1839,0.0
1840,2.5478754661634184e-09
1841,2.43980835534785e-08
1842,6.037438549100216e-09
1843,9.451057714215949e-09
1844,7.683985892015244e-09
1845,6.696273757711424e-09
1846,1.4050803187615202e-08
1847,1.6179670936367074e-09
1848,3.218088684420195e-09
1849,1.1731181359664333e-08
1850,2.0366988096043315e-09
1851,7.094382858952031e-09
1852,1.6276363368206148e-08
1853,1.1943863675867306e-08
1854,5.195664343204953e-09
1855,1.5920811335945473e-09
1856,5.177189343896771e-09
1857,2.9289055625270066e-09
1858,1.468102750479261e-09
1859,1.018434669930457e-08
1860,6.865775947773045e-09
1861,4.2443675241088386e-09
1862,9.035972525772706e-10
1863,5.494082966350788e-09
1864,9.109982990196386e-09
1865,3.294791106611683e-09
1866,0.0
1867,9.220341823379385e-09
1868,4.93987406535723e-10
1869,4.883519144627257e-10
1870,6.307453670473251e-09
1871,0.0
1872,3.628403577593531e-09
1873,1.1972008939764578e-09
1874,3.5847653734322193e-09
1875,1.1443054281912168e-09
1876,6.04601479992084e-10
1877,3.0924081073635534e-09
1878,3.6234530931267273e-09
1879,1.832797580370027e-09
1880,9.626769603698904e-09
1881,1.3945015142624584e-09
1882,0.0
1883,5.0554711528150165e-09
1884,3.300848483434038e-09
1885,1.2891271383708158e-09
1886,0.0
1887,3.264462256069578e-09
1888,1.268122939990235e-09
1889,1.2530273485467092e-09
1890,3.2771931834929546e-09
1891,1.9122659011827636e-09
1892,3.1342561879199593e-09
1893,3.695050043717174e-09
1894,1.8904617871129403e-09
1895,1.3842813118003505e-08
1896,1.179405795248556e-09
1897,1.1070755867592652e-08
1898,5.6583546736987955e-09
1899,4.4220627160029835e-09
1900,0.0
1901,3.912117296778206e-09
1902,7.856454153909453e-09
1903,1.0800440541913758e-09
1904,1.0749250378694342e-09
1905,6.192911072844254e-09
1906,5.658602919567102e-09
1907,5.142843484406967e-09
1908,3.437972351250096e-09
1909,2.2003934230241384e-09
1910,2.67207544979442e-09
1911,4.25629931299909e-09
1912,1.0418842455450772e-09
1913,1.060597942803554e-09
1914,2.678697486047099e-09
1915,5.890381071793627e-09
1916,9.888715624128963e-09
1917,1.0966424213165737e-08
1918,3.44591288836682e-09
1919,9.207848372660976e-10
1920,7.572231730534895e-10
1921,2.2718242842501013e-09
1922,7.377935484775833e-10
1923,4.246379248229459e-09
1924,3.867487219366694e-09
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,4.4561625500705304e-09
1930,4.201441416995522e-09
1931,3.4216069977333063e-09
1932,1.0959536389520963e-08
1933,2.2941324395731044e-09
1934,2.3963160344919743e-09
1935,2.393656828303392e-09
1936,8.487299751891442e-09
1937,5.0364472592434595e-09
1938,5.186085783037697e-09
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,0.0
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,9.744772988540262e-09
1947,3.5762612871081956e-09
1948,0.0
1949,3.9268033269479474e-09
1950,1.1698897850465073e-08
1951,8.529121409139861e-09
