year,pourront_VERB écrire_VERB,pourront_VERB décrire_VERB
1800,3.144164484325529e-09,0.0
1801,1.4287095950749062e-08,7.143547975374531e-09
1802,0.0,0.0
1803,3.900678446910888e-09,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,8.645007376628655e-09,0.0
1807,2.562259560079383e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,3.162642769893864e-08,0.0
1810,7.020380277111826e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,1.600324850414836e-08,0.0
1813,1.1502966579257645e-08,5.751483289628823e-09
1814,5.97868634599763e-08,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,3.113746815941454e-09,0.0
1818,9.536941902865692e-09,0.0
1819,1.2421260464634543e-08,0.0
1820,4.746592452420373e-09,0.0
1821,3.94459531705138e-09,0.0
1822,2.606660132187244e-08,9.023054303725075e-09
1823,2.7671523739059012e-08,0.0
1824,7.57900142644985e-09,0.0
1825,2.1133063299316746e-08,0.0
1826,3.082794464148719e-08,8.807984341885344e-10
1827,9.217273166939322e-09,5.530363722527909e-09
1828,1.1006761724274838e-08,0.0
1829,1.2002446148073886e-08,0.0
1830,2.0873671680021744e-09,0.0
1831,1.091384405071949e-08,0.0
1832,1.7588959622116818e-08,0.0
1833,1.50587169400751e-08,1.0425265983826648e-08
1834,7.467624740797874e-09,9.334530925997342e-10
1835,1.8151411040889798e-08,3.781543966852041e-09
1836,1.68018754465038e-08,0.0
1837,3.478945576063097e-09,0.0
1838,1.2624323808552163e-08,6.312161904276081e-09
1839,1.11863602825224e-08,6.9914751765765e-10
1840,1.9109065441114126e-09,1.9109065441114126e-09
1841,1.0914932957462042e-08,4.494383976094696e-09
1842,1.341653010911159e-09,4.024959032733477e-09
1843,1.1813821920725331e-08,1.7720733769266417e-09
1844,3.2931368743049916e-09,5.488561272137815e-10
1845,6.138250796539069e-09,0.0
1846,1.9905304071698993e-08,2.3418005312692003e-09
1847,3.235934187273415e-09,0.0
1848,6.43617736884039e-09,0.0
1849,8.379414495607307e-09,1.6758829879393033e-09
1850,2.7155984128057753e-09,0.0
1851,1.1608989325395669e-08,0.0
1852,3.906327261660181e-09,5.859490670445666e-09
1853,0.0,1.1943863675867306e-09
1854,2.182179059673217e-08,1.0391328908454511e-09
1855,6.368324534378189e-09,0.0
1856,1.3978411317339123e-08,0.0
1857,6.8341128311999455e-09,0.0
1858,7.829881631948865e-09,2.4468380654951716e-09
1859,4.073738679721828e-09,0.0
1860,6.408057640072684e-09,0.0
1861,4.2443675241088386e-09,3.3011746669586728e-09
1862,4.517986429419807e-09,4.517986262886353e-10
1863,1.897955925755923e-08,2.4973103585068657e-09
1864,1.1507347075223606e-08,1.9178911792039344e-09
1865,1.3649848362717876e-08,4.706844358715045e-10
1866,7.298419202328432e-09,1.9462451650298362e-09
1867,4.85281148598915e-09,1.455843445796745e-09
1868,7.903798504571569e-09,9.87974813071446e-10
1869,5.371870948067681e-09,4.883519144627257e-10
1870,1.204150201772336e-08,1.7202146374017957e-09
1871,9.559059321873065e-09,2.1242354542039266e-09
1872,2.4189357183956872e-09,1.2094678591978436e-09
1873,5.387403856360606e-09,2.9930022904522957e-09
1874,5.974609251779839e-09,5.974609140757536e-10
1875,1.2587359599081083e-08,0.0
1876,6.04601479992084e-09,0.0
1877,9.27722432209066e-09,3.710889595609501e-09
1878,7.850815109122777e-09,9.662541877730746e-09
1879,8.55305515301552e-09,1.221865053580018e-09
1880,1.0268554007097919e-08,1.2835692508872398e-09
1881,1.1853263259808955e-08,0.0
1882,9.983077475794744e-09,6.655385131892899e-10
1883,3.159669414998234e-09,0.0
1884,2.3766109080725073e-08,0.0
1885,1.0313017106966527e-08,6.445635691854079e-10
1886,1.1616235084943582e-08,0.0
1887,1.2404957061562527e-08,0.0
1888,1.2047167707862627e-08,0.0
1889,2.255449160770695e-08,3.759081934617825e-09
