year,est_VERB en_PRON,est_VERB dans_ADP
1800,2.7354229814591235e-07,5.7050863688346e-05
1801,2.0001934331048687e-07,5.152402809471823e-05
1802,1.7902721083373763e-07,5.2569102990673855e-05
1803,1.6382848855300836e-07,5.460949978441931e-05
1804,1.656140113936999e-07,5.642246833303943e-05
1805,2.2174445746259153e-07,4.924716995446943e-05
1806,1.5849180101668026e-07,5.002001125831157e-05
1807,1.366538526781369e-07,5.2344115829328075e-05
1808,1.1330369886763947e-07,4.772805186803453e-05
1809,2.1008983708270534e-07,4.914068995276466e-05
1810,9.126494404654295e-08,4.450452979654074e-05
1811,1.780024518893697e-07,4.5430737372953445e-05
1812,1.7870294755084615e-07,4.356617864686996e-05
1813,1.8117172828624462e-07,4.772293323185295e-05
1814,1.5104049566616595e-07,4.0998056647367775e-05
1815,1.9150287755564932e-07,4.239765621605329e-05
1816,1.4369143741532753e-07,4.503799573285505e-05
1817,1.743698163636509e-07,4.839073881157674e-05
1818,1.3470931037318223e-07,4.586076829582453e-05
1819,1.428444846851562e-07,4.847707168664783e-05
1820,1.4477106446975085e-07,4.2656440200516954e-05
1821,1.0847637099686835e-07,4.6383509470615536e-05
1822,1.4136118409169285e-07,4.525061740423553e-05
1823,1.7690010167825676e-07,3.901091986335814e-05
1824,2.1558048501901794e-07,3.906301571987569e-05
1825,1.3120110509134975e-07,4.021005588583648e-05
1826,1.6823250348352303e-07,3.983234637416899e-05
1827,1.0507691428074395e-07,3.986194133176468e-05
1828,1.3024667566696735e-07,4.327950227889232e-05
1829,1.8089401976340014e-07,3.969037425122224e-05
1830,1.4298464634521224e-07,4.180161340627819e-05
1831,1.6526678336958867e-07,4.293662277632393e-05
1832,2.0024354796532862e-07,4.260181594872847e-05
1833,2.942241508208099e-07,3.9694779843557626e-05
1834,1.3161688627860713e-07,4.1925111872842535e-05
1835,1.9890921976184472e-07,4.190177787677385e-05
1836,2.3253795689015533e-07,3.927337456843816e-05
1837,1.4472412601662654e-07,3.868587373290211e-05
1838,1.7674052799065976e-07,3.604749508667737e-05
1839,1.7408773089755414e-07,3.579425538191572e-05
1840,1.853579334465394e-07,4.027426621178165e-05
1841,1.6565014959724067e-07,4.041863576276228e-05
1842,1.7240240879345947e-07,3.88388434657827e-05
1843,1.7070972546662233e-07,4.115640331292525e-05
1844,1.5532629049630486e-07,3.725854912772775e-05
1845,1.9419192653913342e-07,3.838750490103848e-05
1846,1.539733887057082e-07,3.887447383021936e-05
1847,1.493922923145874e-07,3.8130630855448544e-05
1848,1.4722755281582067e-07,3.832502261502668e-05
1849,1.4412593429824483e-07,3.6968303902540356e-05
1850,2.3286256123355997e-07,3.7708799936808646e-05
1851,1.7864945789369813e-07,3.8750164094381034e-05
1852,2.0963956615105417e-07,3.963359631597996e-05
1853,2.3051656228290085e-07,4.02382793254219e-05
1854,2.0990484017602284e-07,3.966785880038515e-05
1855,2.0113292009682482e-07,3.752535121748224e-05
1856,2.371152731939219e-07,4.112345050089061e-05
1857,1.7671062835233897e-07,3.814313458860852e-05
1858,1.947683045955273e-07,3.904859840986319e-05
1859,1.7873529145617795e-07,3.752727934625e-05
1860,1.7988332956520026e-07,3.628196282079443e-05
1861,1.938261107170547e-07,3.948016092181206e-05
1862,1.902072170878455e-07,3.9144735637819394e-05
1863,2.392423255059839e-07,3.866535917040892e-05
1864,1.9274806106750475e-07,3.8758182199671865e-05
1865,2.1604415678666555e-07,3.727302828337997e-05
1866,2.3063005016865645e-07,3.7425321352202445e-05
1867,2.2274404898325884e-07,3.6104433092987165e-05
1868,2.1636648739331577e-07,3.532849586918019e-05
1869,2.4417596478087944e-07,3.6861289117950946e-05
1870,2.1330662036689318e-07,3.698461296153255e-05
1871,2.145477822068642e-07,3.363089490449056e-05
1872,2.4007937327041873e-07,3.6500528949545696e-05
1873,1.9753814228806732e-07,3.41950508300215e-05
1874,2.1209862666182744e-07,3.3057513064704835e-05
1875,2.4202060444622475e-07,3.489616574370302e-05
1876,2.2672556099223584e-07,3.5814173315884545e-05
1877,2.3007515892459196e-07,3.389155608601868e-05
1878,2.681355510958383e-07,3.423740417929366e-05
1879,2.541479204865027e-07,3.422566078370437e-05
1880,2.2334104698984447e-07,3.2966549042612314e-05
1881,2.2869825500038132e-07,3.2629941415507346e-05
1882,2.455837204706768e-07,3.249425208196044e-05
1883,2.3128779957914958e-07,3.1991021387511864e-05
1884,2.3237973323375627e-07,3.094677595072426e-05
1885,2.2237442465211643e-07,3.059485607082024e-05
1886,2.5555718252689985e-07,2.9214830647106282e-05
1887,2.2981814140621282e-07,3.082435796386562e-05
1888,2.2065339067012246e-07,2.9154780349927023e-05
1889,1.9609878165738337e-07,3.0114006221992895e-05
1890,2.5103301481976814e-07,3.005251710419543e-05
1891,2.619804320147523e-07,3.0821902328170836e-05
1892,1.9118962768516212e-07,2.9432545488816686e-05
1893,2.50031717996535e-07,2.9679873478016816e-05
1894,2.489107941983093e-07,2.8151496735517867e-05
1895,2.1004964878557075e-07,2.834827682818286e-05
1896,2.6241778527946735e-07,2.776969995466061e-05
1897,2.493833335392992e-07,2.793151725200005e-05
1898,2.50665124212901e-07,2.838457112375181e-05
1899,2.2110313580014918e-07,2.892029078793712e-05
1900,2.5280428417318035e-07,2.762730400718283e-05
1901,2.7328934493198176e-07,2.7678230253513902e-05
