year,appartenant_VERB en_ADP,appartenant_VERB dans_ADP
1800,6.917161954334006e-08,1.5720821977538435e-08
1801,1.4048977448055666e-07,3.095537337571841e-08
1802,1.4545960880241182e-07,2.4616241489638924e-08
1803,1.2677205063482688e-07,1.950339223455444e-09
1804,3.806650568094483e-07,2.2246657849223084e-08
1805,2.5301611117356515e-07,1.1371510844071508e-08
1806,3.0833859909762396e-07,4.610670600868616e-08
1807,5.665440880875394e-07,3.9857372513552036e-08
1808,2.900574713748938e-07,7.478044494746428e-08
1809,3.0496912017952127e-07,3.162642769893864e-08
1810,2.4103306373035593e-07,3.2761775514700275e-08
1811,1.7048121492280188e-07,1.504245972228091e-08
1812,2.053750307595692e-07,7.468182872116813e-08
1813,1.6104152678053651e-07,4.026038169513413e-08
1814,2.454408161156607e-07,3.776012391654149e-08
1815,1.2407228666688752e-07,2.966945977789237e-08
1816,2.3871319854151807e-07,4.6352077731626196e-09
1817,1.4478922594207688e-07,4.0478710161551135e-08
1818,1.3947777688372298e-07,2.8610825708597076e-08
1819,1.0040518816367694e-07,3.726378139390363e-08
1820,2.7174240813110373e-07,2.8479554714522237e-08
1821,2.406203236660076e-07,6.508582117703554e-08
1822,1.8948414037822658e-07,2.5064039732569654e-08
1823,2.6584427814668743e-07,2.2730180404550993e-08
1824,2.1052781562502787e-07,6.568468080558887e-08
1825,2.3950804006744875e-07,3.258013947515792e-08
1826,2.59835530869168e-07,3.787433300317389e-08
1827,2.89422359855962e-07,4.7929820112813104e-08
1828,3.549680513970088e-07,4.1275356466030644e-08
1829,3.3864046145026805e-07,6.42988169374803e-08
1830,2.1499882052467e-07,4.0703660886265425e-08
1831,2.385454536124598e-07,3.4300654760954785e-08
1832,3.436612132645678e-07,3.2471927369215337e-08
1833,3.092828819717397e-07,2.20088942626262e-08
1834,3.920503104382078e-07,5.507373401769655e-08
1835,2.911788783421798e-07,6.731148260996633e-08
1836,3.367095757766947e-07,6.787957573806125e-08
1837,3.569398074887431e-07,3.5485243188304594e-08
1838,3.610556689181976e-07,5.23909449157145e-08
1839,3.628575484526664e-07,5.8029243632518046e-08
1840,4.1657764882074844e-07,2.8663599493938818e-08
1841,3.826646945981338e-07,5.1364388298225094e-08
1842,3.4547565519460477e-07,5.634942823462552e-08
1843,4.0462342099090165e-07,4.134837894298471e-08
1844,3.326068167552876e-07,6.311845623940826e-08
1845,3.850357188639464e-07,3.794555070157912e-08
1846,3.37804721084467e-07,4.507965911670908e-08
1847,3.7644701933459146e-07,7.172987182002544e-08
1848,4.135243898417684e-07,6.033916122305527e-08
1849,3.996980808551598e-07,1.2569122986860748e-07
1850,3.7067917446620413e-07,6.381656447729256e-08
1851,4.3404722305240284e-07,4.1921353499674296e-08
1852,3.7630951510436716e-07,8.789236005668499e-08
1853,4.4132576704214443e-07,5.4941772020811186e-08
1854,3.673334845188947e-07,3.844791862661623e-08
1855,3.449509051733912e-07,5.1477289986223695e-08
1856,4.224586405143782e-07,4.814786080942213e-08
1857,4.0418893831883906e-07,5.662550606189143e-08
1858,4.267285476089455e-07,6.85114613929727e-08
1859,4.1246605064770847e-07,4.277425702525761e-08
1860,4.2613581285877444e-07,5.1722178540103414e-08
1861,4.112320368676592e-07,3.584132457490341e-08
1862,4.418590435761871e-07,5.3764036778147783e-08
1863,3.895804354669963e-07,7.192254258825415e-08
1864,4.785138685292623e-07,6.472883029573495e-08
1865,4.5279841742740246e-07,5.318734253023649e-08
1866,5.775482350145467e-07,5.20620595523269e-08
1867,4.3772359958893503e-07,7.521857980918867e-08
1868,4.144554281992896e-07,3.507310708528166e-08
1869,4.6393432739932905e-07,7.325278517100742e-08
1870,4.191589653146366e-07,8.085008573743835e-08
1871,4.3971672880616097e-07,5.629224020253787e-08
1872,6.065481557016028e-07,5.2611852652262314e-08
1873,4.980355470252107e-07,3.71132280463371e-08
1874,4.911128712592472e-07,4.600449088343339e-08
1875,4.525728058979439e-07,4.806082642971887e-08
1876,5.719530236092396e-07,5.441413364337677e-08
1877,5.621997729576833e-07,5.504486111362894e-08
1878,5.151342747922172e-07,5.1332254003000344e-08
1879,5.425080757959222e-07,6.964630472339195e-08
1880,5.538601044463576e-07,5.776061584583658e-08
1881,4.950480274601432e-07,6.763332294212887e-08
1882,5.477381819218863e-07,7.720246486542237e-08
1883,6.679541115772736e-07,8.847074184359371e-08
1884,5.532222075999016e-07,8.450172117591137e-08
1885,5.440116410682094e-07,1.1537687782947614e-07
1886,5.00143471526826e-07,6.066255764380912e-08
1887,5.843387498316588e-07,9.075205298358924e-08
1888,5.592422098743555e-07,6.974676125537371e-08
1889,6.390439466485986e-07,8.019375030698939e-08
1890,6.154568836791441e-07,6.095579152542996e-08
1891,5.647559078170161e-07,9.178877036220001e-08
1892,6.155678988761792e-07,8.399806716852254e-08
1893,5.690376951861253e-07,8.190693989718056e-08
