year,serait_VERB en_PRON,serait_VERB dans_ADP
1800,7.231578535993322e-08,8.394919177590054e-07
1801,1.142967676059925e-07,7.572160711788456e-07
1802,8.727576528144709e-08,8.414278909185668e-07
1803,6.631153581793114e-08,7.177248448897444e-07
1804,9.145848167690929e-08,1.0060433623948484e-06
1805,5.1171799242411e-08,9.296210237152991e-07
1806,1.0662175498055149e-07,9.538324547975208e-07
1807,1.0249038240317532e-07,1.0106690524480655e-06
1808,7.478044494746428e-08,1.0990459031745559e-06
1809,9.487928309681593e-08,8.7198577602976e-07
1810,1.427477371862551e-07,9.851933100435417e-07
1811,1.178326058948187e-07,1.0830572136910632e-06
1812,1.893717893608482e-07,1.3256025113150827e-06
1813,1.5241430162404868e-07,1.581657897986588e-06
1814,1.6992056828257773e-07,1.4474715044343611e-06
1815,8.361393355471591e-08,1.127439418269205e-06
1816,9.038654980031424e-08,9.061831178769353e-07
1817,7.161617787687646e-08,1.029093368742906e-06
1818,1.0609847578280096e-07,1.1420487453506212e-06
1819,1.2938812687934842e-07,1.4232693956728326e-06
1820,1.6494408328071586e-07,1.3693919527213438e-06
1821,1.311577904061778e-07,1.3184809404265252e-06
1822,9.825103575167304e-08,1.5419396959259757e-06
1823,1.1562743651438723e-07,1.2303945595704135e-06
1824,7.915846111927749e-08,1.2699038052232936e-06
1825,1.1535130539641614e-07,1.263581111743406e-06
1826,9.248383747717526e-08,1.3370520264288643e-06
1827,1.778933693685758e-07,1.50425898937101e-06
1828,1.4950850868444832e-07,1.430879024155729e-06
1829,2.1690135554308654e-07,1.7052046814569621e-06
1830,1.2941676175159955e-07,1.7189469190270756e-06
1831,1.6682589887295762e-07,1.34240281113307e-06
1832,1.3665268738805025e-07,1.7778379515220877e-06
1833,1.0656938087549861e-07,1.7317524907412007e-06
1834,1.1388127774125678e-07,1.6475447637276375e-06
1835,1.6941316971497145e-07,1.6003493783500744e-06
1836,1.357591514761225e-07,1.4926786207070109e-06
1837,1.3637466622640204e-07,1.4743770861969097e-06
1838,1.4139243376121158e-07,1.5527917867075303e-06
1839,1.3283802502428443e-07,1.7206020856974646e-06
1840,1.5350950377523986e-07,1.7535752476760536e-06
1841,1.1492782192590312e-07,1.726485493236396e-06
1842,1.925272101743758e-07,1.7414655530956225e-06
1843,1.3704033108297153e-07,1.6108145928228623e-06
1844,1.679499774809301e-07,1.64107984801376e-06
1845,1.858215910033323e-07,1.6841128172018216e-06
1846,1.5865698799188976e-07,1.639845777390292e-06
1847,1.5586415713642054e-07,1.6400792901549721e-06
1848,1.5527277241744741e-07,1.6621428358121193e-06
1849,1.4496387734652671e-07,1.6549344081795425e-06
1850,1.6972489902400412e-07,1.6015242181310896e-06
1851,1.6123597390560462e-07,1.4156518091112957e-06
1852,1.7838894450505904e-07,1.347031798104581e-06
1853,1.6243654954450903e-07,1.4756643622604315e-06
1854,1.662612589825585e-07,1.3997120049680234e-06
1855,1.3744967475304293e-07,1.4185443433234468e-06
1856,1.7291812071107415e-07,1.431492819392588e-06
1857,1.7426987142243888e-07,1.3272823480292573e-06
1858,1.6932119706325466e-07,1.3937188896306907e-06
1859,1.2323059195296082e-07,1.388126406709489e-06
1860,1.3411148813702312e-07,1.1333107750033378e-06
1861,1.4713806706367905e-07,1.3982833024783758e-06
1862,1.4502735723453952e-07,1.4904836689311196e-06
1863,1.388504529131751e-07,1.3410557357929065e-06
1864,1.2082713851668814e-07,1.429787857887277e-06
1865,1.2379000224882475e-07,1.4035809954293654e-06
1866,1.0023162388961282e-07,1.4509257653116947e-06
1867,1.3199647241890489e-07,1.3845070725437836e-06
1868,8.051994626612213e-08,1.375754891341785e-06
1869,1.4357546262999676e-07,1.4982637139837607e-06
1870,1.152543802618311e-07,1.2895875443064142e-06
1871,1.614418891904279e-07,1.3021563063375652e-06
1872,1.2094677970253542e-07,1.264498678210657e-06
1873,1.2151589601216983e-07,1.331287421635352e-06
1874,1.4996268760114617e-07,1.2863333722634707e-06
1875,1.4132172054814873e-07,1.22211815778428e-06
1876,1.1185127135604489e-07,1.3313324416230898e-06
1877,9.7101612084316e-08,1.2072761137460475e-06
1878,1.1293095525388708e-07,1.2899492958240444e-06
1879,1.1302251579081712e-07,1.3721544291911414e-06
1880,1.1744658934276231e-07,1.4375975752045633e-06
1881,1.052848617177915e-07,1.2724826774501707e-06
1882,9.783416032860259e-08,1.178003117274784e-06
1883,1.308103207975364e-07,1.1855080401801388e-06
1884,8.912290638818376e-08,1.2985537978238426e-06
1885,1.0506386161068804e-07,1.261410943698138e-06
1886,1.1680769773647626e-07,1.079664457392937e-06
1887,8.87933779836203e-08,1.196751895804482e-06
1888,1.1539918887137901e-07,1.2237386499691638e-06
1889,8.896493852716958e-08,1.144013936027477e-06
1890,1.291214175580535e-07,1.4360660998136154e-06
1891,1.6318003304149897e-07,1.1709441878338112e-06
1892,1.1847488678995433e-07,1.1277053317826358e-06
1893,1.0469307909488634e-07,1.2329149967627018e-06
1894,9.011201029807125e-08,1.225649384650751e-06
1895,1.3060393655450753e-07,1.065294782165438e-06
1896,1.1263325205845831e-07,1.1281016440989333e-06
1897,9.847146031916054e-08,1.1449492376414128e-06
1898,1.1146958911467664e-07,1.1718452697095927e-06
1899,1.1663190235822185e-07,1.0651643833625712e-06
1900,1.1160764046280747e-07,1.1129617405458703e-06
1901,1.358063599354864e-07,1.0870097639781306e-06
1902,1.0802624217376433e-07,1.0223210438198294e-06
1903,1.0422424878697711e-07,1.1038050615752582e-06
1904,1.1447951919763e-07,1.016879082271771e-06
1905,1.223099843628006e-07,1.1152400247738115e-06
1906,8.539346652014501e-08,1.059701958183723e-06
1907,1.2034253416004503e-07,1.1103398946943344e-06
1908,1.154176416662267e-07,1.1546675295903697e-06
