year,plongeant_VERB en_ADP,plongeant_VERB dans_ADP
1800,1.5720821977538435e-08,1.4431714845386523e-06
1801,1.4287095950749062e-08,1.0143837934073474e-06
1802,0.0,6.086925168347079e-07
1803,7.801356893821776e-09,7.859866855142172e-07
1804,0.0,8.577323036274009e-07
1805,2.842877711017877e-09,1.0518648023705168e-06
1806,2.5935023018064385e-08,8.760273999541823e-07
1807,2.8469551160981155e-09,1.2754359297595386e-06
1808,0.0,5.257291473270698e-07
1809,2.259030518203531e-09,7.906606844798603e-07
1810,1.4040760554223652e-08,4.703654750137787e-07
1811,1.2535384286138651e-08,8.223211693803023e-07
1812,8.00162425207418e-09,1.2322501596884194e-06
1813,0.0,1.1215391886310044e-06
1814,4.090680150170556e-08,6.545088240272889e-07
1815,2.966945977789237e-08,6.554253104695817e-07
1816,3.476405652236281e-08,9.664407798481989e-07
1817,2.9580593974287694e-08,6.94365555276022e-07
1818,1.4305412854298538e-08,6.032115509313485e-07
1819,0.0,4.999557381424324e-07
1820,0.0,5.529780349178282e-07
1821,0.0,5.808416334573963e-07
1822,3.0076847679083585e-09,6.697111700759706e-07
1823,1.1859224380295075e-08,5.77148890013035e-07
1824,1.6842225392110777e-08,7.646370452363271e-07
1825,2.641632912414593e-09,7.493431892768854e-07
1826,4.403992281964975e-09,5.663533801936182e-07
1827,3.3182182335167454e-08,8.258676866823578e-07
1828,2.109629271274116e-08,1.0144565388836568e-06
1829,1.5431716349212365e-08,7.072870182867064e-07
1830,2.400472176589119e-08,9.935867724131242e-07
1831,3.274153215215847e-08,1.004073662880245e-06
1832,1.7588959622116818e-08,6.643214859325397e-07
1833,2.4325620628928846e-08,1.0077757313098346e-06
1834,6.534171426153534e-09,8.186383344543913e-07
1835,1.5126175867408165e-09,8.342085848767056e-07
1836,6.72075017860152e-09,7.345780090872722e-07
1837,1.2524203896191466e-08,7.834585432631158e-07
1838,1.0730675015224733e-08,7.89651428245719e-07
1839,9.08891817363866e-09,7.92833285689909e-07
1840,1.2739377330817092e-09,8.00032923020666e-07
1841,2.43980835534785e-08,7.133229438238686e-07
1842,1.9453969102301016e-08,7.560214845270252e-07
1843,1.7130041385371442e-08,1.0035842132882777e-06
1844,1.4819115712327857e-08,1.0565480340063438e-06
1845,3.013322924516615e-08,7.840220270782794e-07
1846,3.1614305839866574e-08,9.174003388068286e-07
1847,2.588747349818732e-08,8.224666236955613e-07
1848,3.459445302445019e-08,7.023478323375798e-07
1849,4.357295679824347e-08,6.535943466445815e-07
1850,2.104588769924476e-08,7.528996652794717e-07
1851,1.870337307252612e-08,8.081146702920705e-07
1852,1.1067927019325907e-08,8.020991737467398e-07
1853,3.881755716861335e-08,8.677217124830605e-07
1854,2.1302223984775992e-08,9.757458377390726e-07
1855,4.404757802944914e-08,1.0884528194310406e-06
1856,6.523258377910679e-08,1.2166395124690865e-06
1857,8.78671624349181e-09,7.751836377245525e-07
1858,1.419166006932926e-08,9.342027378345108e-07
1859,2.64793023063703e-08,8.57012777855104e-07
1860,2.1512764902809067e-08,9.9050260682354e-07
1861,3.489813238388706e-08,9.69602099498701e-07
1862,4.246907187033244e-08,7.468231261187341e-07
1863,1.4983863039219614e-08,8.750575544169692e-07
1864,2.6371003158942585e-08,9.225056727402148e-07
1865,3.247722446531043e-08,9.013606777630301e-07
1866,2.7247432754506917e-08,7.424925159149609e-07
1867,4.367530337390235e-08,1.0666479184351374e-06
1868,4.149494292615685e-08,1.1648223559035387e-06
1869,2.3440891894210836e-08,1.0050282410745126e-06
1870,3.7844721134661086e-08,1.0797213843005693e-06
1871,1.5931766128574054e-08,8.794334545036975e-07
1872,5.019291648977742e-08,8.931919964760837e-07
1873,3.95076291681562e-08,9.81704717517573e-07
1874,4.899179373296647e-08,9.971622407789482e-07
1875,2.803548326824057e-08,9.085785137585844e-07
1876,3.6276088577480436e-08,1.0344731693479048e-06
1877,1.2369632207409609e-08,8.807177831471336e-07
1878,2.8383716710322915e-08,8.533232420671055e-07
1879,4.032154521382836e-08,7.795498977447579e-07
1880,4.2357786611546544e-08,9.350801937202391e-07
1881,1.3945014920579979e-08,8.708661680678631e-07
1882,2.4624924321869912e-08,1.056875115867939e-06
1883,2.5909288936531993e-08,1.1122036815969238e-06
1884,4.885255577846692e-08,1.0826782919082234e-06
1885,1.6114089618213256e-08,1.1196068880892085e-06
1886,3.484870347847391e-08,9.428510696629644e-07
1887,4.309090329002174e-08,9.839089818441948e-07
1888,4.5018364147608736e-08,1.020838993781581e-06
1889,2.6313573542324775e-08,1.021843769599684e-06
1890,3.5393686204088226e-08,1.2060071066244404e-06
1891,3.6970476458009216e-08,1.1543712545858398e-06
1892,5.140180192597654e-08,9.089342913881637e-07
1893,4.3724757148311255e-08,1.0758753896666917e-06
1894,3.150769600779313e-08,1.0309318145829138e-06
1895,3.009307292245467e-08,9.352926761962976e-07
1896,3.597187614445829e-08,9.158086111682451e-07
1897,2.2141510735984582e-08,9.46840963744755e-07
1898,3.6779305601086776e-08,1.0632048428327323e-06
1899,1.713549302451156e-08,9.490852193039245e-07
1900,3.9971109089265155e-08,8.840363638906723e-07
1901,1.956058609531297e-08,8.863740110776064e-07
1902,4.1737412470599367e-08,1.4897801208224593e-06
1903,4.5361850276037785e-08,9.390982809165394e-07
1904,2.418581246388385e-08,8.895004492970315e-07
1905,3.251278357652154e-08,7.529547199069953e-07
1906,4.423998589686562e-08,8.590788356244161e-07
1907,3.959989314239465e-08,8.264549462566606e-07
1908,2.7503778587956162e-08,7.705969391480494e-07
1909,2.640472107628966e-08,8.190964777554655e-07
1910,3.4202564336283103e-08,8.406349119027823e-07
1911,3.8838732119295116e-08,8.374269055977379e-07
1912,3.2298409891051705e-08,8.288188899641113e-07
1913,2.0151361079800978e-08,7.821909902006041e-07
1914,3.415339178136634e-08,7.681165015149816e-07
