year,cherchant_VERB en_ADP,cherchant_VERB dans_ADP
1800,7.860411432858427e-08,3.930205636493156e-07
1801,1.452521445344246e-07,2.857418976986992e-07
1802,1.0517848636482086e-07,3.5581658153205353e-07
1803,5.0708819365752333e-08,4.251739387228781e-07
1804,8.157108055684148e-08,3.757213473676302e-07
1805,1.4214388066591255e-07,5.572040535639644e-07
1806,8.645007110175129e-08,4.034336740232902e-07
1807,5.97860605466849e-08,3.672572006507835e-07
1808,7.931259293769699e-08,4.622790914510233e-07
1809,1.7394535234416253e-07,4.1566162423123387e-07
1810,9.828532654410083e-08,3.9314129995915437e-07
1811,1.0529722516139373e-07,3.2341290534532163e-07
1812,1.8670458246106136e-07,4.1341728262977995e-07
1813,1.2653263326001252e-07,4.054795681440737e-07
1814,1.32160433263806e-07,2.6117420759419474e-07
1815,1.0249449600152616e-07,3.074834751259914e-07
1816,1.0892738089296472e-07,2.9897091380348684e-07
1817,1.4945984716518979e-07,3.176021721174038e-07
1818,1.7524131301627222e-07,3.361772140664243e-07
1819,1.3352854466575081e-07,3.974803313155917e-07
1820,1.3290458511505676e-07,3.3463477500106364e-07
1821,1.8638212395671871e-07,4.033348837140238e-07
1822,8.72228582693424e-08,4.341091539572517e-07
1823,1.5515818940770032e-07,3.567650033176051e-07
1824,1.414746968464442e-07,4.513716405085688e-07
1825,1.3120110153863607e-07,3.883200516696661e-07
1826,1.4092774391905039e-07,3.6993534635598735e-07
1827,1.6775436950666744e-07,2.857354743923679e-07
1828,1.3299836609803606e-07,3.558852768037468e-07
1829,7.801590218292631e-08,4.5866491582557956e-07
1830,2.2021723466991716e-07,3.767697833723105e-07
1831,1.3564348932959547e-07,3.5859772928859e-07
1832,1.4612367449373664e-07,4.1131106343073043e-07
1833,2.7337362240587026e-07,3.9268500007239027e-07
1834,1.5682011600404167e-07,4.4619058758854635e-07
1835,1.9058981592934288e-07,3.834485511333696e-07
1836,1.518889458651529e-07,4.079495301567704e-07
1837,1.7185991030288505e-07,4.00774529119019e-07
1838,1.1488134443737863e-07,4.6520634011670836e-07
1839,1.461218372966755e-07,4.5444589069632e-07
1840,1.4586587404608053e-07,4.5989151331582434e-07
1841,1.3996795722448496e-07,4.879616959385658e-07
1842,1.8917307409438422e-07,4.4878293792294244e-07
1843,1.7425387888181376e-07,4.6251113694495416e-07
1844,1.49288867490327e-07,4.6103915884998514e-07
1845,1.400637277271244e-07,5.022205220583942e-07
1846,1.6860963203413348e-07,4.6953100252267177e-07
1847,1.607180601936875e-07,4.719070823000493e-07
1848,1.3033258561279126e-07,4.247877178897852e-07
1849,1.9021272024133395e-07,3.854530756797203e-07
1850,1.5139460529667303e-07,4.419636443486752e-07
1851,1.393078705724804e-07,4.256629599908024e-07
1852,1.5234676231656863e-07,4.7071243347573954e-07
1853,1.713944377534915e-07,4.425201458602146e-07
1854,1.4859600216965418e-07,4.904707147090903e-07
1855,1.7406754082571751e-07,4.786857168426195e-07
1856,2.1071160816177326e-07,5.172012080834065e-07
1857,2.1088119450674014e-07,4.808286497848258e-07
1858,1.7910854843705692e-07,6.219862243028729e-07
1859,2.087791086680113e-07,5.071804825007575e-07
1860,1.8629138409664847e-07,4.874700803014775e-07
1861,2.2778105002174698e-07,5.536541358708291e-07
1862,1.5722592028311055e-07,5.57519522104144e-07
1863,2.2825417422822625e-07,5.109497251964967e-07
1864,2.0761171803940215e-07,5.365300754789359e-07
1865,1.689757178624518e-07,4.3255898773963963e-07
1866,1.7321582390650292e-07,4.1065772116155586e-07
1867,1.3636400097993828e-07,4.532525963441003e-07
1868,1.3782248631244443e-07,5.270845546689884e-07
1869,1.318550140183561e-07,5.030024698982061e-07
1870,1.9839808418353755e-07,4.793664771796102e-07
1871,1.65690361653148e-07,3.56871552753546e-07
1872,1.693254954027168e-07,4.6322619606797844e-07
1873,1.2211449273991093e-07,4.6211954263242205e-07
1874,1.3980584867567813e-07,5.323376921495537e-07
1875,1.0985331755364314e-07,4.268259310435951e-07
1876,1.4873196008124978e-07,5.151204884867866e-07
1877,1.5276495624050312e-07,4.7623084498127355e-07
1878,1.225935006843315e-07,3.61137514559573e-07
1879,1.3684888422460517e-07,4.4781355335032913e-07
1880,1.732818546429371e-07,4.800549149308608e-07
1881,1.7082643744004145e-07,4.2253396514979613e-07
1882,1.943372476276295e-07,4.192892530952008e-07
1883,1.813650341020434e-07,4.082292930362996e-07
1884,1.1949071421213375e-07,4.112857290294869e-07
1885,1.4438223505663927e-07,4.1316524068690796e-07
1886,1.1293561730241208e-07,4.2012050815998236e-07
1887,1.2796691972738472e-07,3.969586037655404e-07
1888,1.3125071784969577e-07,4.0453122185368784e-07
1889,1.3720649238990745e-07,4.241497535417693e-07
1890,1.1273545119649953e-07,3.4607161758515304e-07
1891,1.4278253068766844e-07,3.716170420275944e-07
1892,1.585933613323931e-07,4.4506437646418817e-07
1893,1.3548516708539182e-07,4.329366749544761e-07
