year,traitant_VERB en_ADP,traitant_VERB dans_ADP
1800,1.1004575384276905e-07,3.144164484325529e-09
1801,3.333655484993869e-08,1.4287095950749062e-08
1802,3.8043282302169246e-08,2.9091921760482364e-08
1803,6.241085515057421e-08,7.801356893821776e-09
1804,2.4718509905596875e-08,2.2246657849223084e-08
1805,8.52863308864471e-08,3.4114531644036106e-08
1806,5.76333825108577e-09,1.729001475325731e-08
1807,1.9928686256776018e-08,3.131650672116848e-08
1808,2.945896149242344e-08,1.1330369531492579e-08
1809,4.292158006791169e-08,3.6144488291256494e-08
1810,2.8081521108447305e-08,2.106114038724627e-08
1811,9.27618373225414e-08,4.763445815569867e-08
1812,6.934741136888078e-08,2.9339290108509886e-08
1813,3.163315653864629e-08,1.1502966401621961e-07
1814,6.922689976818219e-08,5.664018942752591e-08
1815,5.1247248222807684e-08,2.697223555614414e-09
1816,5.0987285504788815e-08,2.0858434979231788e-08
1817,1.8682481339737933e-08,3.89218364205135e-08
1818,8.821671571013212e-08,7.510341726302272e-08
1819,5.175525075173937e-08,2.4842520041090665e-08
1820,2.8479554714522237e-08,2.610625848831205e-08
1821,2.1695274909916407e-08,3.648750634965836e-08
1822,2.90742860897808e-08,2.2056354964661296e-08
1823,3.458940445177916e-08,3.261286707356703e-08
1824,5.72635645568198e-08,4.7158231097910175e-08
1825,2.6416328680056722e-08,3.78634048558979e-08
1826,7.398707069228294e-08,3.082794464148719e-08
1827,3.3182182335167454e-08,5.2538457140371975e-08
1828,2.8434133270138773e-08,3.393751413227619e-08
1829,7.20146760002649e-08,1.800366966620004e-08
1830,5.844627981588246e-08,5.114049628218709e-08
1831,6.860130752350813e-08,2.9623292263636358e-08
1832,2.5706942574643676e-08,3.92369123858316e-08
1833,9.96192076607727e-08,3.243415847009601e-08
1834,6.534171981265047e-08,2.5203233278148218e-08
1835,5.294161553592858e-08,3.2521278114927554e-08
1836,6.855164880192888e-08,1.2097349788575684e-08
1837,3.478945564960867e-08,1.7394727436226276e-08
1838,4.418513244175415e-08,9.468243078458727e-09
1839,5.6630949041291956e-08,1.6080392128969834e-08
1840,3.4396317238893914e-08,2.9300567638834707e-08
1841,6.613164904578639e-08,5.971110006441904e-08
1842,5.1653640475990414e-08,1.34165305532008e-08
1843,4.7845980732930116e-08,1.8311423488626133e-08
1844,5.214133314002112e-08,5.762989374602512e-08
1845,4.1293688468613254e-08,3.5155435451628136e-08
1846,4.507965911670908e-08,3.102885770545072e-08
1847,4.58424018745518e-08,4.206714443455439e-08
1848,6.355725190587691e-08,6.838438704193095e-08
1849,1.1479798445179767e-07,1.3407063903514427e-08
1850,2.7155984128057753e-08,4.0055077477063605e-08
1851,4.8370792038454624e-08,4.901573547044791e-08
1852,8.073076673831281e-08,3.711010965190553e-08
1853,4.060913694203805e-08,4.359510352713869e-08
1854,4.935881375844886e-08,2.4419623656513068e-08
1855,4.192480318465641e-08,2.600399184871094e-08
1856,3.882891874695815e-08,2.1226476576430287e-08
1857,3.27061125404704e-08,2.3919394687155204e-08
1858,6.508588912268465e-08,3.474509990830654e-08
1859,4.124660435422811e-08,3.564521477983362e-08
1860,3.1124850030650464e-08,1.9224172642662296e-08
1861,6.696668464201139e-08,3.4426534512022045e-08
1862,4.156547461775517e-08,2.755971628687348e-08
