year,devrait_VERB étendre_VERB,devrait_VERB détendre_VERB
1800,1.8864987794131594e-08,0.0
1801,0.0,2.3811825844433088e-09
1802,0.0,2.2378401354217203e-09
1803,0.0,0.0
1804,0.0,4.943701892301533e-09
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,1.1700633351097167e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,9.270415546325239e-09,0.0
1817,1.556873407970727e-09,0.0
1818,4.053200441944682e-08,1.1921177378582115e-09
1819,2.2772310259711048e-08,0.0
1820,2.7292905713238724e-08,0.0
1821,3.94459531705138e-09,0.0
1822,1.0025615893027862e-08,0.0
1823,7.906149512848515e-09,0.0
1824,5.052667617633233e-09,0.0
1825,5.283265824829186e-09,1.7610886082763955e-09
1826,7.0463874735082754e-09,0.0
1827,1.8434546333878643e-08,0.0
1828,9.172301251858528e-10,0.0
1829,2.571952872898464e-09,0.0
1830,8.349468672008697e-09,0.0
1831,0.0,0.0
1832,8.117981842303834e-09,0.0
1833,5.791814139399776e-09,0.0
1834,3.733812370398937e-09,0.0
1835,1.5126175867408165e-09,0.0
1836,1.008112526790228e-08,0.0
1837,1.461157062010443e-08,0.0
1838,1.5149188570262595e-08,0.0
1839,4.194885327990505e-09,0.0
1840,7.64362617644565e-09,0.0
1841,5.778493683550323e-09,0.0
1842,6.708265054555795e-09,0.0
1843,7.088293507706567e-09,0.0
1844,3.841992946007622e-09,0.0
1845,1.2276501593078137e-08,0.0
1846,4.0981511517657054e-09,0.0
1847,1.5101026207275936e-08,5.393223645455691e-10
1848,1.126331028444838e-08,0.0
1849,8.379414939696517e-10,0.0
1850,9.504594444820214e-09,0.0
1851,9.029214709244116e-09,1.2898877521649865e-09
1852,3.2552727180501506e-09,0.0
1853,1.7915795513800958e-09,0.0
1854,0.0,5.195664454227256e-10
1855,3.714855978387277e-09,0.0
1856,2.5885946719483854e-09,2.5885946719483854e-09
1857,1.9526036343364694e-09,0.0
1858,6.8511463169329545e-09,0.0
1859,2.5460866748261424e-09,0.0
1860,3.661747127736703e-09,0.0
1861,6.6023493339173456e-09,0.0
1862,9.035972525772706e-10,0.0
1863,5.9935452156878455e-09,4.994620828036034e-10
1864,7.671564716815737e-09,1.4384183844029508e-09
1865,3.765475486972036e-09,9.41368871743009e-10
1866,7.298419202328432e-09,0.0
1867,1.455843445796745e-08,0.0
1868,5.9278488784286765e-09,0.0
1869,5.371870948067681e-09,0.0
1870,1.7202146374017957e-09,0.0
1871,2.1242354542039266e-09,0.0
1872,1.2094678591978436e-09,6.047339295989218e-10
1873,1.1972009161809183e-08,5.986004469882289e-10
1874,1.0156835372754358e-08,0.0
1875,8.010138330405425e-09,0.0
1876,1.813804439976252e-09,6.04601479992084e-10
1877,1.2369631985365004e-09,6.184815992682502e-10
1878,8.4547240319921e-09,0.0
1879,1.1607718342077078e-08,0.0
1880,1.4761046607247863e-08,0.0
1881,5.5780060570498335e-09,6.972507571312292e-10
1882,1.0648616211028639e-08,0.0
1883,6.951272890631799e-09,0.0
1884,1.4523733327109767e-08,6.601696966868076e-10
1885,4.511945039809007e-09,0.0
1886,9.680196200179125e-09,0.0
1887,8.48760173255414e-09,0.0
1888,2.53624587998047e-09,0.0
1889,1.0650732740202784e-08,0.0
1890,1.9007721618891082e-08,6.554386478008212e-10
1891,1.0836173736095134e-08,0.0
1892,3.761107425503951e-09,0.0
1893,7.390100087434348e-09,0.0
1894,1.8904617871129403e-09,0.0
1895,1.444467478961542e-08,6.018614495673091e-10
1896,1.9460195233023114e-08,0.0
1897,1.3984112534615178e-08,0.0
1898,1.9804241802034994e-08,0.0
1899,8.291367592505594e-09,0.0
1900,4.15284251431558e-09,0.0
1901,5.029864968975062e-09,0.0
1902,6.38336894454028e-09,0.0
1903,1.83607493653426e-08,0.0
1904,7.524475265086039e-09,0.0
