year,aidant_VERB en_ADP,aidant_VERB dans_ADP
1800,9.432493897065797e-09,3.144164484325529e-09
1801,0.0,3.5717739876872656e-08
1802,0.0,2.2378401354217203e-09
1803,3.900678446910888e-09,2.7304748684287006e-08
1804,2.4718509461507665e-09,0.0
1805,0.0,2.842877755426798e-08
1806,0.0,5.76333825108577e-09
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,2.2660739951163578e-09,2.039466551195801e-08
1809,0.0,1.8072244145628247e-08
1810,2.3401267590372754e-09,0.0
1811,0.0,1.7549536934780008e-08
1812,2.6672082320544632e-09,5.3344166417446104e-08
1813,0.0,2.8757416004054903e-08
1814,0.0,9.440030979135372e-09
1815,0.0,2.697223555614414e-09
1816,0.0,4.6352077731626196e-09
1817,4.670620334934483e-09,1.556873407970727e-09
1818,0.0,2.6226590676969863e-08
1819,4.140420006848444e-09,1.035105001712111e-09
1820,1.1866481131050932e-09,3.5599443393152796e-09
1821,9.86148829262845e-10,1.97229765852569e-09
1822,6.015369535816717e-09,0.0
1823,2.9648061783404955e-09,7.906149512848515e-09
1824,3.3684450784221553e-09,2.5263338088166165e-09
1825,0.0,1.7610886082763955e-09
1826,8.807984341885344e-10,1.9377566218281572e-08
1827,1.8434546111834038e-09,5.530363722527909e-09
1828,2.7516904310687096e-09,2.7516904310687096e-09
1829,0.0,1.628903412154159e-08
1830,1.0436835840010872e-09,1.5655253093882493e-08
1831,0.0,1.2472964883158966e-08
1832,6.764984572527055e-09,1.8941957335982806e-08
1833,3.4750886612755494e-09,2.0850531967653296e-08
1834,5.600718555598405e-09,1.3068342852307069e-08
1835,6.806779140333674e-09,1.739510224751939e-08
1836,5.376600054063374e-09,2.2178475944656384e-08
1837,1.3915781860163179e-09,1.1132625488130543e-08
1838,1.3255539776935166e-08,9.468243078458727e-09
1839,4.194885327990505e-09,5.5931801412612e-09
1840,1.1465439264668476e-08,1.4013314952876499e-08
1841,1.4767261191650505e-08,1.219904177673925e-08
1842,1.2074877098200432e-08,1.2074877098200432e-08
1843,1.0041748765843295e-08,8.860366662588604e-09
1844,9.330554107123135e-09,2.305195678786731e-08
1845,1.1718478631905782e-08,1.7298706467272496e-08
1846,1.7563503984519002e-09,1.8734404250153602e-08
1847,2.6966118227278457e-09,1.5640349459999925e-08
1848,2.413566457803995e-09,1.528592186161859e-08
1849,5.865590679832167e-09,1.1731181359664333e-08
1850,0.0,2.2403686017469226e-08
1851,3.2247193804124663e-09,1.7413483988093503e-08
