year,étaient_VERB en_ADP,étaient_VERB dans_ADP,etaient_VERB en_ADP,etaient_VERB dans_ADP
1800,5.901596523472108e-06,4.0999902921612374e-06,1.5720821977538435e-08,9.432493897065797e-09
1801,5.838659490109421e-06,4.264697963662911e-06,9.524730337773235e-09,1.1905912700171939e-08
1802,4.3951181396550965e-06,3.3343817449349444e-06,8.951360541686881e-09,4.475680270843441e-09
1803,5.60332455279422e-06,3.4169943319284357e-06,9.751696339321825e-09,3.900678446910888e-09
1804,6.9459010774153285e-06,5.366388450056547e-06,1.4831105232815389e-08,9.887403784603066e-09
1805,6.461861175921513e-06,3.877685230690986e-06,2.842877711017877e-09,0.0
1806,6.734460839652456e-06,4.434888978721574e-06,1.152667650217154e-08,8.645007376628655e-09
1807,9.386410965817049e-06,5.252632035990246e-06,2.2775640928784924e-08,1.7081731584767113e-08
1808,6.0640140873147175e-06,4.2692831812018994e-06,1.5862518409903714e-08,1.5862518409903714e-08
1809,8.134768904710654e-06,4.881765107711544e-06,3.6144488291256494e-08,1.129515236897305e-08
1810,7.069522780511761e-06,4.593669018504443e-06,3.042164919975221e-08,9.360507036149102e-09
1811,7.639062459929846e-06,5.282410711515695e-06,1.504245972228091e-08,7.521229861140455e-09
1812,8.76444664754672e-06,4.728959993371973e-06,8.00162425207418e-09,0.0
1813,9.366290214529727e-06,5.4725364861951675e-06,2.0130190847567064e-08,3.163315653864629e-08
1814,8.477148185193073e-06,6.025886705174344e-06,9.440030979135372e-09,3.1466771410748606e-09
1815,9.955451787391212e-06,6.5137946876348e-06,3.506390555685357e-08,8.091670444798638e-09
1816,8.746636922296602e-06,5.1497158892743755e-06,2.7811246638975717e-08,6.952811659743929e-09
1817,1.0032492355094291e-05,6.4392284002678934e-06,2.6466848268569265e-08,9.341240669868967e-09
1818,1.039288235915592e-05,6.337297691061394e-06,1.668964877410417e-08,7.152706427149269e-09
1819,1.0458700671733823e-05,6.973502422624733e-06,2.173720581311045e-08,1.9666995143552413e-08
1820,1.2055158549628686e-05,7.37501795811113e-06,2.3732962262101864e-08,1.3053129244156025e-08
1821,1.144721591117559e-05,6.9523493948508985e-06,1.1833785507064931e-08,1.3806083387635226e-08
1822,1.1409150829422288e-05,8.356350917892996e-06,2.2056354964661296e-08,2.90742860897808e-08
1823,1.3518527339329012e-05,8.310351404361427e-06,2.174191138237802e-08,9.882686669016039e-09
1824,1.2384930414555129e-05,7.751634257147089e-06,5.894778887238772e-09,9.263223965660927e-09
1825,1.2950165000802372e-05,7.2125385486288e-06,1.7610886970942374e-08,9.68598712347557e-09
1826,1.3080737517157104e-05,7.606575309182517e-06,3.170874407487645e-08,7.927186018719112e-09
1827,1.3703320291824639e-05,8.115808668662794e-06,2.5808365222701468e-08,1.935627302884768e-08
1828,1.4108833966020029e-05,8.290842743008398e-06,5.044765671868845e-08,4.3109814384934e-08
1829,1.4363498848979361e-05,9.545374268782325e-06,2.8291481157793896e-08,1.5431716349212365e-08
1830,1.4034412743058056e-05,7.944519893499091e-06,2.1917355041978226e-08,1.1480519646056564e-08
1831,1.2437105397111736e-05,7.178191481216345e-06,3.1182413096075834e-08,1.091384405071949e-08
1832,1.2626167517737485e-05,7.342714525293559e-06,2.4353944638733083e-08,1.7588959622116818e-08
1833,1.3543578461394645e-05,7.789990377204958e-06,1.2741991461950875e-08,9.266902800675325e-09
1834,1.4008330254000612e-05,7.725258001300972e-06,1.7735608537350345e-08,4.667265685043276e-09
1835,1.4493901289824862e-05,8.058470484684221e-06,3.7059130875150004e-08,1.9664028627630614e-08
1836,1.3836680409440305e-05,8.192594577849377e-06,2.016225053580456e-08,1.008112526790228e-08
1837,1.4244194062484894e-05,8.392607924179174e-06,1.461157062010443e-08,3.478945576063097e-09
1838,1.593694651091937e-05,8.927921953727491e-06,1.2624323808552163e-08,1.0730675015224733e-08
1839,1.5070124391058926e-05,7.9045621532714e-06,1.3283802502428443e-08,3.076248944466897e-08
1840,1.6065629097283818e-05,8.600990440754686e-06,1.2102408852854296e-08,4.458782232319436e-09
1841,1.4737084711669013e-05,7.635958354512695e-06,1.3483152372373297e-08,6.420548537278137e-09
1842,1.595225512573961e-05,7.975456355779897e-06,1.542900918138912e-08,6.708265054555795e-09
1843,1.3945035789220128e-05,7.009140517766355e-06,1.0041748765843295e-08,1.0041748765843295e-08
