year,conduisant_VERB en_ADP,conduisant_VERB dans_ADP
1800,6.288328968651058e-09,1.0690159513160324e-07
1801,2.8574191901498125e-08,7.857902772911984e-08
1802,3.5805442166747525e-08,3.8043282302169246e-08
1803,4.290746247193056e-08,3.705644502360883e-08
1804,1.2359254952798437e-08,1.0134588990240445e-07
1805,2.842877755426798e-08,7.391481915419718e-08
1806,2.0171682990621775e-08,7.204172902675055e-08
1807,2.8469550272802735e-08,8.54086508184082e-08
1808,1.8128591960930862e-08,3.3991110370834576e-08
1809,6.09938268780752e-08,8.132509776714869e-08
1810,1.8721014072298203e-08,8.658469141664682e-08
1811,0.0,4.512738271955641e-08
1812,8.00162425207418e-09,7.20146218213813e-08
1813,2.5881675469463516e-08,1.2078115219082974e-07
1814,0.0,5.97868634599763e-08
1815,2.966945977789237e-08,5.664169577812572e-08
1816,1.3905623319487859e-08,6.257530316133852e-08
1817,6.07180652423267e-08,9.185553295765203e-08
1818,4.172412104708201e-08,3.5763530803478716e-08
1819,3.622867339458935e-08,3.519356894798875e-08
1820,2.254631326081835e-08,4.746592452420373e-08
1821,4.2404398215012407e-08,4.536284592404627e-08
1822,6.717162648328667e-08,3.709477880420309e-08
1823,7.313188632451784e-08,1.0673301886754416e-07
1824,5.642145595174952e-08,7.831634718513669e-08
1825,5.0191026446100295e-08,9.245714949202011e-08
1826,5.460950447400137e-08,5.0205510859768765e-08
1827,5.1616730445402936e-08,1.1060727445055818e-07
1828,5.503380862137419e-08,8.89713192009367e-08
1829,3.772197487705853e-08,7.372931065674493e-08
1830,3.026682549034376e-08,1.2106730196137505e-07
1831,4.677361786775691e-08,6.860130952190957e-08
1832,4.464889968858188e-08,5.411987658021644e-08
1833,6.02348677603004e-08,1.030942939905799e-07
1834,3.173740381612333e-08,9.521221500108368e-08
1835,3.554651328840919e-08,1.414297514656937e-07
1836,4.5701099793404865e-08,9.946710122221702e-08
1837,5.0096815584765864e-08,9.393152566872232e-08
1838,6.059675428105038e-08,9.278878110308142e-08
1839,4.544459031308179e-08,6.082583325905944e-08
1840,6.17859825524647e-08,7.898413656448611e-08
1841,1.733548060656176e-08,1.0786521897898638e-07
1842,3.4882980060046975e-08,6.03743828264669e-08
1843,2.7762482091020502e-08,9.569195924541418e-08
1844,3.1833653935109396e-08,8.671926821079978e-08
1845,2.9017185099178278e-08,7.365900955846882e-08
1846,2.1076203893244383e-08,5.3861413107370026e-08
1847,2.6426796750911308e-08,7.5505127483666e-08
1848,5.148941895072312e-08,6.275273278788518e-08
1849,3.1841775438579134e-08,6.703531596485846e-08
1850,2.7834882843080777e-08,6.11009625117731e-08
1851,7.28786559989203e-08,6.513933215046563e-08
1852,4.557381672043448e-08,8.854341615460726e-08
1853,4.060913738612726e-08,9.973125969509056e-08
1854,3.065441944727354e-08,8.93654288347534e-08
1855,3.078023524949458e-08,7.90733594158155e-08
1856,4.866558001026533e-08,5.1254172461767666e-08
1857,3.3194261561675376e-08,9.030792114117503e-08
1858,2.838332058274773e-08,7.732008100447274e-08
1859,2.036869339860914e-08,6.874434177461808e-08
1860,4.394096464466202e-08,1.0344435708020683e-07
1861,3.254015012998934e-08,8.158617248454902e-08
