year,voulut_VERB écrire_VERB,voulut_VERB décrire_VERB
1800,2.2009151834367913e-08,0.0
1801,9.048493865293494e-08,9.524730337773235e-09
1802,6.713520406265161e-09,2.2378401354217203e-09
1803,6.631153581793114e-08,5.851017448321727e-09
1804,1.730295728918918e-08,1.730295728918918e-08
1805,3.980028751016107e-08,0.0
1806,4.034336598124355e-08,8.645007376628655e-09
1807,5.97860605466849e-08,0.0
1808,5.891792298484688e-08,1.5862518409903714e-08
1809,7.228897658251299e-08,6.7770917766551975e-09
1810,3.978215445954447e-08,2.106114038724627e-08
1811,1.0028307073639553e-08,0.0
1812,2.6672083208723052e-08,0.0
1813,8.627225156487839e-08,0.0
1814,6.608021863030444e-08,1.5733386149463513e-08
1815,2.4275012222574333e-08,0.0
1816,4.1716869958463576e-08,0.0
1817,6.383181272440197e-08,3.113746815941454e-09
1818,2.98029441125891e-08,0.0
1819,8.280839836061205e-08,1.035105001712111e-09
1820,7.475883023744245e-08,0.0
1821,8.678109963966563e-08,0.0
1822,6.316138012607553e-08,0.0
1823,5.731958552246397e-08,3.9530747564242574e-09
1824,5.3895121254754486e-08,7.57900142644985e-09
1825,5.195211372210906e-08,0.0
1826,3.2589543508265706e-08,0.0
1827,3.6869092667757286e-08,0.0
1828,6.053718948351161e-08,6.420610709767516e-09
1829,8.401712392469562e-08,8.57317605795771e-10
1830,7.305784777145163e-08,2.0873671680021744e-09
1831,2.3386808933878456e-08,0.0
1832,5.547287429408243e-08,0.0
1833,2.0850531967653296e-08,1.2741991461950875e-08
1834,4.29388435918554e-08,5.600718555598405e-09
1835,6.050470346963266e-08,7.563087933704082e-10
1836,4.5701099793404865e-08,2.688300027031687e-09
1837,1.87863058442872e-08,6.957890930081589e-10
1838,6.94337813911261e-08,1.2624323808552163e-09
1839,7.830452375401364e-08,6.9914749545318955e-09
1840,4.267691267045848e-08,3.821813088222825e-09
1841,2.5040138851295524e-08,2.5682194149112547e-09
1842,5.1653639587811995e-08,5.366612043644636e-09
1843,4.252975926988256e-08,5.906911071384968e-10
1844,3.2382512671347286e-08,7.1351298203126134e-09
1845,6.696273402440056e-08,2.2320911785556063e-09
1846,5.21050615986951e-08,0.0
1847,5.3932236454556914e-08,4.314578916364553e-09
1848,3.298540818263973e-08,0.0
1849,2.76520690789539e-08,8.379414939696517e-10
1850,4.616517301769818e-08,0.0
1851,7.352360142931502e-08,2.579775504329973e-09
1852,5.338647213193326e-08,1.3021090872200602e-09
1853,5.2552998397459305e-08,0.0
1854,2.7537021551893304e-08,5.195664454227256e-10
1855,3.980202833986368e-08,2.1227748447927297e-09
1856,3.36517302912398e-08,5.177189232874468e-10
1857,5.27202992373077e-08,4.881509085841174e-10
1858,2.4468379322684086e-08,0.0
1859,3.971895168319861e-08,1.5276520048956854e-09
1860,5.7214798232507746e-08,5.950338888283113e-09
1861,4.715963797252698e-08,2.357981809808507e-09
1862,4.9246050792817186e-08,3.162590411776023e-09
1863,5.194405616748554e-08,1.9978483312144135e-09
1864,3.16452037907311e-08,0.0
1865,2.729969672543575e-08,0.0
1866,5.060237384668653e-08,4.865612912574591e-10
1867,5.920430012906763e-08,4.85281148598915e-10
1868,4.347089088696521e-08,2.4699371437009177e-09
1869,2.6371003158942585e-08,2.9301114867763545e-09
1870,4.873941605865184e-08,4.013834153937523e-09
1871,1.805600113868877e-08,0.0
1872,3.265563108811875e-08,1.8142017887967654e-09
1873,1.4366410283628284e-08,0.0
1874,2.7483201492373155e-08,0.0
1875,3.547346949517305e-08,0.0
1876,3.748529309177684e-08,4.232210137899983e-09
1877,4.5149157301693776e-08,2.4739263970730008e-09
