year,brûlant_VERB en_ADP,brûlant_VERB dans_ADP
1800,0.0,9.118077315406481e-08
1801,2.1430643926123594e-08,1.1191558257905854e-07
1802,0.0,2.0140561218795483e-08
1803,0.0,6.826187615160961e-08
1804,0.0,2.2246657849223084e-08
1805,1.1371510844071508e-08,2.842877755426798e-08
1806,2.881669125542885e-08,2.305335300434308e-08
1807,0.0,5.4092147649953404e-08
1808,4.5321479902327155e-09,9.064295980465431e-09
1809,1.581321384946932e-08,2.0331275152329908e-07
1810,4.680253518074551e-09,1.3338723192646285e-07
1811,2.5070767684098882e-09,1.6295999216708879e-07
1812,0.0,8.001624962616916e-08
1813,0.0,6.901780125190271e-08
1814,0.0,1.0069366851439554e-07
1815,2.6972236000233352e-08,5.664169577812572e-08
1816,2.0858434979231788e-08,4.6352077731626196e-08
1817,0.0,4.3592454090912724e-08
1818,0.0,1.7881765401739358e-08
1819,0.0,4.140420006848444e-09
1820,5.933240565525466e-09,2.8479554714522237e-08
1821,9.86148829262845e-10,1.676452932031225e-08
1822,4.010246357211145e-09,1.7043547018147365e-08
1823,1.9765373782121287e-09,5.6331316500290995e-08
1824,5.052667617633233e-09,1.3473780313688621e-08
1825,1.6730341112491942e-08,3.0819052199149155e-08
1826,0.0,1.3211976401805714e-08
1827,0.0,1.1982455028203276e-08
1828,0.0,1.1923991571904935e-08
1829,8.57317605795771e-10,3.772197487705853e-08
1830,2.0873671680021744e-09,9.39315203396518e-09
1831,6.236482441579483e-09,2.0268567268999504e-08
1832,2.841293600397421e-08,7.84738247716632e-08
1833,5.3284690437749305e-08,8.91939393454777e-08
1834,8.401078055442213e-09,2.5203233278148218e-08
1835,1.1344631900556124e-08,3.2521278114927554e-08
1836,6.720750067579218e-10,2.419469957715137e-08
1837,9.045257876039159e-09,1.461157062010443e-08
1838,1.2624323808552163e-09,4.418513199766494e-08
1839,2.7965900706306e-09,3.2859933440931854e-08
1840,1.9109065441114126e-09,3.05745047057826e-08
1841,4.494383976094696e-09,2.5040138851295524e-08
1842,6.708265054555795e-10,7.71450459069456e-08
1843,1.1813822142769936e-09,3.307870244384503e-08
1844,5.488561383160118e-09,4.610391357573462e-08
1845,5.580227946389016e-10,2.17628883802945e-08
1846,3.5127007969038004e-09,6.205771541090144e-08
1847,5.393223645455691e-10,2.7505439703645607e-08
1848,1.6090443422100975e-09,1.1343762906790289e-07
1849,2.513824481908955e-09,1.8434713311421547e-08
1850,1.3577992064028876e-09,5.7706465383944305e-08
1851,6.449438760824933e-10,5.804495017969202e-08
1852,0.0,4.231854688896419e-08
1853,1.7915795513800958e-09,7.823230419035099e-08
1854,2.5978321716024766e-09,7.949366676029967e-08
1855,1.0613874223963649e-09,5.413075854221461e-08
1856,1.7084724746041502e-08,2.5368226630462232e-08
1857,1.9526036343364694e-09,2.5383847912507917e-08
1858,5.872411001917044e-09,2.8872689128434104e-08
1859,2.5460866748261424e-09,6.059686086246074e-08
1860,5.034902272882391e-09,5.858795404378725e-08
1861,0.0,4.291527133659656e-08
1862,1.3553959066214816e-09,4.517986340601965e-08
1863,4.495158911765884e-09,3.9457503930862003e-08
1864,5.274200631788517e-09,5.2262535632507934e-08
1865,3.765475486972036e-09,6.448377121159865e-08
1866,5.352174259343201e-09,4.670988573707291e-08
1867,1.455843445796745e-09,9.220342178650753e-08
1868,8.397785578040384e-09,4.841076517436704e-08
1869,1.0255390314739543e-08,8.83916939642404e-08
1870,4.013834153937523e-09,1.0091925872757201e-07
1871,6.37270636261178e-09,7.859671313781291e-08
1872,2.4189357183956872e-09,3.265563108811875e-08
1873,1.7958012854535355e-09,5.566984029314881e-08
1874,0.0,7.408515045881359e-08
1875,0.0,1.8881038954532414e-08
1876,4.836811839936672e-09,3.3253080289341597e-08
1877,1.2369631985365004e-09,4.0201303619369355e-08
1878,6.039088673581716e-10,5.3747889694477635e-08
1879,1.832797580370027e-09,3.4823152361695975e-08
1880,6.417846254436199e-10,3.786529134686134e-08
1881,6.972507571312292e-10,5.508281120114589e-08
1882,0.0,4.1263387373646765e-08
1883,4.423537092179686e-09,3.4124429504345244e-08
1884,1.3203393933736152e-09,3.6969503014461225e-08
1885,1.2891271383708158e-09,4.576401479994274e-08
1886,3.2267319927115068e-09,2.774989482645651e-08
1887,5.876032105334161e-09,2.8727267675776602e-08
1888,3.804368819970705e-09,3.043495055976564e-08
1889,5.012109394186837e-09,3.821733329800736e-08
1890,2.6217545912032847e-09,3.9326319978272295e-08
1891,8.286486163910922e-09,2.4859458491732767e-08
1892,6.268512375839919e-10,5.2655504845233736e-08
1893,6.774258043407144e-09,2.9560400349737392e-08
1894,1.071261657159539e-08,2.520615716150587e-08
1895,1.8055843487019274e-09,3.49079627426363e-08
1896,5.307326134129653e-09,2.0049897742069334e-08
1897,5.826713556089658e-10,3.1464253424928756e-08
1898,6.7900258748920805e-09,2.2633418694795182e-08
1899,4.9748205555033564e-09,2.819064981451902e-08
1900,5.191053142894475e-10,2.9589003247565415e-08
1901,0.0,3.800342440740678e-08
1902,4.910284012726862e-09,3.5845072687834545e-08
1903,2.7001101354784396e-09,4.428180488957878e-08
1904,2.6873125946735854e-09,2.956043942958786e-08
1905,4.64468330463319e-09,2.6835946798087207e-08
1906,3.0865106026567446e-09,2.5206503551089554e-08
