year,oubliant_VERB en_ADP,oubliant_VERB dans_ADP
1800,9.432493452976587e-09,2.515331676278265e-08
1801,2.619300909501021e-08,4.7623650800687756e-08
1802,1.7902721083373763e-08,6.265952379180817e-08
1803,1.1702034896643454e-08,9.751696339321825e-09
1804,2.9662210465630778e-08,1.730295640101076e-08
1805,1.9900143755080535e-08,5.685755422035754e-09
1806,7.204172902675055e-08,3.7461699520235925e-08
1807,2.562259604488304e-08,7.686778502602465e-08
1808,1.8128591960930862e-08,6.571614763473121e-08
1809,1.1295152813062259e-08,2.25903047379461e-08
1810,2.106114038724627e-08,1.6380887757350138e-08
1811,7.270522672797597e-08,6.267691965433642e-08
1812,1.600324850414836e-08,1.3336041160272316e-08
1813,2.300593315851529e-08,2.0130191735745484e-08
1814,0.0,1.5733385705374303e-08
1815,2.697223555614414e-09,3.236668266737297e-08
1816,1.622322720606917e-08,3.7081662185300956e-08
1817,4.047870982848423e-08,2.8023721676539992e-08
1818,2.98029441125891e-08,4.172412104708201e-08
1819,9.315945015409e-09,3.3123359166609134e-08
1820,2.254631326081835e-08,1.779972080839798e-08
1821,1.4792232216898071e-08,4.2404400435458456e-08
1822,2.8071724500478012e-08,4.0102463572111446e-08
1823,1.8777104315859106e-08,2.569498536164616e-08
1824,4.126345398702824e-08,4.0421341829244284e-08
1825,6.60408217001418e-08,4.4027215650999096e-08
1826,3.082794464148719e-08,2.7304750460643845e-08
1827,3.6869092667757286e-08,3.133872805705096e-08
1828,4.219258542548232e-08,2.8434134380361797e-08
1829,1.9718305044325035e-08,4.543783305166471e-08
1830,2.817945699007396e-08,3.026682415807613e-08
1831,5.14509785887185e-08,2.0268568157177924e-08
1832,4.058990699107312e-08,5.817886894465829e-08
1833,4.865124125785769e-08,3.9384337569003947e-08
1834,3.080395161170202e-08,1.120143711119681e-08
1835,2.7227116561334697e-08,4.235329242874286e-08
1836,4.2340726480460944e-08,4.435695055704514e-08
1837,2.1569461661208322e-08,3.896418743210006e-08
1838,2.2723782411304683e-08,3.850418739403949e-08
1839,3.216078425793967e-08,4.4046294167543465e-08
1840,3.949206917042147e-08,2.7389660650634085e-08
1841,2.3756030476107526e-08,2.7608359598474408e-08
1842,2.1466448174578545e-08,4.8299510169158566e-08
1843,3.485077471054865e-08,4.075768722522355e-08
1844,3.512679169759281e-08,5.2141333473088025e-08
1845,4.073566339801715e-08,4.966403044370793e-08
1846,1.5807154030156312e-08,3.454155717008689e-08
1847,2.3190860787281053e-08,6.256139517546444e-08
1848,7.24069959545659e-09,2.7353753262460145e-08
1849,2.0948537127196687e-08,2.262442011513599e-08
1850,1.5614690873633208e-08,2.0366988984221734e-08
1851,1.9993260380601896e-08,3.224719380412466e-08
1852,1.6927417911816178e-08,4.166749167922035e-08
1853,2.866527215594772e-08,3.523439606745171e-08
1854,1.2989160858012383e-08,2.7537021551893304e-08
