year,remontant_VERB en_ADP,remontant_VERB dans_ADP
1800,1.2576657937302116e-08,1.2891074163690064e-07
1801,1.6668277424969347e-08,1.166779455274991e-07
1802,6.489736392722989e-08,1.3874608839614666e-07
1803,6.046051614916337e-08,1.8138155155611457e-07
1804,1.2359254508709228e-08,1.1617699158250616e-07
1805,3.695740957709859e-08,1.3930100806192058e-07
1806,2.305335300434308e-08,6.916005901302924e-08
1807,5.693910232196231e-09,1.508886242618246e-07
1808,2.039466595604722e-08,9.064295625194063e-08
1809,1.3554183553310395e-08,1.3102376339446664e-07
1810,2.3401266702194334e-08,1.053057001598745e-07
1811,5.0141534924108555e-08,6.016984244183732e-08
1812,1.600324850414836e-08,1.1468995353425271e-07
1813,8.627225156487839e-09,1.8404746526812232e-07
1814,3.461344810773426e-08,1.9194730782601255e-07
1815,2.4275012222574333e-08,3.776112933451259e-08
1816,1.0197457100957763e-07,1.9236112791531923e-07
1817,1.0898114055635233e-07,9.963989811012652e-08
1818,4.530047448270125e-08,5.364529798157491e-08
1819,2.5877624487691264e-08,1.0144029261027754e-07
1820,4.2719332071783356e-08,6.289234733003468e-08
1821,2.1695274909916407e-08,1.2425475404143072e-07
1822,2.90742860897808e-08,8.622029668003961e-08
1823,6.621399961659336e-08,1.2056878517796576e-07
1824,3.3684450784221553e-08,1.3557990996559965e-07
1825,4.8429936283511665e-08,1.364843740248034e-07
1826,7.222547337981666e-08,1.4268934478423034e-07
1827,1.4747637222534138e-08,1.5577191447846417e-07
1828,2.384798314380987e-08,8.89713192009367e-08
1829,5.4011008832066665e-08,1.6289034743266484e-07
1830,1.982998831806526e-08,9.28878365336061e-08
1831,4.053713453799901e-08,1.4655733249213654e-07
1832,2.705993829010822e-08,1.5153565435799266e-07
1833,5.90765054653275e-08,1.4479535082045913e-07
1834,4.667265374180829e-08,1.540197587246439e-07
1835,3.1764969321557146e-08,1.5353069215962023e-07
1836,5.511014933290426e-08,1.0820407680967037e-07
1837,8.766942549698342e-08,1.1410941169742728e-07
1838,4.481634974240478e-08,1.0225702595789699e-07
1839,5.663094881924735e-08,1.20253377144941e-07
1840,2.93005673057678e-08,1.5223555749344087e-07
1841,1.7977535904378783e-08,1.3547357768928237e-07
1842,7.043678484919269e-08,1.462401715279782e-07
1843,2.8353174030826267e-08,1.4826347272123286e-07
1844,5.653217982626302e-08,1.1580864361926402e-07
1845,5.133809627411168e-08,1.5457231805626748e-07
1846,5.5032313373004627e-08,1.4870433062696975e-07
1847,5.2314270249098627e-08,1.488529735027555e-07
1848,8.52793493044679e-08,1.4722756191964947e-07
1849,5.362825561405771e-08,1.6507447742064585e-07
1850,6.85688590351674e-08,1.9077079027596255e-07
1851,4.901573547044791e-08,1.534966429517226e-07
1852,6.315229228448516e-08,1.7773788685282454e-07
1853,6.808001984381917e-08,1.5467303171590174e-07
1854,8.624803254919655e-08,1.3664597520168797e-07
1855,9.817833301895007e-08,1.6186157836273196e-07
1856,7.558696396570141e-08,1.646346134975829e-07
1857,6.199516677796169e-08,1.2789554415526538e-07
1858,5.9213480341213653e-08,1.1451201942236366e-07
1859,6.263373086845547e-08,1.4716380292156828e-07
1860,8.559333775082223e-08,1.6294774862757322e-07
1861,5.329038987866852e-08,1.8675215951446944e-07
1862,6.280000897085358e-08,1.5496692729044526e-07
1863,8.740586121547267e-08,1.5633163741313183e-07
1864,6.616724590458034e-08,1.5630812644218395e-07
1865,7.154403569575862e-08,1.6097408206405817e-07
1866,8.417510533043071e-08,1.5229368577340807e-07
1867,7.958610481750839e-08,1.5334884828632767e-07
1868,8.842374654705054e-08,1.8771520937654884e-07
1869,6.836926647046937e-08,1.6555130488704606e-07
1870,9.575861215083137e-08,1.7087465087328724e-07
1871,6.478918024299674e-08,1.667524855974989e-07
1872,9.917636623058002e-08,2.177042172091248e-07
1873,9.996627703401373e-08,2.2627096996075124e-07
1874,7.946230340394322e-08,2.0612401652186918e-07
1875,8.124568751100014e-08,2.3229400447632997e-07
1876,7.497058618355368e-08,1.8924026035094244e-07
1877,1.0390490778888761e-07,1.5647585094313854e-07
1878,2.9833097414666554e-07,1.6365930832762388e-07
1879,7.697749815349653e-08,2.1749197287590505e-07
1880,6.738738234091102e-08,1.7199827673231027e-07
1881,8.157833697453043e-08,1.3875289517351064e-07
1882,6.988154410692005e-08,1.770332478390202e-07
1883,1.1501197061392077e-07,1.8452470240681862e-07
1884,6.667713936536757e-08,2.1917633308277118e-07
1885,9.861822658496777e-08,1.759658589950419e-07
1886,1.2326115750305178e-07,1.4842966944428326e-07
1887,9.597519423643064e-08,1.4820658278402732e-07
1888,1.3949351895803375e-07,1.788053332063555e-07
1889,1.196641123968334e-07,1.5976098488579282e-07
1890,9.241685161587299e-08,1.4747369858625348e-07
1891,1.1792307041957883e-07,2.0779957710104213e-07
1892,8.775917414993728e-08,1.8116000788381825e-07
1893,1.3055843384179866e-07,1.7489902948142344e-07
1894,8.759139435987606e-08,1.3296247947103268e-07
1895,1.2277973482355264e-07,1.540765335317218e-07
1896,1.2029938867286205e-07,1.7042413918977317e-07
1897,9.672344347677608e-08,1.392584572101896e-07
1898,7.355861553204335e-08,1.1825961554468023e-07
1899,9.72853779757088e-08,1.907014564039855e-07
1900,9.447716387001037e-08,1.7182386402581074e-07
1901,1.3189424041826214e-07,1.732509078422595e-07
1902,9.918773713479823e-08,1.8904593179769336e-07
1903,8.640352522348849e-08,1.7766724358381225e-07
1904,1.1340458794251163e-07,1.9456143629525968e-07
1905,1.2076176081343704e-07,1.6514429224123717e-07
1906,9.825392455198312e-08,1.4660926583864864e-07
1907,9.205689721625276e-08,1.3422821076858327e-07
1908,9.724550320555636e-08,1.4095686373671867e-07
1909,9.846760862242121e-08,1.507269435374603e-07
1910,1.0581418230515283e-07,1.4375765078344926e-07
1911,8.086968716902732e-08,1.3247731134313767e-07
1912,1.0106276948640414e-07,1.2137951799218172e-07
1913,1.1560517365616363e-07,1.5643820017174903e-07
1914,1.011208325962798e-07,1.0379952808392545e-07
1915,1.0367070357730768e-07,1.1662954335633913e-07
1916,8.680095220370276e-08,1.32948291931001e-07
1917,9.211796270225392e-08,1.9849228483082015e-07
1918,8.15532681386344e-08,1.320933247228595e-07
1919,1.049694700050452e-07,1.0036554520809204e-07
1920,9.692456659493587e-08,1.3402850562727053e-07
1921,7.87565699322812e-08,1.3403762544328401e-07
1922,9.148639779077428e-08,1.5124768193430782e-07
1923,8.174280274886314e-08,1.5605444447786e-07
1924,6.703644883643278e-08,1.4696451611229122e-07
1925,1.0008341710943114e-07,1.0668232430788294e-07
1926,7.690835523987971e-08,1.7833820908919051e-07
1927,7.804457724525093e-08,1.6612345454802835e-07
1928,7.769707699445405e-08,1.5539415532117573e-07
