year,seraient_VERB en_ADP,seraient_VERB dans_ADP
1800,6.822837121944758e-07,4.338947121595993e-07
1801,7.857902346586343e-07,2.3811826110886614e-07
1802,7.877197276684456e-07,5.124653625898645e-07
1803,5.519460160030576e-07,3.842168325718376e-07
1804,6.995338139859086e-07,4.993138986719714e-07
1805,4.5201755938251154e-07,3.439882050315646e-07
1806,7.002456072768837e-07,4.0343368823414494e-07
1807,1.1814863682957366e-06,8.170761134351778e-07
1808,6.073078111512586e-07,6.866204103062046e-07
1809,8.335822485605604e-07,5.557214990403736e-07
1810,1.0390162969997618e-06,6.084329697841895e-07
1811,9.426608471585496e-07,6.693895215903467e-07
1812,8.695099040778587e-07,6.614676522076479e-07
1813,9.432432648281974e-07,5.003790306545852e-07
1814,9.345631042378955e-07,5.852819526808162e-07
1815,1.0006699540099362e-06,6.581225306945271e-07
1816,7.763973144392367e-07,4.751088056309527e-07
1817,8.204722803384357e-07,4.3903830260205723e-07
1818,1.049063598657085e-06,8.142164347191283e-07
1819,9.854200015979586e-07,6.045013378752628e-07
1820,1.030010594149644e-06,6.621496595471399e-07
1821,9.86148847914592e-07,5.384372343542054e-07
1822,1.2582147519424325e-06,8.672157605360553e-07
1823,1.1908638271052041e-06,5.811019718748867e-07
1824,1.0105335377375013e-06,5.877936928300187e-07
1825,1.0522504680920974e-06,5.221627930040995e-07
1826,1.1459187589935027e-06,6.218436965355068e-07
1827,1.3346611922315788e-06,7.936072279335349e-07
1828,1.2685292176684015e-06,6.998465664764808e-07
1829,1.2731165952573065e-06,7.630126788171765e-07
1830,1.3171286354918266e-06,6.950932629479212e-07
1831,1.1241260153838084e-06,4.817682679458812e-07
1832,1.2176972177257994e-06,7.644432571396464e-07
1833,1.6159161759787821e-06,6.660586109319411e-07
1834,1.3637749134431942e-06,8.186383411157294e-07
1835,1.2993384643777972e-06,5.937023956903431e-07
1836,1.3004651009396184e-06,7.527240200033702e-07
1837,1.4020150729265879e-06,5.865501861990197e-07
1838,1.3261852700452437e-06,6.791886448809237e-07
1839,1.4814935411777697e-06,6.592961199203273e-07
1840,1.4185296777213807e-06,7.40157815926068e-07
1841,1.4035318827154697e-06,7.345107633227599e-07
1842,1.5643673805243452e-06,6.231978204596089e-07
1843,1.4152958556223894e-06,7.77349498548574e-07
1844,1.453919935556769e-06,5.653217840517755e-07
1845,1.5591157307426329e-06,6.043387088539021e-07
1846,1.3933713489677757e-06,7.493761700061441e-07
1847,1.5349114619311877e-06,7.377930160146207e-07
1848,1.795693492567807e-06,7.071749905662728e-07
1849,1.4002002899360377e-06,7.507956070185173e-07
1850,1.4073589227336925e-06,6.164408432596247e-07
1851,1.3943686099082697e-06,5.578764330493868e-07
1852,1.369167648590519e-06,6.360803013194527e-07
1853,1.1460136875030003e-06,6.145118049971643e-07
1854,1.237087758454436e-06,5.548969852497976e-07
1855,9.99296275949746e-07,4.940758344673668e-07
1856,1.1162020427946118e-06,5.104708407088765e-07
1857,1.2457611546778935e-06,4.940087023896922e-07
