year,voulait_VERB étendre_VERB,voulait_VERB détendre_VERB
1800,4.087413785214267e-08,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,1.1189200677108602e-08,0.0
1803,1.950339267864365e-08,0.0
1804,4.69651695311768e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,2.305335300434308e-08,0.0
1807,4.27043254092041e-08,0.0
1808,2.945896149242344e-08,0.0
1809,2.710836710662079e-08,0.0
1810,7.020380277111826e-09,0.0
1811,3.760615285841595e-08,0.0
1812,6.401299401659344e-08,0.0
1813,1.0352670187785407e-07,2.8757416448144113e-09
1814,9.440030979135372e-09,0.0
1815,6.74305908887618e-08,0.0
1816,1.3905623319487859e-08,2.3176038865813098e-09
1817,1.8682481339737933e-08,0.0
1818,9.179306914575136e-08,0.0
1819,6.003609342997152e-08,1.035105001712111e-09
1820,9.255855104584043e-08,0.0
1821,6.311352507282209e-08,9.86148829262845e-10
1822,5.3135764233047666e-08,0.0
1823,5.5343047478118024e-08,0.0
1824,5.5579342017608724e-08,0.0
1825,6.780191341704267e-08,0.0
1826,6.870227764466108e-08,0.0
1827,3.2260455640198415e-08,0.0
1828,6.237164740241496e-08,9.172301251858528e-10
1829,8.315980437600956e-08,0.0
1830,6.157733167810875e-08,0.0
1831,1.2472964883158966e-08,0.0
1832,4.7354891563600177e-08,0.0
1833,7.29768601104297e-08,0.0
1834,4.480574844478724e-08,0.0
1835,3.025235173481633e-08,0.0
1836,6.98957975941994e-08,6.720750067579218e-10
1837,4.800944708449606e-08,0.0
1838,7.448350913819013e-08,0.0
1839,8.599514700335931e-08,0.0
1840,1.0764773605842493e-07,0.0
1841,7.126809009605495e-08,0.0
1842,9.861149408152414e-08,0.0
1843,1.1104992836408201e-07,5.906911071384968e-10
1844,1.0922236981514288e-07,0.0
1845,1.0379223880363497e-07,0.0
1846,6.14722637237719e-08,0.0
1847,1.251227956799994e-07,1.0786447290911383e-09
1848,6.194820656446609e-08,0.0
1849,5.865590324560799e-08,0.0
1850,6.44954596396019e-08,2.0366988096043315e-09
1851,8.319776156895387e-08,0.0
1852,6.836072685700856e-08,6.510545436100301e-10
1853,8.898178549543445e-08,5.971931837933653e-09
1854,8.157193320812439e-08,1.0391328908454511e-09
1855,7.270503488143731e-08,1.1675261646360013e-08
1856,9.836659842221707e-08,0.0
1857,8.981976407085313e-08,0.0
1858,6.214968806261822e-08,4.893676019968041e-10
1859,5.244938705573077e-08,1.5276520048956854e-09
1860,5.40107691904268e-08,1.373155145145688e-09
1861,7.498382359472089e-08,1.8863854922557266e-09
1862,7.138418567365079e-08,6.325180823552046e-09
1863,5.693867777267769e-08,0.0
1864,6.376988181955312e-08,0.0
1865,8.660593664444605e-08,4.706844358715045e-10
1866,7.784980482483661e-08,0.0
1867,4.85281148598915e-08,1.455843445796745e-09
1868,6.718228462432307e-08,9.87974813071446e-10
1869,4.444002499326416e-08,9.767038289254515e-10
1870,5.6193677266946906e-08,5.734048791339319e-10
1871,7.965883241922711e-08,0.0
1872,7.25680706636922e-08,0.0
1873,7.302925553176465e-08,5.986004469882289e-10
1874,2.7483201492373155e-08,0.0
1875,2.9751941355016243e-08,5.721527140956084e-10
1876,4.111290152764013e-08,6.04601479992084e-10
1877,5.318941731502491e-08,1.8554447978047506e-09
1878,7.307297522629597e-08,6.039088673581716e-10
1879,4.948553566919145e-08,2.443730107160036e-09
1880,5.198455355071019e-08,6.417846254436199e-10
1881,4.6018548971460405e-08,2.091752326904839e-09
1882,2.7952617998039386e-08,0.0
1883,5.561018312505439e-08,6.319338941018771e-10
1884,5.545425452169184e-08,0.0
1885,4.898683059195719e-08,6.445635691854079e-10
1886,3.807543791367607e-08,1.2906927748801422e-09
1887,4.504957828999068e-08,6.528924623161458e-10
1888,8.68664216113757e-08,4.4384300679212174e-09
1889,4.9494580878217675e-08,3.132568426877924e-09
1890,4.784702056781498e-08,1.3108772956016423e-09
1891,3.633305567518619e-08,0.0
1892,4.137218212463267e-08,0.0
1893,4.126139074855928e-08,1.2316833108982905e-09
1894,3.3398158905129094e-08,1.2603078580752936e-09
1895,3.91209944439197e-08,6.018614495673091e-10
1896,6.545702291305133e-08,5.89702897624278e-10
1897,4.603103676004139e-08,5.826713556089658e-10
1898,5.2056865484928494e-08,4.52668391659472e-09
1899,3.371822998587959e-08,5.527578395003729e-10
1900,2.491705508589348e-08,5.191053142894475e-10
1901,5.253414414596591e-08,5.588738916095792e-10
1902,3.633610035080892e-08,0.0
1903,4.75219366080637e-08,5.400220270956879e-10
1904,3.815983973254333e-08,0.0
1905,3.560923644840841e-08,2.580379465655369e-09
1906,4.1153477070565714e-08,1.0288369045596824e-09
1907,2.982849167665336e-08,5.65712765521198e-09
1908,5.402527847309102e-08,0.0
1909,4.8408654862441836e-08,1.1001967115120692e-09
1910,3.5271394693836555e-08,1.068830135508847e-09
1911,4.362706818028528e-08,5.320374141248863e-10
1912,3.542406545875565e-08,0.0
1913,2.4393752795504042e-08,5.30298971401777e-10
1914,3.4153391226254826e-08,6.696743715117748e-10
1915,2.238344798399794e-08,0.0
1916,1.648119329900055e-08,0.0
1917,5.3735480065597585e-08,0.0
1918,4.479686666059024e-08,1.1486376294556067e-09
1919,3.775218004875569e-08,9.207848372660976e-10
1920,3.63467123065675e-08,1.514446346106979e-09
1921,3.483463828501954e-08,1.5145494858259667e-09
1922,1.475587119159627e-08,7.377935484775833e-10
1923,3.1847843473542525e-08,0.0
1924,4.898817351772777e-08,0.0
1925,2.859526304632709e-08,0.0
1926,2.3406890647947876e-08,0.0
1927,1.8953683067479687e-08,5.574612327308159e-09
1928,2.170947865920425e-08,1.1426041224282812e-09
1929,2.4508894469477127e-08,0.0
1930,2.941009036305786e-08,0.0
