year,revenant_VERB en_ADP,revenant_VERB dans_ADP
1800,1.5406406683737828e-07,1.131899196593622e-07
1801,1.9049460320275102e-07,8.810375362600098e-08
1802,2.8196785706313676e-07,1.4098392853156838e-07
1803,1.5992782209650613e-07,8.776526527753958e-08
1804,2.2246658204494452e-07,8.404293216912606e-08
1805,2.2458733806018927e-07,1.449867568226182e-07
1806,2.910485816798314e-07,5.187004603612877e-08
1807,1.3095994200185146e-07,1.3380688734798696e-07
1808,1.7675376939862986e-07,1.0650547466184435e-07
1809,1.9201759871023683e-07,1.4909601020463015e-07
1810,1.9891076874500868e-07,1.0764582869526862e-07
1811,2.2062275562007017e-07,8.273353557797236e-08
1812,1.5736529235255148e-07,1.8403736135041981e-07
1813,1.6966875193702435e-07,7.189353823378042e-08
1814,2.2970743707162455e-07,1.7936059348855338e-07
1815,2.265667786716108e-07,2.3465845355730153e-07
1816,2.8274768482106083e-07,1.8540830559743426e-07
1817,1.7748357183933194e-07,1.572442176467348e-07
1818,2.348471959123799e-07,1.418620119153502e-07
1819,1.9045932164729606e-07,1.1800197141642599e-07
1820,2.3139637583824424e-07,2.1241001402216853e-07
1821,2.3766186751927876e-07,1.1044866865539404e-07
1822,3.3786325559503894e-07,1.303330066093622e-07
1823,3.4589403341556135e-07,1.096978223813494e-07
1824,1.98738261403264e-07,1.1536924660049408e-07
1825,2.6416329301781616e-07,1.6466178465179837e-07
1826,2.554315328140433e-07,1.7263649354504196e-07
1827,2.3411872929202104e-07,1.2996355525096703e-07
1828,2.283903057787029e-07,1.4217066279798019e-07
1829,2.666257739036837e-07,1.3031227830140324e-07
1830,1.69076743494756e-07,1.3567887013898883e-07
1831,1.7618063052893262e-07,1.7618063186120025e-07
1832,1.8671357970845293e-07,1.2853470821028168e-07
1833,2.0503022213347322e-07,1.3900354645102198e-07
1834,2.6323377255721425e-07,1.540197676064281e-07
1835,2.7151484260912184e-07,1.7697625764867553e-07
1836,3.259563818858169e-07,1.1290860202350927e-07
1837,2.296103938093097e-07,1.3498307693815548e-07
1838,2.234505322995517e-07,1.6537863545273979e-07
1839,2.1953231632565462e-07,1.8667238999015012e-07
1840,2.0064518801987674e-07,1.5350950377523986e-07
1841,2.4333879622417953e-07,1.3162125167553995e-07
1842,2.139936565725975e-07,1.871605954661959e-07
1843,1.9551876295764714e-07,1.0750578216534024e-07
1844,1.8935535939235137e-07,1.5477742199010436e-07
1845,1.8805368606766848e-07,1.434118557241959e-07
1846,1.7504959193281877e-07,9.542837009490768e-08
1847,2.3999844600552933e-07,1.2080820699367223e-07
1848,2.1078481182712494e-07,1.4481399546184548e-07
1849,1.9021271668862028e-07,2.2792008280703158e-07
1850,2.0027538294442593e-07,1.8601848505994667e-07
1851,2.3153485528837336e-07,1.8574384030856095e-07
1852,1.8489948505617804e-07,2.2266065968779003e-07
1853,1.6840848449106716e-07,1.9229621095462335e-07
1854,2.343244673852496e-07,1.9068087842022408e-07
1855,2.3987356101429214e-07,1.661071316050311e-07
1856,2.4695192024637436e-07,1.713649702139719e-07
1857,2.2064420690526276e-07,1.781750782470226e-07
