year,avaient_VERB eu_VERB,avaient_VERB dû_VERB
1800,2.920928864114103e-06,3.961647223604814e-07
1801,2.666924501681933e-06,2.4764298700574727e-07
1802,2.4728133212192915e-06,1.3874608839614666e-07
1803,2.636858653204399e-06,3.003522408562276e-07
1804,3.6237333915778436e-06,2.447132487759518e-07
1805,2.6609334327076795e-06,5.600468853117491e-07
1806,2.665543888724642e-06,4.898837460132199e-07
1807,5.819176294608042e-06,5.89319711252756e-07
1808,2.678499413377722e-06,4.44150515477304e-07
1809,3.9307133192778565e-06,5.037638288740709e-07
1810,3.4399863579892553e-06,4.212228077449254e-07
1811,4.821108632313553e-06,4.86372869090701e-07
1812,4.491578692977782e-06,4.56092607237224e-07
1813,4.468902716325829e-06,6.8730224711544e-07
1814,3.731959168362664e-06,6.010153583702049e-07
1815,5.782847438240424e-06,6.931864504622354e-07
1816,4.271344096196117e-06,4.055806925862271e-07
1817,5.372769919631537e-06,5.495763275575882e-07
1818,5.265584150038194e-06,6.568568551301723e-07
1819,6.149558885226725e-06,7.214682113954041e-07
1820,6.6808288465836085e-06,6.918158419466636e-07
1821,6.580571152881021e-06,6.380382728821132e-07
1822,6.089559065003414e-06,8.180902568710735e-07
1823,6.825971922808094e-06,8.894418215277256e-07
1824,6.390782345988555e-06,8.00005693690764e-07
1825,6.159407348604873e-06,9.122438768827124e-07
1826,6.24838412477402e-06,9.089839636544639e-07
1827,7.009736236796016e-06,9.991523484131903e-07
1828,6.781999672966776e-06,9.319057880929904e-07
1829,7.746722076262813e-06,1.0039188964583445e-06
1830,6.818384918005904e-06,1.1313529739709338e-06
1831,6.434490842366358e-06,1.0336970035496051e-06
1832,6.727100753778359e-06,1.4477067225016071e-06
1833,6.7949563344882336e-06,1.072643954103114e-06
1834,6.630317329836544e-06,1.1248109785810811e-06
1835,6.739467607985716e-06,1.182110622721666e-06
1836,7.173056474130135e-06,1.0874173312913626e-06
1837,7.209766408777796e-06,1.095867787626048e-06
1838,7.589743290736806e-06,1.2864186373917619e-06
1839,7.096347417245852e-06,1.2780416227542446e-06
1840,8.220083145715762e-06,1.28922499698092e-06
1841,6.756343282177113e-06,1.3707871175938635e-06
1842,7.515269317082129e-06,1.548938371342956e-06
1843,6.93057882017456e-06,1.2587627225002507e-06
1844,7.72734529164154e-06,1.3886060514778364e-06
1845,7.499268122046487e-06,1.6333327721440583e-06
1846,7.428191111102933e-06,1.5403193174279295e-06
1847,7.663770702492911e-06,1.648708462198556e-06
1848,6.998538538027788e-06,1.5406599231937435e-06
