year,étaient_VERB en_PRON,étaient_VERB dans_ADP,etaient_VERB en_PRON,etaient_VERB dans_ADP
1800,7.545995117652637e-08,4.0999902921612374e-06,3.144164484325529e-09,9.432493897065797e-09
1801,6.191074675143682e-08,4.264697963662911e-06,0.0,1.1905912700171939e-08
1802,3.1329761895904085e-08,3.3343817449349444e-06,0.0,4.475680270843441e-09
1803,4.4857802805609026e-08,3.4169943319284357e-06,3.900678446910888e-09,3.900678446910888e-09
1804,6.673997887673977e-08,5.366388450056547e-06,2.4718509461507665e-09,9.887403784603066e-09
1805,4.264316544322355e-08,3.877685230690986e-06,0.0,0.0
1806,1.729001475325731e-08,4.434888978721574e-06,0.0,8.645007376628655e-09
1807,1.195721210933698e-07,5.252632035990246e-06,2.8469551160981155e-09,1.7081731584767113e-08
1808,4.305540457494317e-08,4.2692831812018994e-06,0.0,1.5862518409903714e-08
1809,8.810219043198231e-08,4.881765107711544e-06,0.0,1.129515236897305e-08
1810,3.978215445954447e-08,4.593669018504443e-06,0.0,9.360507036149102e-09
1811,1.2033967777824728e-07,5.282410711515695e-06,0.0,7.521229861140455e-09
1812,6.401299401659344e-08,4.728959993371973e-06,0.0,0.0
1813,1.121539270343419e-07,5.4725364861951675e-06,2.8757416448144113e-09,3.163315653864629e-08
1814,1.4160046646338742e-07,6.025886705174344e-06,0.0,3.1466771410748606e-09
1815,8.631115377966125e-08,6.5137946876348e-06,0.0,8.091670444798638e-09
1816,6.952811304472561e-08,5.1497158892743755e-06,2.3176038865813098e-09,6.952811659743929e-09
1817,1.9460917144442647e-07,6.4392284002678934e-06,3.113746815941454e-09,9.341240669868967e-09
1818,8.821671571013212e-08,6.337297691061394e-06,3.5763532135746345e-09,7.152706427149269e-09
1819,1.583710655950199e-07,6.973502422624733e-06,2.070210003424222e-09,1.9666995143552413e-08
1820,1.2341141086835705e-07,7.37501795811113e-06,5.933240565525466e-09,1.3053129244156025e-08
1821,1.370746929296729e-07,6.9523493948508985e-06,9.86148829262845e-10,1.3806083387635226e-08
1822,1.2933044502005941e-07,8.356350917892996e-06,0.0,2.90742860897808e-08
1823,1.5515819029587874e-07,8.310351404361427e-06,0.0,9.882686669016039e-09
1824,5.642145595174952e-08,7.751634257147089e-06,8.421112696055388e-10,9.263223965660927e-09
1825,9.15766094067294e-08,7.2125385486288e-06,0.0,9.68598712347557e-09
1826,1.083382059618998e-07,7.606575309182517e-06,0.0,7.927186018719112e-09
1827,1.1705936486805513e-07,8.115808668662794e-06,8.295545583791863e-09,1.935627302884768e-08
1828,1.192399139426925e-07,8.290842743008398e-06,9.172301251858528e-10,4.3109814384934e-08
1829,1.4402935732960032e-07,9.545374268782325e-06,1.714635211591542e-09,1.5431716349212365e-08
1830,1.1897992635567789e-07,7.944519893499091e-06,1.0436835840010872e-09,1.1480519646056564e-08
1831,9.042899762334855e-08,7.178191481216345e-06,0.0,1.091384405071949e-08
1832,1.1906372776593344e-07,7.342714525293559e-06,0.0,1.7588959622116818e-08
1833,1.6796261093077192e-07,7.789990377204958e-06,5.791814139399776e-09,9.266902800675325e-09
