year,acceptant_VERB en_ADP,acceptant_VERB dans_ADP
1800,3.144164484325529e-09,0.0
1801,0.0,2.8574191901498125e-08
1802,8.951360541686881e-09,0.0
1803,0.0,1.950339223455444e-09
1804,5.9324420931261557e-08,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,2.881669125542885e-09
1807,1.9928686256776018e-08,0.0
1808,4.5321479902327155e-09,6.798221985349073e-09
1809,1.129515236897305e-08,0.0
1810,9.360507036149102e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,3.1466771410748606e-09,0.0
1815,5.394447111228828e-09,3.236668177919455e-08
1816,0.0,0.0
1817,3.113746815941454e-09,1.556873407970727e-09
1818,2.384235475716423e-09,0.0
1819,5.175524897538253e-09,1.1386155129855524e-08
1820,1.1866481131050932e-09,4.746592452420373e-09
1821,1.1833785951154141e-08,0.0
1822,1.303330066093622e-08,2.0051231786055723e-09
1823,2.9648061783404955e-09,0.0
1824,1.6842225392110777e-09,1.6842225392110777e-09
1825,8.805443041381977e-10,2.641632912414593e-09
1826,6.1655889282974385e-09,0.0
1827,5.530363722527909e-09,9.217273055917019e-10
1828,1.0089530988466322e-08,1.1006761724274838e-08
1829,6.001223074036943e-09,1.3717081692732336e-08
1830,6.262101504006523e-09,6.262101504006523e-09
1831,1.2472964883158966e-08,1.4032085715598441e-08
1832,1.488296597074168e-08,1.352996914505411e-08
1833,1.6217079235048004e-08,2.3167257667822128e-08
1834,1.120143711119681e-08,1.3068342852307069e-08
1835,1.1344631900556124e-08,1.285724948729694e-08
1836,1.2769425516978572e-08,2.2850549896702432e-08
1837,6.957891152126194e-09,5.5663127440652715e-09
1838,2.019891809368346e-08,1.7042836475411605e-08
1839,1.3982949909063791e-08,9.788065469251706e-09
1840,3.4396318682183846e-08,1.2739377552861697e-08
1841,2.247191943638427e-08,1.1556987367100646e-08
1842,6.708265054555795e-09,1.0062397137744483e-08
1843,1.1223130869097986e-08,1.8902115428431898e-08
1844,1.920996517412732e-08,1.756339607084101e-08
1845,2.17628883802945e-08,1.5066614622583074e-08
1846,1.6392604607062822e-08,1.2879902921980602e-08
1847,2.8584086209093584e-08,5.3932236454556914e-09
1848,3.700802153616678e-08,1.850401076808339e-08
1849,2.0948537127196687e-08,3.016589289472904e-08
1850,1.9009188889640427e-08,1.968808760466345e-08
1851,3.611685883697646e-08,1.5478653025979838e-08
1852,8.463708844885787e-09,1.3021090872200602e-08
1853,1.6124216628554677e-08,2.6276499864863467e-08
1854,2.909572138776184e-08,3.013485283531736e-08
1855,2.3350523292720027e-08,2.812676669350367e-08
1856,3.313401081284084e-08,1.501384794266869e-08
1857,9.274867096564776e-09,1.757343248698362e-08
1858,1.8106600663259087e-08,2.5447114637699997e-08
1859,4.0228169240208445e-08,1.2730433596175317e-08
1860,2.3801356663355477e-08,1.6935580049448618e-08
1861,2.971057178058345e-08,2.4051415081771665e-08
1862,2.0782737308877586e-08,4.517986429419807e-09
1863,2.8469338886338846e-08,1.7980635647063536e-08
1864,2.349416661218129e-08,1.726102105692462e-08
1865,3.388927893865912e-08,3.153585836912498e-08
1866,3.113992141923205e-08,9.244664589402873e-09
1867,2.7661025470138156e-08,2.038180824115443e-08
1868,2.7663294877022793e-08,2.766329387782207e-08
1869,1.8557372527538973e-08,8.30198221279943e-09
1870,2.1789384963000202e-08,2.8670243956696595e-08
