year,lisant_VERB en_ADP,lisant_VERB dans_ADP
1800,2.2009151834367913e-08,3.112722724019079e-07
1801,2.8574191901498125e-08,4.0480102825313224e-07
1802,6.713520406265161e-09,2.976327380110888e-07
1803,5.851017448321727e-09,3.335079969968291e-07
1804,1.2359254952798437e-08,3.905524592617837e-07
1805,8.528632911009026e-09,5.913185778805286e-07
1806,1.152667650217154e-08,2.968119074964193e-07
1807,3.701041606518629e-08,3.1885897033845367e-07
1808,6.345007363961486e-08,6.684918503196968e-07
1809,4.518061036407062e-09,2.981920204092603e-07
1810,0.0,3.0889674462741823e-07
1811,6.016983888912364e-08,4.663162656015629e-07
1812,2.6672082320544632e-09,1.5469807124190993e-07
1813,0.0,3.7384640450000006e-07
1814,1.8880061958270744e-08,4.310947758767725e-07
1815,8.091670444798638e-09,2.022917726662854e-07
1816,2.3176038865813098e-09,2.433484063146807e-07
1817,2.6466848268569265e-08,3.0981780696492933e-07
1818,5.00689456561787e-08,3.7194072399771017e-07
1819,1.7596784473994376e-08,2.5567092620804033e-07
1820,2.3732962262101864e-08,3.298881665614317e-07
1821,1.7750679148775816e-08,3.4712440011297474e-07
1822,2.0051231786055723e-08,2.757044512691209e-07
1823,6.522573414713406e-08,2.6979734646381814e-07
1824,2.7789671008804362e-08,2.7031772642516216e-07
1825,2.1133063299316746e-08,2.86176896180379e-07
1826,2.906634755106552e-08,3.2149143691651005e-07
1827,1.2904182611350734e-08,2.50709831561835e-07
1828,2.4765213879618386e-08,3.3478899763572656e-07
1829,3.0006116702452346e-08,2.9920385391513094e-07
1830,1.878630406793036e-08,2.692703660045481e-07
1831,3.4300654760954785e-08,3.2585619691438694e-07
1832,2.705993829010822e-08,3.3013123890146545e-07
1833,2.89590715851773e-08,2.5136473702502826e-07
1834,1.7735608537350345e-08,2.6136685971067664e-07
1835,2.2689263801112247e-08,2.1857324128404798e-07
1836,4.368487438455304e-08,2.567326427005412e-07
1837,2.7135774516295896e-08,3.005808935085952e-07
1838,5.1759727170974656e-08,1.8747121544038237e-07
1839,1.8876983531868063e-08,2.0624852092865353e-07
1840,2.293087852933695e-08,1.9363853009934928e-07
1841,1.7977535904378783e-08,2.407705608220567e-07
1842,2.683306021822318e-08,2.609515217244507e-07
1843,3.485077471054865e-08,3.018431584678183e-07
1844,1.5367971784030487e-08,2.8046548999904886e-07
1845,3.961961780873935e-08,2.6952500320476247e-07
