year,petit_ADJ oeil_NOUN,petit_ADJ deuil_NOUN
1800,2.5153315874604232e-08,4.7162467264882935e-08
1801,1.6668277424969347e-08,5.714838380299625e-08
1802,1.5664880947952042e-08,7.161088433349505e-08
1803,1.5602713787643552e-08,2.3404069793286908e-08
1804,3.9549615138412264e-08,3.6089022614760324e-07
1805,8.528632911009026e-09,3.496739680031169e-07
1806,0.0,4.725937401417468e-07
1807,2.8469551160981155e-09,1.0249038240317532e-07
1808,1.8128591960930862e-08,1.472948074621172e-07
1809,0.0,4.0662548883574345e-08
1810,2.3401267590372754e-09,1.4040761220357467e-07
1811,0.0,1.2786091829752877e-07
1812,0.0,6.934741492159446e-08
1813,0.0,6.614205716459765e-08
1814,9.440030979135372e-09,5.349351139827263e-08
1815,0.0,2.697223555614414e-09
1816,4.6352077731626196e-09,4.4034472068688046e-08
1817,0.0,6.694555576558514e-08
1818,2.384235475716423e-09,5.364529953588715e-08
1819,2.070210003424222e-09,3.105314982931873e-08
1820,1.1866481131050932e-09,3.559944161679596e-08
1821,0.0,2.7612166775270452e-08
1822,2.0051231786055723e-09,2.90742860897808e-08
1823,9.882686891060644e-10,2.569498569471307e-08
1824,0.0,2.947389532437228e-08
1825,5.283265824829186e-09,2.9057961592471315e-08
1826,8.807984341885344e-10,3.2589541176797354e-08
1827,1.8434546111834038e-09,5.4381910641332354e-08
1828,2.7516904310687096e-09,9.080577945130841e-08
1829,2.571952872898464e-09,4.286587884649862e-08
1830,0.0,5.740259556574756e-08
1831,6.236482441579483e-09,2.18276889896174e-08
1832,1.0823975493678972e-08,7.576783167539958e-08
1833,1.1583628278799551e-08,5.2126327809709494e-08
1834,4.667265685043276e-09,2.333632798112717e-08
1835,9.832014313815307e-09,2.193295500774184e-08
1836,2.688300027031687e-09,2.4866775305554256e-08
1837,6.957890930081589e-10,3.6181031504156635e-08
1838,3.1560809521380406e-09,1.3886756633496589e-08
1839,5.5931801412612e-09,3.915226209905143e-08
1840,6.369688665408546e-10,3.184844332704273e-09
1841,6.420548537278137e-10,1.0914932069283623e-08
1842,8.720745015011744e-09,3.823711169914645e-08
1843,3.5441467538532834e-09,7.147362324211315e-08
1844,1.6465684371524958e-09,3.073594295743831e-08
1845,2.7901139176833567e-09,2.2878935412862234e-08
1846,5.269050973311096e-09,2.4003455889598513e-08
1847,1.0786447290911383e-09,2.588747349818732e-08
1848,3.218088684420195e-09,9.65426583121598e-09
1849,6.703531951757213e-09,1.75967720394965e-08
1850,1.3577992064028876e-09,4.073397708026505e-08
1851,6.449438760824933e-10,4.6435957301582675e-08
1852,1.3021090872200602e-09,6.315229317266358e-08
1853,0.0,2.9859659189668264e-08
1854,0.0,3.8447916683725936e-08
1855,1.0613874223963649e-09,5.466145225341279e-08
1856,5.177189232874468e-10,5.1254173738524145e-08
1857,4.881509085841174e-10,6.443592326377257e-08
1858,1.468102750479261e-09,2.789395370239589e-08
1859,5.092173349652285e-10,6.416138242926195e-08
1860,8.238931314963338e-09,2.8836257826014844e-08
1861,1.8863854922557266e-09,3.4426534512022045e-08
1862,9.035972525772706e-10,5.873382136201144e-08
1863,1.4983863039219614e-09,3.795911879267422e-08
1864,4.794727948009836e-10,2.3973639406982272e-08
1865,1.882737743486018e-09,2.0710114512212385e-08
1866,3.4059290943133647e-09,4.2330832172865485e-08
1867,1.455843445796745e-09,1.552899675516528e-08
1868,2.4699371437009177e-09,3.309715523869272e-08
1869,0.0,2.197583626184496e-08
1870,5.734048791339319e-10,2.752343464251794e-08
1871,1.0621177271019633e-09,1.1683295220166201e-08
1872,0.0,2.4189358072135292e-08
1873,1.7958012854535355e-09,4.4895032025316084e-08
1874,5.377148060148329e-09,2.2106053876314036e-08
1875,2.8607636259891933e-09,3.2612703648737806e-08
1876,2.418405919968336e-09,3.4462285469771814e-08
1877,0.0,3.5253451269312563e-08
1878,6.039088673581716e-10,2.23446281477635e-08
1879,6.10932526790009e-10,3.2379422587602846e-08
1880,2.5671385017744797e-09,1.6044616302224313e-08
1881,2.091752326904839e-09,3.067903264764027e-08
1882,1.3310770263785798e-09,2.3959387362992857e-08
1883,5.687405213450347e-09,6.951272890631799e-09
1884,1.3203393933736152e-09,3.1027975744279956e-08
1885,4.511945039809007e-09,4.9631394161142595e-08
1886,1.2906927748801422e-09,3.4203360144147155e-08
1887,3.264462256069578e-09,1.2404957061562527e-08
1888,6.340614699951175e-10,2.8532765483646472e-08
1889,2.5060546970934183e-09,2.192797943223468e-08
1890,6.554386478008212e-10,2.6217545467943637e-08
1891,0.0,5.099376032546843e-09
1892,2.5074049503359674e-09,2.8835156484774416e-08
1893,4.310891643655168e-09,6.7742580989182954e-09
1894,4.411077725308132e-09,5.041231654345779e-09
1895,2.4074457982692365e-09,9.629783193076946e-09
1896,5.89702897624278e-10,4.3048309805726603e-08
1897,3.4960281336537946e-09,1.0488084178916779e-08
1898,2.8291773368493978e-09,1.0750873968845553e-08
1899,1.6582735185011188e-09,1.7688250864011934e-08
1900,5.191053142894475e-10,1.8168686111152965e-08
1901,2.794369402536745e-09,1.8442838367604963e-08
1902,2.9461704187383475e-09,7.856454153909453e-09
1903,1.6200660812870638e-09,1.7280704867062013e-08
1904,5.374625189347171e-10,7.524475265086039e-09
1905,7.741138396966107e-09,2.6835946631553753e-08
1906,4.115347618238729e-09,1.388929860013377e-08
1907,2.5714217422034835e-09,1.491424583832668e-08
1908,0.0,3.192402786567072e-08
