year,sachant_VERB en_ADP,sachant_VERB dans_ADP
1800,1.980823611802407e-07,6.288328968651058e-09
1801,7.143547975374531e-08,2.6193008650921e-08
1802,2.2378401354217203e-08,2.4616241489638924e-08
1803,6.046051481689574e-08,7.801356893821776e-09
1804,1.062895922387952e-07,4.69651695311768e-08
1805,4.264316633140197e-08,7.391481826601876e-08
1806,6.339671898558663e-08,2.5935023018064385e-08
1807,2.2775640928784924e-08,3.4163463169534225e-08
1808,1.8128591960930862e-08,3.6257183921861724e-08
1809,5.6475762733043666e-08,2.710836710662079e-08
1810,9.360507036149102e-09,3.7442028144596406e-08
1811,9.777599530025327e-08,6.267691787797958e-08
1812,2.400487453257938e-08,7.734903562095496e-08
1813,1.150296680130225e-08,8.627225156487839e-09
1814,3.4613449884091096e-08,1.5733386149463513e-08
1815,2.966945977789237e-08,1.0788894222457657e-08
1816,3.7081662185300956e-08,5.0987285504788815e-08
1817,5.449056994510926e-08,3.113746771532533e-08
1818,2.622659001083605e-08,1.4305412854298538e-08
1819,5.072014630513877e-08,3.001804671498576e-08
1820,7.119889033901927e-08,6.526564533260171e-08
1821,4.6348993976153e-08,7.494730880353018e-08
1822,5.3135764233047666e-08,3.0076847679083585e-08
1823,8.004976459474733e-08,2.075364236020505e-08
1824,1.2379035929654947e-07,4.294767297352564e-08
1825,4.2266127264767306e-08,3.9624492131906663e-08
1826,4.668231667892542e-08,2.2019960965735663e-08
1827,4.8851547418404806e-08,9.217273166939322e-09
1828,4.1275356466030644e-08,3.944089499441361e-08
1829,5.143905729143583e-08,3.0863434308248117e-08
1830,4.4878394334091354e-08,3.339787468803479e-08
1831,5.6128342862393765e-08,4.677361786775691e-08
1832,3.92369123858316e-08,3.92369123858316e-08
1833,4.51761508202253e-08,4.40177885252524e-08
1834,4.0138484536100805e-08,3.173740381612333e-08
1835,7.865611451052246e-08,2.949604294144592e-08
1836,6.586335432601231e-08,1.747394939854985e-08
1837,6.679574937606958e-08,2.922314124020886e-08
1838,6.94337813911261e-08,2.398621568033832e-08
1839,9.438491321844822e-08,2.307186797168015e-08
1840,5.350538501147639e-08,2.4841785517537573e-08
1841,4.687000343395198e-08,1.926164472365599e-08
1842,5.2995293486901573e-08,1.609983613093391e-08
1843,4.075768633704513e-08,1.1813821920725331e-08
1844,5.817874848546012e-08,2.6893951121653714e-08
1845,5.859239227135049e-08,2.511102525915021e-08
1846,3.9225158898759105e-08,1.4050803409659807e-08
1847,5.501088029546963e-08,1.4022381478184798e-08
1848,5.390298596363863e-08,3.459445352405055e-08
1849,4.1059134758825167e-08,1.005529792763582e-08
1850,5.838536587532417e-08,4.752297222410107e-09
1851,5.4175285590929434e-08,2.3862924081186065e-08
1852,3.906327350478023e-08,1.4323199515331453e-08
1853,3.941474835400527e-08,3.165123918513757e-08
1854,6.546537267837493e-08,1.8704392701351935e-08
1855,8.703376508378824e-08,2.0166361025530932e-08
1856,7.248065037046558e-08,2.329735160344626e-08
1857,6.980557731850467e-08,5.27202992373077e-08
1858,6.997956869536637e-08,1.7127865237220874e-08
1859,6.823512066489457e-08,2.2914780739569096e-08
1860,6.728460344440634e-08,2.6089949090035702e-08
1861,4.998921632193287e-08,2.6409397335669382e-08
1862,3.704748874344688e-08,3.0722308280717314e-08
1863,9.24004863733785e-08,2.8469338886338846e-08
1864,6.04135705906117e-08,3.452204277998305e-08
1865,6.213034631219472e-08,4.377365236951647e-08
1866,6.179328337907464e-08,2.6274309505858184e-08
1867,3.833720896295745e-08,2.329349513274792e-08
1868,6.17484268161661e-08,2.173544577654951e-08
1869,7.032267301809725e-08,3.809144999422642e-08
1870,4.9312818717339724e-08,3.612450605317008e-08
1871,7.859671158350068e-08,3.717412155879174e-08
1872,6.954440012751917e-08,2.842249446910472e-08
1873,6.34516448272393e-08,3.6514627765882324e-08
1874,6.751308201380368e-08,4.421210630933814e-08
1875,4.062284375550007e-08,3.432916173551348e-08
1876,6.529695806278824e-08,3.688069005747252e-08
1877,4.9478528385549225e-08,2.7213190256780706e-08
1878,4.408534559630084e-08,4.166971123709118e-08
1879,5.6205792797747733e-08,3.5434084888485984e-08
1880,4.813384624213768e-08,2.4387814878679137e-08
1881,4.462404945559939e-08,2.6495528548942104e-08
