year,veulent_VERB écrire_VERB,veulent_VERB ecrire_VERB,veulent_VERB décrire_VERB
1800,1.477757365364596e-07,0.0,0.0
1801,4.524246932646747e-08,0.0,0.0
1802,1.3874608839614666e-07,0.0,0.0
1803,1.3457341196954076e-07,0.0,3.510610468993036e-08
1804,9.640218934237055e-08,0.0,2.4718509461507665e-09
1805,3.4114531644036106e-08,0.0,2.842877711017877e-09
1806,4.8988376022407465e-08,0.0,1.4408345627714425e-08
1807,9.11025637151397e-08,0.0,2.8469551160981155e-09
1808,4.305540457494317e-08,0.0,2.2660739951163578e-09
1809,7.00299480627109e-08,0.0,2.4849335034105025e-08
1810,4.44624070894406e-08,0.0,0.0
1811,6.016983888912364e-08,0.0,0.0
1812,2.6672083208723052e-08,0.0,0.0
1813,8.052076339026826e-08,0.0,0.0
1814,1.1013369771717407e-07,0.0,3.1466771410748606e-09
1815,5.664169577812572e-08,0.0,0.0
1816,3.7081662185300956e-08,0.0,0.0
1817,6.538868291272593e-08,0.0,4.670620334934483e-09
1818,7.033494853203592e-08,0.0,1.7881765401739358e-08
1819,8.69488232524418e-08,0.0,0.0
1820,1.281579926626364e-07,0.0,0.0
1821,7.297501269931672e-08,2.9584463767662328e-09,9.86148829262845e-10
1822,7.619468078701175e-08,0.0,1.804610860745015e-08
1823,8.795591099897138e-08,0.0,9.882686669016039e-09
1824,5.642145595174952e-08,0.0,1.6000115010683658e-08
1825,9.5979331149465e-08,0.0,1.4088708866211164e-08
1826,1.1362299545680798e-07,8.807984341885344e-10,7.927186018719112e-09
1827,7.005127855563842e-08,9.217273055917019e-10,5.530363722527909e-09
1828,6.053718948351161e-08,0.0,9.172301251858528e-10
1829,4.200856196234781e-08,0.0,1.714635211591542e-09
1830,4.4878394334091354e-08,9.39315203396518e-09,4.174734336004349e-09
1831,6.860130952190957e-08,0.0,4.053713453799901e-08
1832,5.141388470519814e-08,0.0,0.0
1833,5.444305273272221e-08,1.1583628500844156e-09,0.0
1834,8.58776871837108e-08,0.0,2.333632664885954e-08
1835,3.554651328840919e-08,0.0,0.0
1836,5.443807538085821e-08,0.0,6.720750067579218e-10
1837,6.470838798122713e-08,0.0,4.174734336004349e-09
1838,5.680945847075236e-08,0.0,9.468243078458727e-09
1839,5.3135210009713774e-08,0.0,1.0487212875887053e-08
1840,3.9492068282243054e-08,6.369688665408546e-10,1.6561189752906103e-08
1841,5.3290552415319326e-08,0.0,1.0272877659645019e-08
1842,3.085801836277824e-08,0.0,2.683306021822318e-09
1843,3.2488010504039266e-08,2.3627644285539873e-09,4.134837805480629e-09
1844,4.171306500211358e-08,0.0,7.683985892015244e-09
1845,5.0780073479472776e-08,0.0,1.3392547515422848e-08
1846,3.8639708321852595e-08,0.0,1.3465353276842507e-08
1847,4.1527822958187244e-08,0.0,3.235934187273415e-09
1848,5.148941895072312e-08,0.0,4.02261068899179e-09
1849,4.273501730267526e-08,0.0,0.0
1850,3.190828223864628e-08,0.0,0.0
1851,3.5471913406581734e-08,0.0,1.9348316282474798e-09
1852,4.948014620254071e-08,0.0,1.3021090872200602e-09
1853,6.151089593231518e-08,0.0,5.971931837933653e-10
1854,2.4939190268469247e-08,5.195664454227256e-10,2.0782657816909023e-09
1855,2.812676669350367e-08,0.0,5.306937111981824e-10
1856,4.504154560436291e-08,1.5531567143511893e-09,1.0354378687793542e-08
1857,5.2232145719699474e-08,0.0,4.881508974818871e-09
1858,3.7191938417890924e-08,0.0,3.9149408159744326e-09
1859,4.4811123700583266e-08,0.0,1.5276520048956854e-09
1860,3.661747172145624e-08,0.0,5.492620580582752e-09
1861,4.33868656557479e-08,0.0,4.2443675241088386e-09
1862,4.517986340601965e-08,0.0,0.0
1863,4.145535115185339e-08,0.0,4.495158911765884e-09
1864,2.7329949858767577e-08,0.0,3.835782358407869e-09
1865,4.000817810378976e-08,0.0,5.6482134525026595e-09
1866,3.649209645573137e-08,0.0,4.865612801552288e-09
1867,2.8631587767335986e-08,0.0,9.7056229719783e-10
1868,3.556709415875048e-08,0.0,4.44588676984381e-09
1869,3.4672986259920435e-08,0.0,4.395167341186834e-09
1870,2.5803219116937726e-08,0.0,1.7202146374017957e-09
1871,4.5671061599250606e-08,0.0,0.0
1872,1.7537283625301825e-08,0.0,1.2094678591978436e-09
1873,4.968383748860106e-08,0.0,7.183205141814142e-09
1874,1.9716210886144836e-08,1.7923826867161097e-09,2.9873046258899194e-09
1875,1.7736734747586524e-08,0.0,5.721527251978387e-09
1876,1.5115036333668286e-08,0.0,3.627608879952504e-09
1877,2.040989244278535e-08,0.0,2.4739263970730008e-09
1878,3.6838439854136595e-08,6.039088673581716e-10,9.662541877730746e-09
1879,1.3440515367335593e-08,0.0,1.221865053580018e-09
1880,3.144744553651435e-08,0.0,2.5671385017744797e-09
1881,1.9523021421719022e-08,0.0,3.4862537301449947e-09
1882,3.3276926103553706e-08,0.0,1.3310770263785798e-09
1883,2.5909288936531993e-08,0.0,4.423537092179686e-09
