year,doivent_VERB écrire_VERB,doivent_VERB ecrire_VERB,doivent_VERB décrire_VERB
1800,2.5153315874604232e-08,0.0,9.432493897065797e-09
1801,7.143547975374531e-09,0.0,2.1430643926123594e-08
1802,3.3567602031325805e-08,2.2378401354217203e-09,1.5664880947952042e-08
1803,4.8758479920252285e-08,0.0,2.5354410126965377e-08
1804,2.4718509905596875e-08,0.0,2.4718509461507665e-09
1805,1.421438877713399e-08,0.0,2.842877711017877e-09
1806,2.0171682990621775e-08,0.0,6.339671898558663e-08
1807,9.394951661079176e-08,0.0,8.540865792383556e-09
1808,6.345007363961486e-08,0.0,2.039466551195801e-08
1809,3.6144488291256494e-08,0.0,2.259030518203531e-09
1810,3.978215445954447e-08,0.0,2.3401267590372754e-09
1811,2.5070768572277302e-08,0.0,1.7549536934780008e-08
1812,3.467370746079723e-08,0.0,5.067695596494559e-08
1813,1.4378708002027452e-08,0.0,4.3136125782439194e-08
1814,1.2586708564299443e-08,0.0,1.5733386149463513e-08
1815,2.966945977789237e-08,0.0,5.394447111228828e-09
1816,5.0987285504788815e-08,0.0,6.952811659743929e-09
1817,5.1376822796100896e-08,0.0,3.113746771532533e-08
1818,3.2187177367859476e-08,0.0,2.026600220972341e-08
1819,3.415846450138815e-08,0.0,2.173720581311045e-08
1820,2.7292905713238724e-08,0.0,8.306536791735653e-09
1821,2.859831660373402e-08,0.0,6.903041693817613e-09
1822,2.3058916553964082e-08,0.0,3.308453244699194e-08
1823,2.9648060007048116e-08,0.0,1.581229902569703e-08
1824,3.536867154707579e-08,0.0,5.052667617633233e-09
1825,4.0505039322624725e-08,0.0,1.7610886970942374e-08
1826,5.2847905607222856e-08,0.0,2.642395191543301e-09
1827,4.147772969531616e-08,0.0,2.7651818612639545e-08
1828,3.8523666034961934e-08,0.0,1.559291185060374e-08
1829,3.6864655328372464e-08,0.0,7.715858174606183e-09
1830,2.6092090266160994e-08,0.0,3.1310506187764986e-08
1831,4.053713453799901e-08,0.0,1.870944643656003e-08
1832,4.464889968858188e-08,0.0,1.7588959622116818e-08
1833,1.0425265983826648e-08,0.0,3.4750886612755494e-09
1834,4.1071935186209885e-08,0.0,1.3068342852307069e-08
1835,5.218530674255817e-08,0.0,2.8739734148075513e-08
1836,3.024337402735e-08,0.0,1.1425274948351216e-08
1837,4.6617870452791976e-08,0.0,5.5663127440652715e-09
1838,4.5447563934430946e-08,0.0,4.418513555037862e-09
1839,5.453350482298447e-08,0.0,1.0487212875887053e-08
1840,1.9746034141121527e-08,0.0,2.0383003729307347e-08
1841,2.8250413564023802e-08,0.0,8.988767952189392e-09
1842,4.360372329870188e-08,0.0,7.379091560011375e-09
1843,4.0757687003178944e-08,0.0,1.5357969118667825e-08
1844,3.512679214168202e-08,0.0,3.841992946007622e-09
1845,4.1293688468613254e-08,1.1160455892778032e-09,6.138250796539069e-09
1846,3.0443406018321184e-08,0.0,9.952652035849496e-09
1847,3.721324404182269e-08,3.775256551818984e-09,1.3483059113639229e-08
1848,2.333114323960217e-08,0.0,9.65426583121598e-09
1849,3.267971848686102e-08,0.0,2.1786478399121734e-08
1850,2.308258650884909e-08,0.0,4.073397619208663e-09
1851,4.1921353499674296e-08,0.0,6.449438760824933e-09
1852,5.0131198747749295e-08,0.0,1.7578472011337e-08
1853,5.6733352238325097e-08,0.0,8.957897534855874e-09
1854,3.3252252507054436e-08,0.0,1.506742641765868e-08
