year,craignant_VERB en_ADP,craignant_VERB dans_ADP
1800,4.7162467708972144e-08,3.144164484325529e-09
1801,4.7623651688866175e-09,2.3811825844433088e-09
1802,4.699464284385613e-08,0.0
1803,3.900678446910888e-09,3.900678446910888e-09
1804,9.887403784603066e-09,2.4718509461507665e-09
1805,5.685755422035754e-09,1.4214388555089386e-08
1806,5.76333825108577e-09,2.305335300434308e-08
1807,5.693910232196231e-09,8.540865792383556e-09
1808,3.852325791697808e-08,4.5321479902327155e-09
1809,2.4849335922283444e-08,6.7770915546105925e-09
1810,2.574139390532082e-08,0.0
1811,0.0,0.0
1812,2.9339290108509886e-08,1.3336041604361526e-08
1813,8.627225156487839e-09,0.0
1814,9.440030979135372e-09,1.8880061958270744e-08
1815,5.394447111228828e-09,2.697223555614414e-09
1816,9.270415546325239e-09,4.6352077731626196e-09
1817,4.826307709038247e-08,2.80237220096069e-08
1818,3.5763532135746345e-09,2.384235475716423e-09
1819,1.7596785362172795e-08,1.449147024601416e-08
1820,3.9159388620646496e-08,0.0
1821,3.8459806006585495e-08,1.577838115718322e-08
1822,1.604098542884458e-08,1.0025615893027862e-09
1823,4.15072847204101e-08,2.569498536164616e-08
1824,4.968456313036995e-08,8.421112696055388e-09
1825,7.9248987816527e-08,7.924898959288385e-09
1826,3.787433300317389e-08,3.082794464148719e-08
1827,2.5808364778612258e-08,7.373818444733615e-09
1828,3.6689203342099574e-08,5.5033806956039655e-09
1829,4.458051672262542e-08,2.6576846057224657e-08
1830,2.400472176589119e-08,2.0873671680021744e-09
1831,1.2472964883158966e-08,0.0
1832,5.0060886991332154e-08,1.3529969367098715e-09
1833,2.89590715851773e-08,9.266902467608418e-09
1834,1.4001796166951408e-08,6.534171426153534e-09
1835,3.025235173481633e-08,1.4369867074037757e-08
1836,3.629205203026231e-08,2.0162250202737653e-09
1837,3.2006298833486824e-08,1.2524203896191466e-08
1838,1.2624324030596767e-08,9.468243078458727e-09
1839,2.307186797168015e-08,1.3982950353153e-09
1840,1.9109066329292546e-08,9.554533331179726e-09
1841,3.467096298948036e-08,6.420548537278137e-10
1842,2.95163662400455e-08,2.0124795163667386e-09
1843,3.6622847421341476e-08,5.31621990873532e-09
1844,2.6893951121653714e-08,1.0428266250528395e-08
1845,3.459741454436838e-08,7.254296274794569e-09
1846,2.7516156908546918e-08,5.269050973311096e-09
1847,3.182001950818858e-08,1.6179670936367074e-09
1848,1.528592141752938e-08,7.24069959545659e-09
1849,3.100383505483251e-08,1.6758829879393033e-09
1850,2.1724788190624622e-08,8.146795238417326e-09
1851,3.031236150974337e-08,1.2898877521649865e-09
1852,9.765818598239662e-09,2.0833744951431754e-08
1853,2.149895461656115e-08,7.763511611358354e-09
1854,2.2341357874822165e-08,6.754363734984281e-09
1855,1.751289246954002e-08,5.837630823180007e-09
1856,3.209857357688861e-08,1.2942973359741927e-08
