year,eût_VERB eu_VERB,eût_VERB dû_VERB
1800,3.851601377391489e-06,2.053139496638323e-06
1801,3.540818397596013e-06,1.8406541357762762e-06
1802,4.1735720515134744e-06,1.3964122445031535e-06
1803,3.3877392979775323e-06,1.7240998886336456e-06
1804,4.189787432551384e-06,2.1455666683323216e-06
1805,3.644569233074435e-06,1.8336561424803222e-06
1806,3.855673185171327e-06,1.4091361890677945e-06
1807,3.985737293987768e-06,1.981480863832985e-06
1808,4.22622815676732e-06,2.465488478264888e-06
1809,3.9781525629223324e-06,1.9563203750294633e-06
1810,3.8144066820677835e-06,2.1575967821263475e-06
1811,3.4021031751763076e-06,1.3939346672486863e-06
1812,4.3342133722035214e-06,1.9417275325395167e-06
1813,3.7557185805781046e-06,1.828971676332003e-06
1814,4.301507487980416e-06,1.8187794239565847e-06
1815,3.5441516956780106e-06,2.093045395668014e-06
1816,3.0777780466451077e-06,1.2955405281900312e-06
1817,4.0712238842388615e-06,2.0192649117234396e-06
1818,3.90895411328529e-06,1.8811617792380275e-06
1819,4.315352725825505e-06,2.1250705231068423e-06
1820,3.838806605926948e-06,2.113420350724482e-06
1821,4.521492428466445e-06,1.5689628298787284e-06
1822,4.339086444815621e-06,1.7434546180083998e-06
1823,6.3427082750422414e-06,2.9045215796941193e-06
1824,4.589506261254428e-06,2.3688589863013476e-06
1825,5.403019713412505e-06,2.1846303752681706e-06
1826,4.455959242477547e-06,2.1482674128492363e-06
1827,4.209528469800716e-06,2.47852472057275e-06
1828,4.219258698867634e-06,2.8113104235671926e-06
1829,4.006245035270695e-06,2.6748309664981207e-06
1830,4.699707005784148e-06,2.743844106589677e-06
1831,3.063672011194285e-06,1.607453327778785e-06
1832,2.9684752007597126e-06,1.5681234799558297e-06
1833,2.8009212655888405e-06,1.8174713432017597e-06
1834,3.1858753573033027e-06,1.8108989934262354e-06
1835,3.392801318113925e-06,1.5504330121984822e-06
1836,3.4134689030906884e-06,1.567951017023006e-06
1837,3.3279591207246995e-06,1.539781237624993e-06
1838,3.925533292203909e-06,1.914478616527049e-06
1839,3.2223708785750205e-06,1.6381026171075064e-06
1840,3.218603751520277e-06,1.6172639334399719e-06
1841,3.1049771678226534e-06,2.0924567252222914e-06
1842,3.3360201996401884e-06,2.1506698431039695e-06
1843,2.8110989660490304e-06,1.509806452304474e-06
1844,3.1015858894534176e-06,1.8726971120486269e-06
1845,2.6154527859034715e-06,1.698063329058641e-06
1846,2.890952828238369e-06,1.7235652194358408e-06
1847,2.6189493382844375e-06,2.0461891381273745e-06
