year,quand_CONJ eux_PRON,quand_CONJ deux_DET
1800,3.458580977167003e-08,8.332035861258191e-07
1801,1.1905912700171939e-08,6.167263109091436e-07
1802,0.0,6.95968282116155e-07
1803,2.145373079187607e-08,5.753500715854898e-07
1804,4.943701892301533e-09,6.031316388543928e-07
1805,2.842877711017877e-09,6.22590206944551e-07
1806,5.76333825108577e-09,8.126307022848778e-07
1807,2.562259560079383e-08,7.629839728906518e-07
1808,2.945896149242344e-08,6.277024908740714e-07
1809,0.0,5.082818574919656e-07
1810,7.020380277111826e-09,5.967323204458808e-07
1811,1.504245972228091e-08,7.596442515023227e-07
1812,1.3336041604361526e-08,1.0988897543029452e-06
1813,3.4508900625951355e-08,7.50568588614442e-07
1814,5.349351184236184e-08,7.835226085717295e-07
1815,1.8880564667256294e-08,3.6951963267028987e-07
1816,4.4034472068688046e-08,5.029200593753558e-07
1817,2.3353100786493997e-08,5.293369440551032e-07
1818,6.795070817133819e-08,4.637337838175881e-07
1819,2.898294093611753e-08,7.080118393787416e-07
1820,5.3399165977907614e-08,7.867477052059257e-07
1821,3.845980400818405e-08,6.370521532517159e-07
1822,1.7043547018147365e-08,7.759826843312112e-07
1823,1.7788837070042973e-08,6.641165413157069e-07
1824,3.705289675082213e-08,6.458993340174857e-07
1825,5.459374818883589e-08,8.294726967505994e-07
1826,5.549030035467695e-08,8.08572934829499e-07
1827,5.2538457140371975e-08,5.650188370509568e-07
1828,3.944089499441361e-08,6.383921657970859e-07
1829,5.058173968564006e-08,6.627064976783004e-07
1830,5.0096812032052185e-08,7.744132233256096e-07
1831,7.327867024287116e-08,7.296684430002642e-07
1832,3.2471927369215337e-08,7.279123508396879e-07
1833,6.02348677603004e-08,8.398130404430049e-07
1834,3.453776287187793e-08,7.953020428885793e-07
1835,7.33619529569296e-08,6.806779140333674e-07
1836,1.1290860424395532e-07,7.19120265557649e-07
1837,2.922314124020886e-08,1.002632103563883e-06
1838,4.544756593283239e-08,7.662964662813465e-07
1839,3.425822825420255e-08,6.362242288560083e-07
1840,4.713569690117936e-08,7.325141950786929e-07
1841,3.7239181516213193e-08,6.863566568426904e-07
1842,3.6895457355967665e-08,8.432289178017527e-07
1843,3.544146498501988e-08,8.092468135600939e-07
