year,parlant_VERB en_ADP,parlant_VERB dans_ADP
1800,1.7292904752608251e-07,1.1633408547595536e-07
1801,3.0955372665175673e-07,6.667311436281409e-08
1802,4.0057338424048794e-07,1.2755688771903806e-07
1803,1.9503391857078611e-07,1.4627543976075685e-07
1804,2.5707248596518184e-07,1.656140113936999e-07
1805,2.331159758561796e-07,1.990014444341881e-07
1806,2.3053353626067974e-07,1.2103009794373065e-07
1807,2.2490945994491085e-07,1.9074599322266295e-07
1808,1.5182696255777728e-07,1.2236799307174806e-07
1809,1.6265019753269883e-07,2.0331275152329908e-07
1810,1.8018975822542416e-07,1.8955026348521642e-07
1811,2.4820059252306237e-07,1.3287507272252697e-07
1812,2.2671270283325384e-07,1.1735716043403954e-07
1813,2.5306526652002503e-07,1.322841143291953e-07
1814,2.5173416240420465e-07,1.3530711839848664e-07
1815,2.1038343334112142e-07,7.282503844407984e-08
1816,2.1785476178592944e-07,9.270415546325239e-08
1817,2.895784583234473e-07,1.1053801518556838e-07
1818,3.2902449920158006e-07,9.417730217897713e-08
1819,2.732677195638189e-07,1.5216044069177315e-07
1820,3.144617419792439e-07,1.2341141086835705e-07
1821,3.7375040840004203e-07,2.465372127558041e-07
1822,2.6367369798663276e-07,1.9950975627125445e-07
1823,3.4194096265594e-07,1.492285708337704e-07
1824,3.444235145977359e-07,1.178955759684186e-07
1825,3.222792086532422e-07,1.3296218526193115e-07
1826,2.9770988418942324e-07,1.8937165691124136e-07
1827,2.3964910234042236e-07,1.43789463891153e-07
1828,2.045423124208412e-07,1.421706722348759e-07
1829,2.0318427118581894e-07,1.3031227918958166e-07
1830,3.068429634822678e-07,1.408972807315223e-07
1831,2.5725489649630617e-07,1.5435294642429653e-07
1832,3.206602769978417e-07,1.799485913611676e-07
1833,2.096636748660785e-07,1.18153010930655e-07
1834,1.6335429275926572e-07,1.390845154602971e-07
1835,3.0630507552587005e-07,1.2554725969948777e-07
1836,4.328163001332541e-07,1.7137912511344666e-07
1837,3.4371981705305643e-07,1.6977253380900947e-07
1838,2.486991868000388e-07,1.7800296348013944e-07
1839,2.53790554793909e-07,1.2444826325008762e-07
1840,2.9427962733308277e-07,1.35037400372795e-07
1841,3.036919515864156e-07,1.5280905918402254e-07
1842,2.85101279029476e-07,1.4355686994704797e-07
1843,2.6049477774847674e-07,1.777980189743289e-07
1844,2.705860739915522e-07,1.3117660779826679e-07
1845,2.996582306735718e-07,1.796833348777227e-07
1846,2.810160757427127e-07,1.586569848832653e-07
1847,2.1788623261187468e-07,1.7042586364368617e-07
1848,2.2848429237498635e-07,1.391823323260155e-07
1849,2.1032331520842718e-07,1.516674075219271e-07
1850,2.525506523909371e-07,1.1066063532183534e-07
1851,2.7087642617829033e-07,1.567213594455552e-07
1852,3.125061880382418e-07,1.7122735118668686e-07
1853,3.2547029227281143e-07,1.791579564702772e-07
1854,3.7304871280952057e-07,1.5742863634926607e-07
1855,3.3964397516683675e-07,1.2736648358213642e-07
1856,3.479071040146664e-07,1.428904217171123e-07
1857,3.080232233720892e-07,1.1276286082662068e-07
1858,3.768130607539888e-07,1.3115051089584995e-07
1859,3.610350853833211e-07,1.0642642322977736e-07
1860,2.9614380103737403e-07,1.336537671647875e-07
1861,3.121967973029882e-07,1.909965255397772e-07
1862,2.4803745279911027e-07,1.499971427065816e-07
1863,3.2315195852561374e-07,1.5383432305782208e-07
1864,2.824094886832995e-07,1.8555597725011808e-07
1865,2.9558983438704445e-07,1.699170858460164e-07
1866,2.933964466933503e-07,1.3331778792036175e-07
1867,2.843747619607484e-07,1.72274805976258e-07
1868,2.988623801769563e-07,1.254727987065607e-07
1869,2.744537770382749e-07,1.6213283249300048e-07
1870,3.0505140458103597e-07,1.456448348591266e-07
1871,2.3366590440332402e-07,1.6993884188742925e-07
1872,3.211137169500944e-07,2.1951841233658342e-07
1873,2.2866537108257035e-07,1.197200882319116e-07
1874,2.5511581469572775e-07,1.4040332008136147e-07
1875,2.7634976618173823e-07,1.0069887501629182e-07
1876,2.58769427219363e-07,1.5840558198476629e-07
1877,2.603807516265988e-07,1.484355776071311e-07
1878,3.0557787855656215e-07,1.2923649395091275e-07
1879,3.323472910210512e-07,2.1016078877167388e-07
1880,2.573556274754196e-07,1.5210295289946885e-07
1881,3.263133461217649e-07,2.0220272034521258e-07
1882,2.682120241459529e-07,1.5174277834262284e-07
1883,2.8373831817418704e-07,1.20067437436866e-07
1884,2.475636353693744e-07,9.24237593125099e-08
1885,2.655601782919348e-07,1.3213553540225575e-07
1886,2.3426074235999295e-07,1.271332398244951e-07
1887,2.3047104047435596e-07,1.2927270631735155e-07
1888,2.22555582851669e-07,1.2998259979468685e-07
1889,2.3243657132354656e-07,1.1402549215944191e-07
1890,1.9990878108444576e-07,1.245333463018028e-07
1891,2.460448946806082e-07,1.089991639169341e-07
1892,1.9432387787787775e-07,1.2286283879170412e-07
1893,2.3463566556358728e-07,1.1700991120466853e-07
1894,2.2433480317829435e-07,1.581686293050666e-07
1895,2.136608170388854e-07,1.3060393211361543e-07
1896,2.4531640541169963e-07,9.2583355426612e-08
1897,2.1325771371039082e-07,9.730611338909512e-08
1898,2.2916337361067463e-07,1.2844465935302196e-07
1899,2.1723382737093289e-07,1.304508536748017e-07
1900,1.8999254791651765e-07,1.3548648425398824e-07
1901,2.3640365576227396e-07,1.2518774683556444e-07
1902,1.870818095994764e-07,9.476847750988782e-08
1903,2.6137066555520505e-07,9.936405476196342e-08
1904,2.327212662578404e-07,1.343656261809656e-07
1905,2.1571973540801537e-07,9.031328285225015e-08
1906,2.4177668045410883e-07,1.3374879426208963e-07
1907,2.3348509259335515e-07,1.5685672405396645e-07
1908,2.1560998142433618e-07,1.2769611856811025e-07
1909,2.0793717148137603e-07,1.5237724682037879e-07
1910,2.1323161547570635e-07,1.3574142609940054e-07
1911,2.027062562248716e-07,1.2236860413850081e-07
1912,2.458846761754785e-07,1.2450516595485794e-07
1913,2.449981213459296e-07,1.389383319505555e-07
1914,2.5715496398959203e-07,1.5603412739650935e-07
1915,2.8745059310608667e-07,1.3783490881991156e-07
1916,2.8457527534442306e-07,1.2196082543880493e-07
1917,3.081565118634444e-07,1.5133665343114444e-07
1918,3.078348722596047e-07,1.7114700057163645e-07
1919,2.3848327401765346e-07,1.270683043230747e-07
1920,3.104615053928228e-07,1.370573983194845e-07
1921,2.6580342726845174e-07,1.1510576047868426e-07
