year,eut_VERB étendu_VERB,eut_VERB détendu_VERB
1800,6.288328968651058e-09,0.0
1801,9.524730337773235e-09,0.0
1802,3.1329761895904085e-08,0.0
1803,5.851017448321727e-09,0.0
1804,5.6852570651244605e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,4.555128185756985e-08,0.0
1808,2.039466551195801e-08,0.0
1809,6.09938268780752e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,7.521229861140455e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,2.300593315851529e-08,0.0
1814,0.0,0.0
1815,2.1577788444915313e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,3.113746815941454e-09,0.0
1818,5.6029534789558966e-08,0.0
1819,1.449147024601416e-08,0.0
1820,4.390598107306687e-08,0.0
1821,3.0570614484304315e-08,0.0
1822,3.208197085768916e-08,0.0
1823,3.4589405117912975e-08,1.9765373782121287e-09
1824,1.8526447931321854e-08,0.0
1825,5.547429182684027e-08,0.0
1826,2.906634755106552e-08,0.0
1827,5.1616730445402936e-08,0.0
1828,1.6510142586412258e-08,0.0
1829,2.743416338546467e-08,0.0
1830,6.470838087579978e-08,0.0
1831,6.236482441579483e-09,0.0
1832,4.19429042608499e-08,0.0
1833,5.09679658478035e-08,0.0
1834,2.8937046536725575e-08,0.0
1835,6.050470346963266e-08,0.0
1836,2.8899226123257904e-08,0.0
1837,2.2265250976261086e-08,0.0
1838,5.617824072601252e-08,0.0
1839,2.4470162784950844e-08,0.0
1840,4.0766007458614695e-08,0.0
1841,4.237562123421412e-08,0.0
1842,2.817471411731276e-08,0.0
1843,4.1939067330076796e-08,0.0
1844,5.2690189988879865e-08,5.488561272137815e-10
1845,6.584669165476953e-08,0.0
1846,3.5127008857216424e-08,0.0
1847,4.6921044827286096e-08,0.0
1848,3.057184372323718e-08,0.0
1849,3.100383594301093e-08,0.0
1850,2.9192683825840504e-08,0.0
1851,3.1602251482354404e-08,5.159551008659946e-09
1852,1.8880582430824688e-08,0.0
1853,3.4040009921909586e-08,0.0
1854,4.052618152172727e-08,0.0
1855,4.404757802944914e-08,0.0
1856,2.847454005916461e-08,0.0
1857,2.5383847912507917e-08,0.0
1858,2.397901255335455e-08,0.0
1859,3.3099126994784456e-08,0.0
1860,4.027921818305913e-08,0.0
1861,2.7352589526685733e-08,0.0
1862,3.207770404856092e-08,1.3553959066214816e-09
1863,2.7969877081091e-08,5.9935452156878455e-09
1864,1.9178912680217763e-08,0.0
1865,4.5185707620021276e-08,9.41368871743009e-10
1866,3.5518972651971126e-08,4.865612912574591e-10
1867,2.3778776281346836e-08,0.0
1868,2.667531973088444e-08,0.0
1869,2.3440891894210836e-08,0.0
1870,3.7271316699616364e-08,0.0
1871,9.559059321873065e-09,0.0
1872,2.3584624031514068e-08,0.0
1873,2.334541804316359e-08,0.0
1874,2.2106053876314036e-08,0.0
1875,1.3159512590732447e-08,0.0
1876,2.7207066821688386e-08,0.0
1877,1.608052180301911e-08,6.184815992682502e-10
1878,2.4760263173106978e-08,4.22736201599605e-09
1879,4.643087336830831e-08,0.0
1880,6.417846254436199e-09,0.0
1881,1.1853263259808955e-08,0.0
1882,2.5956001792337702e-08,0.0
