year,excellent_ADJ essai_NOUN
1800,6.288328968651058e-08
1801,1.1905912700171939e-08
1802,2.4616241489638924e-08
1803,3.900678358093046e-08
1804,3.460591457837836e-08
1805,1.194008660831969e-07
1806,3.458002950651462e-08
1807,8.540865614747872e-08
1808,3.852325747288887e-08
1809,4.292157917973327e-08
1810,5.148278781064164e-08
1811,7.771937760026049e-08
1812,1.9203898915520767e-07
1813,1.0352669832514039e-07
1814,1.384537955395615e-07
1815,8.900837933367711e-08
1816,4.1716871734820415e-08
1817,3.7364961791297446e-08
1818,2.6226589344702234e-08
1819,7.763287790396589e-08
1820,6.170570010510801e-08
1821,8.086420244524106e-08
1822,4.110502516141423e-08
1823,5.929612001409623e-08
1824,4.378978424313118e-08
1825,4.49077601771819e-08
1826,7.046387562326117e-08
1827,4.7929820112813104e-08
1828,4.861319524707142e-08
1829,4.800978747887541e-08
1830,4.5922078584226256e-08
1831,4.209625514839388e-08
1832,6.223786108705553e-08
1833,6.370995642157595e-08
1834,4.573920353578842e-08
1835,1.9664028627630614e-08
1836,2.2850550784880852e-08
1837,2.365682938432201e-08
1838,3.661053860071206e-08
1839,4.1249702320556025e-08
1840,3.821813265858509e-08
1841,3.146068650039524e-08
1842,3.6895457355967665e-08
1843,2.7762482091020502e-08
1844,1.4819115268238647e-08
1845,2.7901140065011987e-08
1846,2.5759805843961203e-08
1847,3.1820020396367e-08
1848,3.700802153616678e-08
1849,2.9327953399160833e-08
1850,1.9009188889640427e-08
1851,3.805168802273329e-08
1852,1.8880581320601664e-08
1853,3.1054046445433414e-08
1854,2.649788899411476e-08
1855,3.980202833986368e-08
1856,4.141751208663891e-08
1857,4.295728039949154e-08
1858,2.6915218054313073e-08
1859,2.4951648525117776e-08
1860,1.7851017330983154e-08
1861,4.5744847909645614e-08
1862,1.9879140111811466e-08
1863,2.7470415275843152e-08
1864,4.267307751604221e-08
1865,3.388927893865912e-08
1866,3.113992175229896e-08
1867,3.202855580752839e-08
1868,2.865126980111654e-08
1869,2.3440892338300046e-08
1870,3.669791226457164e-08
1871,1.8056001804822586e-08
1872,1.8746752150633483e-08
1873,1.3767810447262718e-08
1874,1.3741601190275787e-08
1875,3.4901314727164845e-08
1876,4.0508300713781864e-08
1877,3.587193120324628e-08
1878,2.5968080574756414e-08
1879,2.1993570964440323e-08
1880,3.2089230828091786e-08
1881,2.5101027034679646e-08
1882,2.861815628918407e-08
1883,1.3902545337174388e-08
1884,2.5746617282607076e-08
1885,1.0313016884921922e-08
1886,2.968593326713176e-08
1887,1.9586773980506678e-08
1888,1.394935211784798e-08
1889,3.759082056742358e-08
1890,1.3108773178061028e-08
1891,2.7409146063916978e-08
1892,1.2537024529635232e-08
1893,1.7859407730469457e-08
1894,1.071261657159539e-08
1895,1.444467478961542e-08
1896,1.0024949315123877e-08
1897,1.4566783335112632e-08
1898,2.4330926606808134e-08
1899,1.2160672469008205e-08
1900,2.5436159845071415e-08
1901,2.123720777014171e-08
1902,1.7185993628210383e-08
1903,1.5120616758679262e-08
1904,1.827372564378038e-08
1905,1.8062656259587584e-08
1906,2.7778596978222936e-08
1907,1.491424539423747e-08
1908,1.7680999775393502e-08
1909,2.585462244297787e-08
1910,1.8704527593449427e-08
1911,2.553779543390533e-08
1912,2.8651816474933867e-08
1913,2.8636145010807468e-08
1914,2.2099254981533534e-08
1915,2.3561523398996087e-08
1916,7.691223435912775e-09
1917,1.3159708878163201e-08
1918,4.594550517822427e-09
1919,7.366278809151083e-09
1920,1.0601124422748853e-08
1921,2.4232791995260072e-08
1922,7.377935540286984e-09
1923,2.653986985734491e-08
1924,1.2891624545652292e-08
1925,1.5397448649423495e-08
1926,2.0063049221974438e-08
1927,2.2298449309232637e-08
1928,1.82816659588525e-08
1929,3.11931374064045e-08
1930,4.2014413725866007e-08
1931,1.7108034988666532e-08
1932,2.520693431762311e-08
1933,2.2941324839820254e-08
1934,2.036868629318178e-08
1935,1.555876938397205e-08
1936,2.5461900143852745e-08
1937,2.2664012444550963e-08
1938,2.981999247531064e-08
1939,1.988226561167039e-08
1940,2.282204625281281e-08
1941,1.1806010835613279e-08
1942,1.8205270846394228e-08
1943,3.4838823381733164e-08
1944,1.2852744646352221e-08
1945,2.832055256973831e-08
1946,3.7586981527226726e-08
1947,3.33784391237657e-08
1948,1.4133454628861841e-08
1949,1.9634015746561317e-08
1950,3.1906084663191336e-08
1951,2.4521224606388614e-08
1952,2.9525450750966797e-08
1953,1.939288907237824e-08
1954,4.006739806605708e-08
1955,3.2849628350817284e-08
1956,2.7907652633274438e-08
1957,4.8592708190575706e-08
1958,3.143452548259873e-08
1959,3.100299217351221e-08
1960,3.391208402980794e-08
1961,3.057190001154453e-08
1962,3.805173848236976e-08
1963,6.013429487694566e-08
1964,2.6769461314302134e-08
1965,5.3626025620090445e-08
1966,3.4342263588449384e-08
1967,5.0289423292326774e-08
1968,3.503304374374849e-08
1969,3.6788239760054964e-08
1970,4.0008908186450753e-08
1971,3.699646233812359e-08
1972,3.12938954194486e-08
1973,3.363054301708246e-08
1974,2.025205791955642e-08
1975,2.8557401332562904e-08
1976,4.57082158789035e-08
1977,2.7620874143430285e-08
1978,2.4950484345254154e-08
1979,2.8674669416695053e-08
1980,3.126833025834941e-08
1981,2.2771979080182803e-08
1982,2.6692259624816472e-08
1983,2.7787390832756387e-08
1984,3.653375257872682e-08
1985,4.210890736100481e-08
1986,3.7165808208783346e-08
1987,3.1776246356418625e-08
1988,3.418035621205462e-08
1989,2.1403676386810844e-08
1990,3.3236772556399785e-08
1991,3.047961938396071e-08
1992,2.4794749364787094e-08
1993,3.600484765886591e-08
1994,2.479215582829042e-08
1995,2.9281234104061582e-08
1996,2.0284749657761836e-08
1997,1.582315189985195e-08
1998,2.0502955111467713e-08
1999,2.8792267958710482e-08
2000,2.0322945104567225e-08
2001,2.1029815916451255e-08
2002,3.066855125410939e-08
2003,2.0001230560673378e-08
2004,3.7440726269322155e-08
2005,3.287737149193504e-08
2006,3.7061007762684284e-08
2007,2.1570189912001325e-08
2008,2.6396126617811433e-08
2009,1.907277047408229e-08
2010,1.4643758206034363e-08
2011,1.0324724103449867e-08
2012,1.0212758250194298e-08
2013,1.4503449830005621e-08
2014,1.2992670855860311e-08
2015,1.086121984017474e-08
2016,1.4085112326478466e-08
2017,1.031400623241474e-08
2018,8.002547069452248e-09
2019,6.887667047816848e-09
