year,peut_VERB étendre_VERB,peut_VERB etendre_VERB,peut_VERB détendre_VERB
1800,4.62192190298083e-07,0.0,9.432493897065797e-09
1801,3.833704056432907e-07,0.0,2.3811825400343878e-08
1802,3.3791386044867977e-07,2.2378401354217203e-09,2.2378401354217203e-09
1803,5.28541931998916e-07,0.0,3.900678446910888e-09
1804,6.550404805238941e-07,7.4155526164076946e-09,9.887403784603066e-09
1805,4.065315124535118e-07,8.528632911009026e-09,8.528632911009026e-09
1806,5.07173751884693e-07,2.881669125542885e-09,2.881669125542885e-09
1807,4.583597785767779e-07,0.0,2.8469551160981155e-09
1808,5.143987777955772e-07,2.2660739951163578e-09,4.5321479902327155e-09
1809,3.7499907534765953e-07,0.0,1.8072244145628247e-08
1810,4.095221868283261e-07,0.0,2.106114038724627e-08
1811,4.1617474266786303e-07,2.5070767684098882e-09,0.0
1812,4.2408609601807257e-07,0.0,5.067695596494559e-08
1813,5.032547960581724e-07,2.8757416448144113e-09,2.0130190847567064e-08
1814,3.8074793451414735e-07,3.1466771410748606e-09,6.293354282149721e-09
1815,5.718113698094385e-07,0.0,2.697223555614414e-09
1816,2.6188922674919013e-07,0.0,6.952811659743929e-09
1817,4.3903830260205723e-07,0.0,3.113746815941454e-09
1818,3.171033142734814e-07,1.1921177378582115e-09,7.152706427149269e-09
1819,4.5130579451324593e-07,2.070210003424222e-09,8.280840013696888e-09
1820,4.188867706034216e-07,1.1866481131050932e-09,1.3053129244156025e-08
1821,3.540274349234096e-07,0.0,9.86148829262845e-10
1822,3.5089655625597516e-07,4.010246357211145e-09,7.017931125119503e-09
1823,3.557767342954321e-07,0.0,5.929612356680991e-09
1824,5.389512125475449e-07,0.0,6.736890156844311e-09
1825,3.8479785757772333e-07,8.805443041381977e-10,7.044354433105582e-09
1826,4.4920719233232376e-07,0.0,8.80798456392995e-09
1827,3.345870140947227e-07,2.7651818612639545e-09,2.2121454890111636e-08
1828,3.0085146818237263e-07,2.7516904310687096e-09,9.172301251858528e-10
1829,4.860990543420485e-07,8.57317605795771e-10,7.715858174606183e-09
1830,3.9242502225533826e-07,2.0873671680021744e-09,9.39315203396518e-09
1831,4.926820906803187e-07,0.0,1.5591206103948707e-09
1832,3.720741688084672e-07,2.705993873419743e-09,2.705993873419743e-09
1833,3.0580778798139363e-07,0.0,3.4750886612755494e-09
1834,4.247211506935855e-07,0.0,1.8669061851994684e-09
1835,3.0554875252164493e-07,0.0,3.025235173481633e-09
1836,3.3334919180560973e-07,0.0,6.720750067579218e-10
1837,3.3467455295976833e-07,6.957890930081589e-10,6.957891152126194e-09
1838,4.102905108993582e-07,2.5248647617104325e-09,1.2624323808552163e-09
1839,3.306967641947267e-07,0.0,3.4957374772659477e-09
1840,3.5288076105643995e-07,6.369688665408546e-10,1.1465439264668476e-08
1841,4.0000017520469555e-07,0.0,4.494383976094696e-09
1842,3.676129267660144e-07,0.0,5.366612043644636e-09
1843,3.609122529724118e-07,0.0,2.953455480181333e-09
1844,4.5061088371767255e-07,0.0,4.390849017710252e-09
1845,3.5043831303482875e-07,0.0,1.1160455670733427e-08
1846,3.460010304934258e-07,0.0,8.781752214304106e-09
1847,4.1797483163463767e-07,0.0,8.089835468183537e-09
1848,2.7112398015560757e-07,1.6090443422100975e-09,1.045878850192139e-08
1849,3.6450455809244886e-07,0.0,7.54147322368226e-09
1850,3.4216540711895505e-07,6.788996032014438e-10,5.431196825611551e-09
1851,3.766472218558192e-07,0.0,3.2247193804124663e-09
1852,4.095133192549838e-07,1.9531636308300904e-09,1.9531636308300904e-09
1853,3.66079433433697e-07,5.971931837933653e-10,3.5831591027601917e-09
1854,2.81085448250451e-07,3.63696517347023e-09,4.1565315633818045e-09
1855,3.003726476435986e-07,5.306937111981824e-10,2.653468555990912e-09
1856,2.909580416599056e-07,0.0,1.5531567143511893e-09
1857,2.924024045114493e-07,0.0,2.9289055625270066e-09
1858,2.745352105648635e-07,0.0,3.4255731584664773e-09
1859,3.0960413255343155e-07,4.582956236731661e-09,3.5645213447565993e-09
1860,2.8470083179854555e-07,3.661747127736703e-09,1.373155145145688e-09
1861,2.787134576465178e-07,4.715963730639317e-10,1.0846716413936974e-08
1862,2.7695256221704767e-07,9.035972525772706e-10,1.3553959066214816e-09
1863,2.7670199642670923e-07,9.989241656072068e-10,7.491931519609807e-09
1864,3.02547334740666e-07,4.794727948009836e-10,2.8768367688059016e-09
1865,2.3110605695819686e-07,4.706844358715045e-10,1.882737743486018e-09
1866,2.5933715619430586e-07,0.0,1.4596839292835284e-09
1867,3.1300635328079807e-07,4.85281148598915e-10,3.396968040192405e-09
1868,3.1763389074512816e-07,0.0,1.975949626142892e-09
1869,2.4124585706886137e-07,4.883519144627257e-10,9.278686263769487e-09
1870,2.574587938397599e-07,2.8670243956696595e-09,2.8670243956696595e-09
1871,1.656903663160847e-07,0.0,7.434824311758348e-09
1872,2.793870805817278e-07,0.0,3.0236697590169115e-09
1873,2.424331739803165e-07,0.0,4.190203295451056e-09
1874,2.957431490813178e-07,1.1949218281515073e-09,4.779687312606029e-09
1875,2.958029483579594e-07,5.721527140956084e-10,3.432916173551348e-09
1876,2.5816484594543e-07,6.04601479992084e-10,4.232210137899983e-09
1877,2.3378603941637266e-07,0.0,3.0924081073635534e-09
1878,2.971231651827111e-07,0.0,4.831270938865373e-09
1879,2.7064311325375456e-07,0.0,3.665595160740054e-09
1880,2.676241876997665e-07,0.0,7.059631101924424e-09
1881,2.4543226118112216e-07,0.0,5.5780060570498335e-09
1882,2.9683016578019306e-07,0.0,3.9932310791357395e-09
1883,2.6604416802911146e-07,0.0,1.3902545781263598e-08
1884,2.957560241156898e-07,0.0,3.300848483434038e-09
1885,2.6942757358483505e-07,1.2891271383708158e-09,2.5782542767416317e-09
