year,ignorant_VERB en_ADP,ignorant_VERB dans_ADP
1800,1.2262241000371432e-07,1.1318991832709457e-07
1801,1.3096504858367553e-07,1.3334622650518213e-07
1802,1.9469209178168967e-07,9.398928568771225e-08
1803,1.1897069529531734e-07,1.287223891921485e-07
1804,1.2359254242255702e-07,1.4336735887354735e-07
1805,1.2792949632967066e-07,1.3645812657614442e-07
1806,8.068673462702236e-08,2.1036184705280903e-07
1807,1.7366426163789583e-07,1.679703558465917e-07
1808,1.540930298915555e-07,1.2010191996481012e-07
1809,1.265057028021488e-07,1.716863176071115e-07
1810,1.5210824244604737e-07,5.616304221689461e-08
1811,1.178326058948187e-07,1.6045291673094653e-07
1812,5.601137331723294e-08,9.068507722531649e-08
1813,1.1502966401621961e-07,1.1502966867915632e-07
1814,1.4160046646338742e-07,5.97868634599763e-08
1815,1.0249449644561537e-07,1.4025562222741428e-07
1816,1.1356259221884102e-07,6.025770460382773e-08
1817,8.718491395498518e-08,1.696991995814301e-07
1818,9.894577068791932e-08,1.0848271614349869e-07
1819,6.003609342997152e-08,1.6872211405782878e-07
1820,1.198514629763281e-07,1.8155716396961452e-07
1821,1.6665914948088556e-07,1.410192851380998e-07
1822,9.023054303725075e-08,1.2832788343075663e-07
1823,1.7887663583682212e-07,1.2056878340160893e-07
1824,9.600068207049617e-08,1.010533541290215e-07
1825,1.0214314016820936e-07,1.0478477019404409e-07
1826,1.1802698773877296e-07,1.3123897346645208e-07
1827,1.0968555086421361e-07,1.3180700975112813e-07
1828,9.906085313149404e-08,1.0823315665930977e-07
1829,1.1830982815652646e-07,1.7317815609318998e-07
1830,5.4271546368056534e-08,9.393152566872232e-08
1831,7.327866624606827e-08,9.198811823374342e-08
1832,1.1635773633500435e-07,6.088486514954639e-08
1833,1.0193593225071851e-07,6.370995553339753e-08
1834,5.040646566811802e-08,5.4140278038516954e-08
1835,1.096647750387092e-07,7.714349692378164e-08
1836,1.1022030177443298e-07,9.94671003340386e-08
1837,1.1410941169742728e-07,5.218418053232199e-08
1838,7.069621688060579e-08,1.041506698662431e-07
1839,1.3074058013984313e-07,6.292327592305469e-08
1840,9.745623968937522e-08,7.261445222894736e-08
1841,8.539329554579922e-08,5.77849355032356e-08
1842,8.586579269831418e-08,7.177843741601464e-08
1843,1.0514301518327329e-07,7.147362657278222e-08
1844,8.17795653973441e-08,7.848642491481428e-08
1845,9.93280602767932e-08,1.121625832212203e-07
1846,1.1533367505478509e-07,7.435216886619855e-08
1847,9.653870236547846e-08,5.177494699637464e-08
1848,1.25505458470343e-07,5.551202875153649e-08
1849,5.362825450383468e-08,5.111443202032717e-08
1850,8.146795238417326e-08,7.264225843073291e-08
1851,9.029214553812892e-08,5.482023057723495e-08
1852,8.984553012680863e-08,7.291811110476942e-08
1853,7.763511344904828e-08,8.181546795604788e-08
1854,9.3521959954046e-08,7.325887052544999e-08
1855,1.1887539130839286e-07,3.980202833986368e-08
1856,8.283502950234833e-08,8.387046301905343e-08
1857,1.3082444022538553e-07,8.591456035489387e-08
