year,avait_VERB eu_VERB,avait_VERB dû_VERB
1800,1.2391152267809957e-05,1.2702424783128663e-06
1801,1.138919651566539e-05,9.358047350360721e-07
1802,7.617607934662374e-06,6.5121150782943e-07
1803,1.0118359568878077e-05,7.528309424742474e-07
1804,1.3528439922083635e-05,1.2754751423926791e-06
1805,1.1561983228602912e-05,1.2281232102395734e-06
1806,1.0907117939495947e-05,1.0345191867600079e-06
1807,1.8698801795835607e-05,1.9530111785570625e-06
1808,1.3834382116328925e-05,1.4072319345359574e-06
1809,1.7141523130703717e-05,1.3305689208209515e-06
1810,1.453920776839368e-05,1.4742798839506577e-06
1811,2.3466238417313434e-05,1.7223617305717198e-06
1812,2.3106025764718652e-05,2.139101070497418e-06
1813,2.3678856450715102e-05,2.1453033696161583e-06
1814,1.9320597857586108e-05,1.9257663552707527e-06
1815,1.9770648577832617e-05,2.0849538486800157e-06
1816,1.8334563719690777e-05,1.7915077705765725e-06
1817,2.0687733922386542e-05,2.070641585305566e-06
1818,2.3510945538873784e-05,1.9193096250091912e-06
1819,2.3209124265122227e-05,1.9387516658753157e-06
1820,2.4361885152757168e-05,1.8760906641546171e-06
1821,2.5530407583573833e-05,1.9624362721515354e-06
1822,2.5793904569582082e-05,2.2868430278322194e-06
1823,2.578294152044691e-05,2.593217004687176e-06
1824,2.5482286218903027e-05,2.7410721941123484e-06
1825,2.6175059247179888e-05,2.6803768378158566e-06
1826,2.7164704079041258e-05,2.8546676276164362e-06
1827,2.9689757866435684e-05,2.9946920676593436e-06
1828,2.8421292881830595e-05,3.6835961054748623e-06
1829,3.514916534186341e-05,3.3521118893986568e-06
1830,3.099426976405084e-05,3.2302007184625836e-06
1831,2.8018956072628498e-05,3.126036745015881e-06
1832,2.9910703233326785e-05,3.3216074371011928e-06
1833,2.7746265914174728e-05,3.265424766141223e-06
1834,2.833496910170652e-05,3.3613646337471437e-06
1835,2.9176881071180105e-05,3.777762458412326e-06
1836,2.799259527819231e-05,3.3724722925398964e-06
1837,2.9207138140918687e-05,3.5777475204668008e-06
1838,3.0011173294042237e-05,3.6376989100972423e-06
1839,2.968230728583876e-05,3.997026396973524e-06
1840,3.34848155034706e-05,4.081059614691185e-06
1841,2.7531312298378907e-05,4.351848019723548e-06
1842,3.311266846139915e-05,4.7387184167746454e-06
1843,2.855932507372927e-05,4.249431640346302e-06
1844,3.128260505036451e-05,4.720711331174243e-06
1845,3.197637852281332e-05,4.7878356781438924e-06
1846,3.0318120479932986e-05,4.550704034045339e-06
1847,3.148024552501738e-05,5.0636976993700955e-06
1848,2.7911288270843215e-05,4.323502253100742e-06
1849,3.179652776452713e-05,5.217023954173783e-06
1850,2.8255801225895993e-05,4.3890859160455875e-06
1851,2.934817166533321e-05,5.135043011250673e-06
1852,2.822972419380676e-05,4.707775588030927e-06
1853,2.901283914980013e-05,4.822335085918894e-06
1854,2.812153434206266e-05,4.702076239482267e-06
1855,3.123928399872966e-05,5.355230314307846e-06
1856,2.9078200896037742e-05,5.036887614551233e-06
1857,2.884093191823922e-05,5.312057965056738e-06
1858,2.979318924190011e-05,5.613046596408822e-06
1859,3.131839548586868e-05,6.245041276997654e-06
1860,3.206225665053353e-05,6.2469407566823065e-06
1861,2.8915459552081302e-05,5.578985110332724e-06
1862,3.0668994440929964e-05,6.0161505643918645e-06
1863,2.8671620384557173e-05,5.687374596163863e-06
1864,2.8052514608134516e-05,6.0485494941531215e-06
1865,2.97373717330629e-05,6.092068815632956e-06
1866,2.990746361319907e-05,6.237229172256775e-06
1867,3.005491817020811e-05,6.314963684417307e-06
1868,2.825360934366472e-05,5.984163635730511e-06
1869,2.9599497793242335e-05,6.601541372219799e-06
1870,3.0288965717772953e-05,6.680166734440718e-06
