year,fût_VERB en_ADP,fût_VERB dans_ADP
1800,2.3329700979957124e-06,1.4494597735392745e-06
1801,2.3740390133752953e-06,1.002477915790223e-06
1802,2.202034693254973e-06,1.0696876415750012e-06
1803,2.1999826458340976e-06,1.2189619837954524e-06
1804,3.0379048894246807e-06,1.2977217238585581e-06
1805,2.3908601178845856e-06,1.1513654953887453e-06
1806,3.1122026484808885e-06,1.4033728348294972e-06
1807,2.6078109840455e-06,1.4007018762640655e-06
1808,2.7351513836038066e-06,1.2191478617751272e-06
1809,2.8734868919855217e-06,1.0843345989997033e-06
1810,2.7777305149356835e-06,1.556184315631981e-06
1811,2.3491309093515156e-06,1.3738780353378388e-06
1812,2.5658544018369867e-06,1.165569983641035e-06
1813,2.3581080768053653e-06,1.3142139323463198e-06
1814,2.2404340143111767e-06,1.2964310371899046e-06
1815,2.308823468410992e-06,1.251511775990366e-06
1816,2.303698238392826e-06,1.4230088254407747e-06
1817,2.9066825391055318e-06,1.2330436902630026e-06
1818,2.811013700920739e-06,1.392393528476532e-06
1819,3.0463140774372732e-06,1.5174639429460512e-06
1820,2.699624474189477e-06,1.3848183471054654e-06
1821,3.130036475340603e-06,1.391455953125842e-06
1822,2.999664275193936e-06,1.2832788343075663e-06
1823,4.5361534830590244e-06,1.3400923535300535e-06
1824,3.4080242130585248e-06,1.4779052435187623e-06
1825,3.3469489153503673e-06,1.530386043668841e-06
1826,3.288020479885745e-06,1.327363293057715e-06
1827,3.308079385533347e-06,1.4849026683805278e-06
1828,2.9094539968355093e-06,1.444637405256799e-06
1829,3.0563371637981618e-06,1.5500302197324345e-06
1830,2.8596930405910825e-06,1.4183659686750616e-06
1831,2.4743244466662873e-06,9.619774345992482e-07
1832,2.171560026908992e-06,1.1730483038263628e-06
1833,2.9862594601581804e-06,9.533326306154777e-07
1834,2.540859213695512e-06,1.021197704176302e-06
1835,2.8414522148523247e-06,1.139757387136342e-06
1836,2.8536305762827396e-06,1.2231764685566304e-06
1837,2.761586983979214e-06,1.1021298860214301e-06
1838,3.2210962217504857e-06,1.210041432386788e-06
1839,2.744154016909306e-06,1.0745897043307195e-06
1840,2.968274884551647e-06,1.086031943486887e-06
1841,2.9052982881694334e-06,1.0658110340955318e-06
1842,2.7034307095163967e-06,9.988606279875967e-07
1843,2.4466426111757755e-06,1.0230769476038404e-06
1844,2.610908495626063e-06,1.031300712384109e-06
1845,2.5825295324466424e-06,9.949546893039951e-07
1846,2.58944601227995e-06,1.053810251505638e-06
1847,2.174547717004316e-06,1.0333416184948874e-06
1848,2.1689918412448606e-06,1.0378336128269439e-06
1849,2.1350749648263445e-06,1.0700513257688726e-06
1850,2.3028273972158786e-06,9.178722848446341e-07
1851,2.353400304855313e-06,8.848629704516497e-07
1852,2.297571427334333e-06,7.864738904572732e-07
1853,2.2364883989212103e-06,9.423708320355217e-07
1854,2.43053182202857e-06,9.601587862562155e-07
1855,2.189111455663806e-06,9.504724403086584e-07
1856,2.205482587669394e-06,1.0820325542226783e-06
1857,2.490057795512257e-06,1.1149367082907702e-06
1858,2.3279217202798463e-06,8.857553552843456e-07
1859,2.3255954602063866e-06,8.483560804961598e-07
1860,2.2272577098192414e-06,7.978031817401643e-07
1861,2.1127516447450034e-06,8.946183243097039e-07
1862,2.3236002562043723e-06,9.338677386949712e-07
1863,1.9928536403313046e-06,8.650683298583317e-07
1864,1.992209490708774e-06,8.803120294942346e-07
1865,2.103959332089289e-06,9.027727401189622e-07
1866,2.124326556440792e-06,8.548881851311307e-07
1867,2.056621497104061e-06,7.415096092699969e-07
1868,1.9932392660848564e-06,7.760542075629928e-07
1869,2.1272610410960624e-06,8.033388780859241e-07
1870,2.0143713754805503e-06,8.572403089601721e-07
1871,1.8130349417333491e-06,6.42581198917469e-07
1872,2.102659891534131e-06,7.867588465160225e-07
1873,1.9113313101115637e-06,6.117696784713189e-07
1874,1.972815880435519e-06,8.256909609372087e-07
1875,1.919000169436913e-06,6.717073119943962e-07
1876,1.7974801949094399e-06,7.678438578295754e-07
1877,1.6012488686101278e-06,7.162016686379502e-07
1878,1.6474633639518288e-06,6.606762781302677e-07
1879,1.727106223370356e-06,7.068489367156872e-07
1880,1.739236381581577e-06,7.489626341339317e-07
1881,1.6559705500185373e-06,6.798194931434409e-07
1882,1.8435416677675676e-06,6.542243795593095e-07
