year,levant_VERB en_ADP,levant_VERB dans_ADP
1800,1.8864987794131594e-08,2.2009151834367913e-08
1801,4.524246932646747e-08,1.4287095950749062e-08
1802,4.0281122437590966e-08,2.6854081625060644e-08
1803,5.851017803593095e-08,1.755305234496518e-08
1804,4.2021465418429216e-08,3.460591457837836e-08
1805,3.1271653710973624e-08,8.528632911009026e-09
1806,2.881669125542885e-08,4.034336598124355e-08
1807,2.562259560079383e-08,0.0
1808,5.211970233176544e-08,3.172503681980743e-08
1809,3.840352036377226e-08,2.4849335034105025e-08
1810,3.2761775514700275e-08,0.0
1811,4.512738271955641e-08,2.5070767684098882e-09
1812,8.00162425207418e-09,1.0668832928217853e-08
1813,2.300593315851529e-08,1.1502966579257645e-08
1814,1.5733386149463513e-08,3.1466771410748606e-09
1815,2.966945977789237e-08,8.091670444798638e-09
1816,7.184571870766376e-08,4.8669683394564345e-08
1817,6.227493543065066e-08,1.0898113522728181e-08
1818,5.126106117359086e-08,8.344824387052086e-09
1819,7.24573512300708e-09,1.8631890696951814e-08
1820,5.3399165977907614e-08,1.1866481131050932e-08
1821,5.325203744632745e-08,1.676452932031225e-08
1822,4.0102463572111446e-08,3.0076847679083585e-08
1823,6.917881023582595e-08,3.063632902922109e-08
1824,5.5579342017608724e-08,1.6842225392110777e-08
1825,4.0505039322624725e-08,3.522177216552791e-09
1826,6.253669226907732e-08,2.4662355713189754e-08
1827,2.5808365222701468e-08,2.6730091917670507e-08
1828,6.420610532131832e-08,1.1923991571904935e-08
1829,6.601345603485242e-08,2.3147574523818548e-08
1830,5.322786122974321e-08,2.922314124020886e-08
1831,4.989185953263586e-08,1.2472964883158966e-08
1832,6.494385473843067e-08,2.976593194148336e-08
1833,4.170106393530659e-08,3.4750886612755494e-08
1834,6.067445212920575e-08,4.573920264761e-08
1835,6.050470346963266e-08,3.2521278114927554e-08
1836,8.468145296092189e-08,5.376600142881216e-08
1837,3.6181031504156635e-08,3.339787468803479e-08
1838,4.292270006089893e-08,3.9135404250600914e-08
1839,6.152497888933794e-08,4.47454411300896e-08
1840,8.025807574085775e-08,2.4204817705708592e-08
1841,5.521671653241356e-08,3.017657945747487e-08
1842,4.092041550052272e-08,2.5491406319133603e-08
1843,6.202256486176339e-08,2.3627643841450663e-08
1844,8.452384037127558e-08,2.5247381074677833e-08
1845,6.194053270291988e-08,1.8414752389617206e-08
1846,4.6836010625384006e-08,2.2832555401919308e-08
1847,6.25613978399997e-08,2.534815024546333e-08
1848,5.470750608083108e-08,3.298540818263973e-08
1849,4.776266493422554e-08,2.5976186535103807e-08
1850,4.412847331991543e-08,4.752297400045791e-08
1851,4.1921353499674296e-08,2.5152811389261842e-08
1852,5.078225484567156e-08,2.278690836021724e-08
1853,4.837264810930719e-08,3.0456853039595444e-08
1854,4.624141425324524e-08,1.2469595134234623e-08
1855,4.2455496895854594e-08,3.874064091746732e-08
1856,7.351608388717068e-08,3.054541508618058e-08
1857,5.516105261449411e-08,1.9037885934380938e-08
1858,1.0570339981086363e-07,3.8170671956549995e-08
1859,6.670747154657874e-08,3.7172863898149444e-08
1860,6.04188272745887e-08,3.295572525985335e-08
1861,6.649509032286005e-08,4.0557289082698844e-08
1862,7.138418567365079e-08,1.8975542914745347e-08
