year,fallut_VERB écrire_VERB,fallut_VERB décrire_VERB
1800,0.0,0.0
1801,1.904946067554647e-08,0.0
1802,4.475680270843441e-09,0.0
1803,3.900678446910888e-09,0.0
1804,1.9774807569206132e-08,0.0
1805,8.528632911009026e-09,0.0
1806,4.034336598124355e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,2.5173417128598885e-08,0.0
1815,2.697223555614414e-09,0.0
1816,3.244645441213834e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,3.9339884239097955e-08,0.0
1819,2.794783426907088e-08,0.0
1820,1.6613073583471305e-08,0.0
1821,2.070912508145284e-08,0.0
1822,7.017931125119503e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,9.263223965660927e-09,0.0
1825,8.805443041381977e-10,4.4027217427355936e-09
1826,3.787433300317389e-08,4.403992281964975e-09
1827,1.6591091167583727e-08,0.0
1828,2.7516904310687096e-08,0.0
1829,2.3147574523818548e-08,0.0
1830,8.349468672008697e-09,0.0
1831,3.1182413096075834e-08,0.0
1832,4.058990921151917e-09,0.0
1833,1.50587169400751e-08,0.0
1834,9.334531370086552e-09,0.0
1835,1.285724948729694e-08,0.0
1836,9.409050427677812e-09,0.0
1837,8.349468672008697e-09,0.0
1838,8.2058102535143e-09,0.0
1839,6.292327547896548e-09,2.7965900706306e-09
1840,1.2102408852854296e-08,5.095750932326837e-09
1841,9.630822361827995e-09,0.0
1842,2.0124795163667386e-09,0.0
1843,8.269675610961258e-09,0.0
1844,3.2931368743049916e-09,0.0
1845,5.580227946389016e-10,0.0
1846,1.0538101946622191e-08,0.0
1847,7.550513103637968e-09,0.0
1848,9.65426583121598e-09,0.0
1849,2.262441967104678e-08,0.0
1850,8.82569484161877e-09,0.0
1851,1.2898877521649865e-09,0.0
1852,7.161600201754936e-09,0.0
1853,8.957897534855874e-09,0.0
1854,7.27393034694046e-09,3.63696517347023e-09
1855,9.552486801567284e-09,0.0
1856,9.318940286107136e-09,0.0
1857,1.122747050885664e-08,0.0
1858,5.872411001917044e-09,0.0
1859,7.129042689513199e-09,0.0
1860,1.4189270203246451e-08,4.577183909670879e-10
1861,4.715963619617014e-09,0.0
1862,5.873382225018986e-09,1.3553959066214816e-09
1863,1.2486552236623538e-08,0.0
1864,1.102787461348953e-08,0.0
1865,4.706844247692743e-09,0.0
1866,1.6056523222118813e-08,0.0
1867,1.067618526917613e-08,3.396968040192405e-09
1868,1.2349684830326169e-08,9.87974813071446e-10
1869,1.2208797528501236e-08,0.0
1870,2.064257564882155e-08,0.0
1871,0.0,0.0
1872,3.0236697590169115e-09,6.047339295989218e-10
1873,1.0774807712721213e-08,0.0
1874,7.766991494406739e-09,7.169530746864439e-09
1875,9.154443425529735e-09,5.721527140956084e-10
1876,6.04601479992084e-09,2.418405919968336e-09
1877,1.6699003069220453e-08,1.8554447978047506e-09
1878,2.294853729267743e-08,0.0
