year,montrant_VERB en_ADP,montrant_VERB dans_ADP
1800,1.0375742931501009e-07,3.175606195782166e-07
1801,1.166779455274991e-07,1.7144515140898875e-07
1802,1.0294064622939914e-07,2.0364345232337655e-07
1803,1.3457341196954076e-07,1.6577882888668682e-07
1804,7.415552971679062e-08,4.226865257805912e-07
1805,6.822906328807221e-08,3.1840230008128856e-07
1806,1.0085842205853623e-07,1.123850950079941e-07
1807,7.686778502602465e-08,2.391442421867396e-07
1808,9.744118045773575e-08,2.243413206315381e-07
1809,4.51806094758922e-08,1.9201759471343394e-07
1810,7.020380365929668e-08,2.0827128821565566e-07
1811,3.760615285841595e-08,1.7048121492280188e-07
1812,1.4936365744233626e-07,1.5469807124190993e-07
1813,9.489947672136623e-08,3.6234345657248923e-07
1814,9.44003133440674e-08,3.146677158838429e-07
1815,1.1867783911156948e-07,2.265667831125029e-07
1816,7.879853569647821e-08,2.549364239712304e-07
1817,4.981994905506326e-08,3.4718277674983256e-07
1818,9.775365583664097e-08,2.2650236530807888e-07
1819,9.729986771844779e-08,2.1426673413316166e-07
1820,1.1035827185423841e-07,1.7562392429226747e-07
1821,9.467028405651945e-08,1.8835442006093217e-07
1822,1.0426640528748976e-07,2.6267113639733e-07
1823,1.610877973234892e-07,1.6899394950087299e-07
1824,1.271587990459011e-07,2.071593740993194e-07
1825,1.5937851571834472e-07,1.9900301140296506e-07
1826,4.051672775062798e-08,2.0874922768143733e-07
1827,1.5669364472614689e-07,2.553184685893939e-07
1828,1.4859128327771032e-07,2.348109120475783e-07
1829,8.144517238406479e-08,2.2033061952697608e-07
1830,1.4715938334575185e-07,1.763825281386744e-07
1831,1.8709447147102765e-07,1.3096612860863388e-07
1832,1.352997003323253e-07,2.3542146720956225e-07
1833,1.0888610546544442e-07,2.814821584706806e-07
1834,8.027696907220161e-08,1.7735608537350345e-07
1835,1.3916081798015512e-07,2.2159846935210226e-07
1836,1.4046368335129955e-07,1.7944402941338922e-07
1837,1.1132625843401911e-07,2.0177883186534018e-07
1838,1.117252637072852e-07,1.6727229024127155e-07
1839,1.3283802502428443e-07,1.6639711475363583e-07
1840,1.3758527472873538e-07,1.872688528692379e-07
1841,1.2263247128885268e-07,2.150883773310852e-07
1842,1.82464816589345e-07,1.9990629596122744e-07
1843,1.0396163219184018e-07,2.463181942857773e-07
1844,1.2074835353814706e-07,2.727815058278793e-07
1845,1.5568835465273878e-07,3.0300637376967643e-07
1846,1.1767547647423271e-07,2.3125279824398604e-07
