year,pourrait_VERB étendre_VERB,pourrait_VERB détendre_VERB
1800,2.2009151834367913e-08,0.0
1801,4.524246932646747e-08,2.3811825844433088e-09
1802,6.265952379180817e-08,0.0
1803,8.581492494386112e-08,0.0
1804,7.662737999680758e-08,2.4718509461507665e-09
1805,5.685755510853596e-08,0.0
1806,3.458002950651462e-08,0.0
1807,8.256169792275614e-08,0.0
1808,1.1330369886763947e-07,4.5321479902327155e-09
1809,1.8072244145628247e-08,0.0
1810,5.8503168531842675e-08,2.3401267590372754e-09
1811,1.0529722516139373e-07,0.0
1812,6.934741492159446e-08,0.0
1813,7.476928232108548e-08,0.0
1814,1.6992056828257773e-07,0.0
1815,3.236668177919455e-08,0.0
1816,5.5622493277951435e-08,0.0
1817,2.6466848268569265e-08,1.8682481339737933e-08
1818,6.437435473571895e-08,0.0
1819,5.693077653745604e-08,1.035105001712111e-09
1820,8.899861114741725e-08,0.0
1821,5.621048160264763e-08,9.86148829262845e-10
1822,7.920236555492011e-08,0.0
1823,6.127265805844218e-08,0.0
1824,6.736890156844311e-08,0.0
1825,3.874394849390228e-08,0.0
1826,9.600702810530493e-08,0.0
1827,1.087638210606201e-07,0.0
1828,6.787502826455238e-08,9.172301251858528e-10
1829,1.5345985104886495e-07,0.0
1830,7.514521627172144e-08,0.0
1831,6.860130952190957e-08,0.0
1832,7.576782934393123e-08,1.3529969367098715e-09
1833,1.054110185805257e-07,0.0
1834,1.0641365122410207e-07,9.334530925997342e-10
1835,5.52105419160398e-08,7.563087933704082e-10
1836,7.997692819117219e-08,1.3441500135158435e-09
1837,7.444943150858307e-08,6.957890930081589e-10
1838,7.069621688060579e-08,0.0
1839,9.29866175169991e-08,0.0
1840,1.2994165388136025e-07,0.0
1841,1.046549442662581e-07,6.420548537278137e-10
1842,9.324488559059319e-08,3.3541325272778977e-09
1843,6.97015494210973e-08,1.1813822142769936e-09
1844,1.350186096260586e-07,1.097712254427563e-09
1845,8.370341930685754e-08,0.0
1846,8.196301592988675e-08,2.3418005312692003e-09
1847,1.0193192423457731e-07,0.0
1848,7.321151684891447e-08,0.0
1849,6.033178578945808e-08,0.0
1850,6.992665646521345e-08,0.0
1851,7.610337604546658e-08,0.0
1852,7.552232972329875e-08,6.510545436100301e-10
1853,1.2242460911693342e-07,0.0
1854,5.455447649183043e-08,0.0
1855,7.588920425405377e-08,5.306937111981824e-10
1856,7.351608388717068e-08,0.0
1857,6.492407322866711e-08,4.881509085841174e-10
1858,7.04689355757182e-08,5.3830437884982985e-09
1859,9.36959878572452e-08,0.0
1860,5.767251565202969e-08,0.0
1861,5.7063161307269183e-08,0.0
1862,5.421583537668084e-08,9.035972525772706e-10
1863,7.941446966697185e-08,9.989241656072068e-10
1864,5.370095124135332e-08,0.0
1865,5.977692296710302e-08,0.0
1866,4.6223323835192787e-08,0.0
1867,6.69687949539366e-08,0.0
1868,5.730253960223308e-08,4.93987406535723e-10
1869,6.446245492952585e-08,0.0
1870,5.2179842668920173e-08,5.734048791339319e-10
1871,3.292564798584863e-08,0.0
1872,5.9868661139717e-08,0.0
1873,8.200826329129995e-08,5.986004469882289e-10
1874,7.34876905994497e-08,0.0
1875,7.037478155780263e-08,5.721527140956084e-10
1876,6.287855569553358e-08,3.02300739996042e-09
1877,4.391219476929109e-08,0.0
1878,6.2202616391005e-08,0.0
1879,6.1704184872724e-08,0.0
1880,5.455169471701993e-08,6.417846254436199e-10
1881,9.203709794292081e-08,6.972507571312292e-10
1882,6.189507928411331e-08,6.655385131892899e-10
1883,4.676310894069502e-08,6.951272890631799e-09
1884,8.31813835588946e-08,0.0
1885,5.994441210077639e-08,1.933690763067375e-09
1886,7.550552538759803e-08,6.453463874400711e-10
1887,4.961982824625011e-08,6.528924623161458e-10
1888,3.360525724360741e-08,0.0
1889,3.633779144252003e-08,1.2530273485467092e-09
1890,7.537544632896243e-08,0.0
1891,6.119250883784844e-08,3.1871101313640793e-09
1892,5.140180192597654e-08,6.268512375839919e-10
1893,6.096832549928877e-08,6.158416554491453e-10
1894,5.608369946230596e-08,0.0
1895,5.11582243234443e-08,0.0
1896,5.484237064479203e-08,1.7691086373616827e-09
1897,5.2440423559119154e-08,0.0
1898,6.733442603490403e-08,0.0
1899,4.2009595802028343e-08,0.0
1900,5.813979697677496e-08,0.0
1901,7.377135347041985e-08,0.0
1902,6.383368855722438e-08,3.928227076954727e-09
1903,7.074288532749051e-08,5.400220270956879e-10
1904,5.8045952044949445e-08,0.0
1905,7.534708146295088e-08,0.0
1906,7.973486049195344e-08,1.0288369045596824e-09
1907,5.502842270743713e-08,5.142843373384665e-10
1908,4.7640472899956876e-08,0.0
1909,6.326131085643283e-08,5.500983557560346e-10
1910,5.557916793463846e-08,1.068830135508847e-09
1911,5.4267815130515373e-08,0.0
1912,7.657849465658728e-08,5.209421227725386e-10
1913,6.151468312509678e-08,0.0
1914,4.151981158884155e-08,6.696743715117748e-10
1915,6.950649833470379e-08,0.0
1916,7.801097723358907e-08,1.0987462051303964e-09
1917,5.592876561877347e-08,2.1932848870420685e-09
1918,7.581008532042688e-08,0.0
1919,6.537572261322566e-08,9.207848372660976e-10
1920,7.2693424613135e-08,0.0
1921,4.4679211441689404e-08,7.572747762196741e-09
1922,8.779743154718744e-08,0.0
1923,4.2463792482294593e-08,0.0
1924,6.187979550986711e-08,0.0
1925,6.268961527666761e-08,1.0998177923937646e-09
1926,5.461607699430715e-08,0.0
1927,4.9056588125040435e-08,0.0
1928,4.227635130860108e-08,0.0
1929,4.121950425428622e-08,2.2280812750352652e-09
1930,6.617270287279098e-08,0.0
1931,5.018356930008849e-08,0.0
1932,6.02774505864545e-08,1.0959536611565568e-09
1933,4.473558234963093e-08,0.0
1934,7.188948103475923e-08,2.3963160344919743e-09
1935,8.018750463634206e-08,3.590485242455088e-09
1936,6.062357016389797e-08,4.849885826274658e-09
1937,7.051026074123001e-08,0.0
1938,4.6674770715071645e-08,0.0
1939,6.117620188206274e-08,0.0
1940,6.339457314652464e-08,2.5357829169792012e-09
1941,7.37875680556499e-08,0.0
1942,7.282108072104165e-08,0.0
1943,6.67744117777147e-08,0.0
1944,2.8918675454292497e-08,3.2131861615880553e-09
1945,4.7927088075994106e-08,2.178504043826024e-09
1946,5.8468636154884734e-08,5.568441707737293e-09
