year,vendant_VERB en_ADP,vendant_VERB dans_ADP
1800,1.5720821977538435e-08,6.288328968651058e-09
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,6.713520406265161e-09,1.5664880947952042e-08
1803,3.900678446910888e-09,9.751696339321825e-09
1804,0.0,0.0
1805,2.2743021688143017e-08,5.685755422035754e-09
1806,6.339671898558663e-08,2.305335300434308e-08
1807,4.555128185756985e-08,2.2775640928784924e-08
1808,4.078933102391602e-08,1.3596443970698147e-08
1809,4.518061036407062e-09,2.25903047379461e-08
1810,1.1700633351097167e-08,4.680253518074551e-09
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,1.8670457180292033e-08,1.0668832928217853e-08
1813,4.3136125782439194e-08,1.7254450312975678e-08
1814,9.754699448194515e-08,0.0
1815,4.315557688983063e-08,1.6183340889597275e-08
1816,8.806894413737609e-08,1.3905623319487859e-08
1817,2.0239355080775567e-08,2.80237220096069e-08
1818,1.4305412854298538e-08,1.1921176934492905e-08
1819,3.519356894798875e-08,6.210630232317271e-09
1820,4.390598107306687e-08,8.306536791735653e-09
1821,2.6626018723163725e-08,7.88919063410276e-09
1822,1.7043547018147365e-08,7.017931125119503e-09
1823,2.569498569471307e-08,1.087095569118901e-08
1824,1.0947446504872005e-08,5.894778887238772e-09
1825,2.4655239627691117e-08,1.4969252504215547e-08
1826,5.372870504061211e-08,3.6112734136395375e-08
1827,8.111200600069424e-08,5.530363722527909e-08
1828,1.3758452155343548e-08,2.4765213879618386e-08
1829,3.257806824308318e-08,6.858540846366168e-09
1830,1.1480519646056564e-08,2.0873671680021744e-09
1831,4.2096257146795324e-08,1.2472964883158966e-08
1832,1.352996914505411e-08,1.0823975493678972e-08
1833,2.7800709290204395e-08,6.950177322551099e-09
1834,1.7735608537350345e-08,2.6136685704614138e-08
1835,3.6302822081779595e-08,3.781543966852041e-09
1836,2.8899226123257904e-08,8.736974699274924e-09
1837,5.5663129217009555e-08,2.7831563720326358e-09
1838,3.471689069556305e-08,7.574594285131298e-09
1839,2.866504900111977e-08,7.690622361167243e-09
1840,4.9046601446889326e-08,4.458782143501594e-08
1841,5.264849889385914e-08,8.988767952189392e-09
1842,5.1653639587811995e-08,1.6770663080478698e-08
1843,4.371114314949409e-08,1.4176587015413133e-08
1844,4.171306500211358e-08,2.195424464446205e-08
1845,4.9664027557128065e-08,7.812318791877715e-09
1846,2.5759806732139623e-08,4.6836010625384006e-09
1847,2.1572894581822766e-08,1.240441438454809e-08
1848,2.735375304041554e-08,4.82713291560799e-09
1849,2.1786478399121734e-08,6.703531951757213e-09
1850,2.4440385715251978e-08,6.788996032014438e-09
1851,3.998652076120379e-08,1.6123596680017727e-08
1852,1.40627776090696e-07,1.6927417689771573e-08
1853,3.58315901394235e-08,1.3735443005202796e-08
1854,5.143707682009335e-08,1.8704392701351935e-08
1855,3.714855978387277e-08,2.4942604426314574e-08
1856,4.245295315286057e-08,3.6240324075009767e-09
1857,3.026535466688074e-08,9.763017949637742e-09
1858,2.202154192332273e-08,7.829881631948865e-09
1859,3.3099126994784456e-08,1.0693564256314403e-08
1860,2.5632230560290736e-08,1.4189270203246451e-08
1861,5.4705179053371467e-08,1.226150558863992e-08
1862,4.879425219428413e-08,1.490935552794781e-08
1863,6.343168479361339e-08,4.994620717013731e-09
1864,3.404256787575832e-08,1.9178912680217763e-08
1865,4.6597758540656287e-08,1.8827376990770972e-08
1866,6.422609288847525e-08,1.702964524952222e-08
1867,5.046923945428716e-08,1.0190904120577216e-08
1868,3.754304245262574e-08,1.333765986544222e-08
1869,3.076617005604021e-08,1.8069020057964735e-08
1870,4.472558146062511e-08,1.204150201772336e-08
1871,4.885741589077952e-08,2.549082545044712e-08
1872,3.0236694925633856e-08,9.071008832961525e-09
1873,1.2690328787812177e-07,1.0176207432266438e-08
1874,1.5115760731987393e-07,5.974609251779839e-09
1875,3.661777370211894e-08,3.432916173551348e-09
1876,1.2152489148320456e-07,1.0278225381910033e-08
1877,2.968711676487601e-08,9.27722432209066e-09
1878,1.1293095525388708e-07,2.8383716710322915e-08
1879,3.0546626561545054e-08,6.720257683667796e-09
1880,1.2065551402429264e-07,1.4761046607247863e-08
1881,6.149751925477176e-07,2.2312024228199334e-08
1882,3.9932309903178975e-08,4.6587693702804245e-09
1883,4.486730631469982e-08,1.579834751908038e-08
1884,3.498899303622238e-08,1.2543224237049344e-08
1885,1.3793660968985932e-07,1.5469526104539e-08
1886,1.0002869288427974e-07,2.1296431285122708e-08
1887,8.226444947467826e-08,1.0446279397058333e-08
1888,8.433017484321681e-08,3.297119732792453e-08
1889,6.202485280937253e-08,2.6940087494153886e-08
1890,2.4054597247413767e-07,1.8352281472289178e-08
1891,1.7019166875797964e-07,1.9122659011827636e-09
1892,8.650547300703693e-08,1.6298132621272998e-08
1893,2.3155645578754047e-07,1.970693297437265e-08
1894,7.120739553556632e-08,1.2603078580752936e-08
1895,9.38903852443218e-08,1.3842813118003505e-08
1896,4.363801409112966e-08,1.3563166589847242e-08
