year,devenant_VERB en_ADP,devenant_VERB dans_ADP
1800,1.0375742931501009e-07,1.131899196593622e-07
1801,3.809892135109294e-08,1.1905912700171939e-08
1802,5.818384352096473e-08,5.147032311469957e-08
1803,2.5354410126965377e-08,0.0
1804,1.730295728918918e-08,2.4718509461507665e-09
1805,3.1271653710973624e-08,4.264316544322355e-08
1806,1.4120178093435243e-07,3.7461699520235925e-08
1807,4.839823830593559e-08,8.540865792383556e-09
1808,5.4385775882792586e-08,2.2660739951163578e-09
1809,2.25903047379461e-08,4.518061036407062e-09
1810,3.042164919975221e-08,2.3401266702194334e-08
1811,2.2563691359778204e-08,0.0
1812,1.3336041604361526e-08,4.5342538612658245e-08
1813,2.8757416004054903e-08,0.0
1814,2.2026739543434815e-08,0.0
1815,5.3944472000466703e-08,1.0788894222457657e-08
1816,3.7081662185300956e-08,1.8540831092650478e-08
1817,6.227493631882908e-09,3.113746815941454e-09
1818,3.5763532135746345e-09,1.1921177378582115e-09
1819,4.5544620519422097e-08,1.9666995143552413e-08
1820,2.254631326081835e-08,2.3732962262101864e-09
1821,2.5639868894700157e-08,9.86148829262845e-10
1822,3.0076847679083585e-08,7.017931125119503e-09
1823,7.906149512848515e-09,6.917880934764753e-09
1824,3.2000230021367315e-08,2.189489300974401e-08
1825,1.7610886970942374e-08,7.044354433105582e-09
1826,1.2331177856594877e-08,3.6112734136395375e-08
1827,3.041700225026034e-08,9.217273166939322e-09
1828,2.8434133270138773e-08,1.8344602503717056e-09
1829,2.2290258527846163e-08,6.001223074036943e-09
1830,4.0703660886265425e-08,9.39315203396518e-09
1831,7.016042502527853e-08,1.091384405071949e-08
1832,4.7354891563600177e-08,1.3529969367098715e-09
1833,2.7800709290204395e-08,3.01174338801502e-08
1834,3.267085801894609e-08,3.733812370398937e-09
1835,2.4201881387853064e-08,1.5126175867408165e-09
1836,1.6129799718100912e-08,8.064899859050456e-09
1837,1.87863058442872e-08,2.7831563720326358e-09
1838,1.7674054220151447e-08,3.787297142565649e-09
1839,1.8876983531868063e-08,2.1673573158409454e-08
1840,3.121147429396842e-08,8.917564464638872e-09
1841,3.531301828729738e-08,1.3483152372373297e-08
1842,2.2137275124123335e-08,8.720745015011744e-09
1843,2.008349753168659e-08,2.0674189471492355e-08
1844,2.7991662321369404e-08,8.232841963717874e-09
1845,2.9017185099178278e-08,1.4508592549589139e-08
1846,3.33706573485415e-08,1.2294452567118697e-08
1847,3.883121024728098e-08,2.1572894581822766e-08
1848,3.942158599556933e-08,7.24069959545659e-09
1849,2.5976186535103807e-08,5.865590679832167e-09
1850,3.733947906425783e-08,3.394498016007219e-09
1851,1.4188765717904062e-08,6.449438760824933e-09
1852,1.9531636752390114e-08,9.765818376195057e-09
1853,2.9859659633757474e-08,7.763511611358354e-09
1854,1.610655964157104e-08,1.1950028522278444e-08
1855,2.7065379271107304e-08,1.2736649068756378e-08
1856,3.882891874695815e-08,9.836659486950339e-09
1857,5.369659916709679e-08,2.147863931156735e-08
1858,3.034079298913639e-08,1.468102794888182e-08
1859,3.258990943777462e-08,7.129042689513199e-09
1860,4.897586691754441e-08,5.034902272882391e-09
1861,2.5937801240161207e-08,7.073945429425521e-09
1862,2.981871105589562e-08,1.2650361647104091e-08
1863,2.946826249683454e-08,5.9935452156878455e-09
1864,3.404256787575832e-08,1.1507347075223606e-08
1865,3.294790928975999e-08,2.165148416111151e-08
1866,2.919367680931373e-08,3.4059290943133647e-09
1867,3.008743121313273e-08,7.76449837758264e-09
1868,6.076044911651479e-08,1.679557115608077e-08
1869,2.197583626184496e-08,2.539429999615095e-08
1870,2.465641024684828e-08,4.013834153937523e-09
1871,1.911811864374613e-08,3.9298356568906456e-08
1872,2.9027228620748247e-08,3.688877114882416e-08
1873,4.1303430009520525e-08,2.573981916498269e-08
1874,5.735624597491551e-08,1.0754296120296658e-08
1875,3.3757011408397375e-08,9.154443425529735e-09
1876,2.7811667635546655e-08,1.753344314181504e-08
1877,3.587193120324628e-08,8.658742167710898e-09
1878,5.435179772916854e-08,7.850815109122777e-09
1879,2.504823370941267e-08,7.331190321480108e-09
1880,3.0805662021293756e-08,1.5402831010646878e-08
1881,2.998178416646624e-08,1.2550513517339823e-08
1882,3.1945848633085916e-08,2.6621540527571597e-09
1883,3.033282780506852e-08,2.5277355764075082e-09
1884,4.2250860587955685e-08,5.941527270181268e-09
1885,4.640857653726016e-08,9.66845359329227e-09
1886,4.001147502208369e-08,7.744156427236248e-09
1887,3.4603299781110763e-08,1.6322312390570914e-08
1888,2.3460273723685532e-08,1.775372027168487e-08
1889,4.1976417008982025e-08,1.4409814674820609e-08
1890,2.6872983838188702e-08,2.0974036729626278e-08
1891,3.1871099537283953e-08,2.1672347472190268e-08
1892,3.761107336686109e-08,9.402768341715273e-09
