year,grand_ADJ épi_NOUN,grand_ADJ dépit_NOUN
1800,9.432493897065797e-09,6.60274537267469e-08
1801,7.143547975374531e-09,3.095537337571841e-08
1802,4.475680270843441e-09,7.608656460433849e-08
1803,5.851017448321727e-09,5.655983770225248e-08
1804,1.730295728918918e-08,7.662737999680758e-08
1805,1.1371510844071508e-08,6.822906328807221e-08
1806,2.881669125542885e-09,1.613734639249742e-07
1807,5.693910232196231e-09,7.117387923472052e-08
1808,2.2660739951163578e-09,6.798222074166915e-08
1809,0.0,3.388545621874073e-08
1810,0.0,1.3572734758326988e-07
1811,5.0141535368197765e-09,9.526891631139733e-08
1812,0.0,7.734903562095496e-08
1813,2.8757416448144113e-09,1.7542024011163448e-07
1814,3.1466771410748606e-09,7.552024783308298e-08
1815,5.394447111228828e-09,2.1577788444915313e-08
1816,3.7081662185300956e-08,1.2051540920765547e-07
1817,0.0,8.874178547557676e-08
1818,8.344824387052086e-09,5.96058882251782e-08
1819,1.035105001712111e-09,1.0558071039667993e-07
1820,0.0,1.1273156985680544e-07
1821,0.0,9.2697987952306e-08
1822,2.0051231786055723e-09,9.323822780515911e-08
1823,4.941343334508019e-09,7.313188632451784e-08
1824,1.0947446504872005e-08,6.122148761278368e-07
1825,2.641632912414593e-09,2.8441581889637746e-07
1826,3.5231937367541377e-09,1.7263648999232828e-07
1827,4.608636583469661e-09,5.069500019772022e-08
1828,3.668920500743411e-09,4.1275356466030644e-08
1829,2.571952872898464e-09,2.074708618238219e-07
1830,4.174734336004349e-09,9.810625556383457e-08
1831,0.0,7.951515357262906e-08
1832,4.058990921151917e-09,1.2853470821028168e-07
1833,3.4750886612755494e-09,9.266902623039641e-08
1834,8.401078055442213e-09,7.374279675786966e-08
1835,3.025235173481633e-09,2.662206952663837e-07
1836,5.376600054063374e-09,1.5457725055512128e-07
1837,5.5663127440652715e-09,1.669893805456013e-07
1838,1.2624323808552163e-09,2.2092567064646573e-07
1839,4.894032734625853e-09,1.922655741282142e-07
1840,2.356784811752277e-08,1.617900977635145e-07
1841,2.5682194149112547e-09,1.0722315835209884e-07
1842,5.366612043644636e-09,1.9051472577302775e-07
1843,8.860366662588604e-09,1.4117517821432557e-07
1844,0.0,1.8331795104131743e-07
1845,4.464182357111213e-09,1.0211817169647475e-07
1846,4.0981511517657054e-09,1.0362467151026067e-07
1847,2.1572894581822766e-09,6.633665350364026e-08
