year,luttant_VERB en_ADP,luttant_VERB dans_ADP
1800,3.144164484325529e-09,9.432493897065797e-09
1801,3.095537337571841e-08,9.524730337773235e-09
1802,0.0,2.4616241489638924e-08
1803,3.900678446910888e-09,0.0
1804,2.2246657849223084e-08,9.887403784603066e-09
1805,0.0,2.842877711017877e-09
1806,8.645007376628655e-09,2.305335300434308e-08
1807,1.7081731584767113e-08,2.8469551160981155e-09
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,2.0331274441787173e-08,2.25903047379461e-08
1810,1.8721014072298203e-08,2.3401267590372754e-09
1811,1.504245972228091e-08,5.264861258069686e-08
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,6.293354282149721e-09,1.5733386149463513e-08
1815,1.3486118000116676e-08,2.4275012222574333e-08
1816,1.1588019432906549e-08,0.0
1817,1.556873407970727e-09,1.556873407970727e-09
1818,3.5763532135746345e-09,4.768470951432846e-09
1819,9.315945348475907e-09,2.070210003424222e-09
1820,1.0679833017945839e-08,4.746592452420373e-09
1821,2.3667571014129862e-08,0.0
1822,2.0051231786055723e-08,1.0025615893027862e-09
1823,7.906149512848515e-09,0.0
1824,6.736890156844311e-09,1.6842225392110777e-08
1825,1.761088586071935e-08,1.4088708866211164e-08
1826,2.642395191543301e-09,8.80798456392995e-09
1827,3.6869092223668076e-09,8.295545583791863e-09
1828,8.255071293206129e-09,3.760643352279658e-08
1829,6.858540846366168e-09,2.6576845613135447e-08
1830,2.0873671680021744e-09,3.1310506187764986e-08
1831,1.5591206548037917e-08,2.8064171431196883e-08
1832,9.470978667991403e-09,3.5177919244233635e-08
1833,4.401778908036391e-08,2.0850531967653296e-08
1834,1.6802155666795215e-08,2.6136685704614138e-08
1835,1.2100940693926532e-08,1.739510224751939e-08
1836,1.747394939854985e-08,1.008112482381307e-08
1837,1.0436836284100082e-08,1.87863058442872e-08
1838,1.4517972157790382e-08,1.3255540221024376e-08
1839,1.1885507689157748e-08,2.4470162784950844e-08
1840,8.917564020549662e-09,2.993753511759678e-08
1841,9.630822361827995e-09,2.5682193705023337e-08
