year,agissant_VERB en_ADP,agissant_VERB dans_ADP
1800,2.924073059240584e-07,4.307505321321514e-07
1801,3.809892181738661e-07,2.2621235018505104e-07
1802,2.8196785706313676e-07,2.618272958443413e-07
1803,2.6719646939454833e-07,1.618781624301846e-07
1804,3.856087342768433e-07,3.065095199872303e-07
1805,5.42989653240511e-07,4.406460334394069e-07
1806,1.700184730779597e-07,2.9104859322615084e-07
1807,4.4697196699416963e-07,2.306033621835013e-07
1808,3.263146579612908e-07,2.243413206315381e-07
1809,3.298184643174551e-07,1.67168254572303e-07
1810,5.639705560334107e-07,9.781730341273942e-07
1811,4.863728668702549e-07,3.158916683787538e-07
1812,3.6807472270083963e-07,3.0939614248381986e-07
1813,2.3293507922517165e-07,6.182844458635373e-07
1814,2.076806868700487e-07,3.901879739309777e-07
1815,5.745085900343838e-07,5.367474766870828e-07
1816,4.1485108681627025e-07,3.6386381907504983e-07
1817,3.238296812924091e-07,3.456258923506539e-07
1818,5.018815505408725e-07,3.8147766190377297e-07
1819,3.498654788103295e-07,3.498654894684705e-07
1820,4.4736633952879856e-07,2.6818246023907477e-07
1821,4.260162995706196e-07,3.2641526415133626e-07
1822,4.5115271518625377e-07,3.819759513135068e-07
1823,5.297119969327468e-07,2.974688868562225e-07
1824,4.707401899395336e-07,3.890554012286884e-07
1825,3.9008112917571225e-07,2.9674341694985173e-07
1826,5.337638731006678e-07,4.6594237801400595e-07
1827,6.249311232942034e-07,4.3136838578927694e-07
1828,5.475863957826732e-07,6.815019681916112e-07
1829,6.609918519195901e-07,6.335577196203701e-07
1830,4.957497239388431e-07,5.6880755749944e-07
1831,6.127343894490878e-07,5.254236192797634e-07
1832,8.050331512521325e-07,5.831416869384043e-07
1833,7.957952945503166e-07,6.382579282870893e-07
1834,7.448955585687145e-07,5.320682365805851e-07
1835,5.210967870539207e-07,5.9672761665297e-07
1836,7.58100618725166e-07,6.579614517110421e-07
1837,6.658701465767081e-07,5.510649887519037e-07
1838,8.717095845156564e-07,6.899193039089369e-07
1839,7.956298500033654e-07,6.299319239566614e-07
1840,8.153201713767544e-07,6.159488687984549e-07
1841,8.545750027622034e-07,6.561800374171867e-07
1842,9.6666101123688e-07,6.493600537282873e-07
1843,7.377732202940024e-07,6.255418576461835e-07
1844,7.261366441468908e-07,5.455629876749413e-07
1845,9.413844814787353e-07,7.706294891107746e-07
1846,1.060250184536926e-06,7.27129069844068e-07
1847,1.0932064213875492e-06,8.030510070256014e-07
1848,1.1681661931106646e-06,1.0571421802385572e-06
1849,1.0708891764465989e-06,7.901788059427872e-07
1850,9.056520777761534e-07,5.668811464687451e-07
1851,1.0119169076006074e-06,8.764787335913127e-07
1852,1.1998935107726538e-06,8.346519031476873e-07
1853,1.0880860124018454e-06,6.670647736406465e-07
1854,1.0303002717648724e-06,6.343906266970123e-07
1855,9.706387906760483e-07,6.028680772374173e-07
1856,1.0499340099556775e-06,7.051331598617594e-07
1857,1.079301654272058e-06,6.931742935201157e-07
1858,9.757990255820914e-07,6.650505453009714e-07
1859,1.0820868165950515e-06,6.197175084210471e-07
1860,1.1131710841993936e-06,6.202084402440189e-07
1861,1.0884443781833397e-06,5.876090778400567e-07
1862,1.0188058858773275e-06,5.692662627954093e-07
1863,1.143768177058746e-06,6.617872849723483e-07
1864,1.1545704552418101e-06,6.055741350596833e-07
1865,1.0157369736418786e-06,5.492887417135606e-07
1866,1.1448787535783822e-06,5.8971229366378e-07
1867,1.0564571084614727e-06,6.279538009579255e-07
1868,1.0843023687812092e-06,6.930643587921281e-07
1869,1.0196787449956446e-06,6.153233962358229e-07
1870,1.2012831902552534e-06,7.299444124697629e-07
1871,1.3860635768025986e-06,7.339233434322523e-07
1872,1.2010015559837939e-06,6.295280277068827e-07
1873,1.3342803839577755e-06,6.566646657546471e-07
1874,1.2970875928886016e-06,6.655714548386982e-07
1875,1.4750096681837022e-06,5.652868870775762e-07
1876,1.2116213348178917e-06,6.106474961242725e-07
1877,1.2153163453376692e-06,6.500241358509129e-07
1878,1.2005708178719487e-06,5.815642487583261e-07
1879,9.616077800700396e-07,5.394534352554103e-07
1880,1.4132096950447703e-06,5.217709011517968e-07
1881,1.3547582042860995e-06,5.591950946737256e-07
1882,1.0608684135604562e-06,5.670388052436692e-07
1883,1.1254742986466226e-06,6.42044851062451e-07
1884,1.155297006505407e-06,6.469662983121793e-07
1885,1.1743948107323376e-06,5.156508342540889e-07
1886,1.1971175339908768e-06,6.4921848208499e-07
1887,1.451379928241181e-06,5.882560809578052e-07
