year,doivent_VERB étendre_VERB,doivent_VERB détendre_VERB
1800,2.2009151834367913e-08,0.0
1801,1.4287095950749062e-08,2.3811825844433088e-09
1802,6.713520406265161e-09,2.2378401354217203e-09
1803,2.3404069793286908e-08,0.0
1804,1.4831105232815389e-08,4.943701892301533e-09
1805,3.695740957709859e-08,0.0
1806,8.645007376628655e-09,2.881669125542885e-09
1807,0.0,0.0
1808,2.2660739062985158e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,4.680253518074551e-09,2.3401267590372754e-09
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,1.7254450312975678e-08,0.0
1814,4.405347908686963e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,6.952811659743929e-09,0.0
1817,1.71256075987003e-08,0.0
1818,1.5497530370112145e-08,0.0
1819,3.3123360054787554e-08,0.0
1820,1.1866481131050932e-09,1.1866481131050932e-09
1821,1.3806083387635226e-08,9.86148829262845e-10
1822,8.02049271442229e-09,0.0
1823,1.1859224713361982e-08,0.0
1824,2.105278085196005e-08,0.0
1825,8.805443041381977e-10,8.805443041381977e-10
1826,8.807984341885344e-10,8.807984341885344e-10
1827,1.013900075008678e-08,0.0
1828,1.834460228167245e-08,9.172301251858528e-10
1829,1.971830521085849e-08,1.714635211591542e-09
1830,1.2524203008013046e-08,0.0
1831,1.5591206548037917e-08,0.0
1832,2.570694235259907e-08,0.0
1833,9.266902800675325e-09,1.1583628500844156e-09
1834,3.080395316601425e-08,9.334530925997342e-10
1835,1.2100940693926532e-08,1.5126175867408165e-09
1836,1.68018754465038e-08,0.0
1837,4.87052354003481e-08,6.957890930081589e-10
1838,2.209256599883247e-08,1.2624323808552163e-09
1839,1.6080392128969834e-08,0.0
1840,1.3376346252869098e-08,1.2739377330817092e-09
1841,1.1556987367100646e-08,0.0
1842,1.7441490030023488e-08,0.0
1843,1.063243981747064e-08,5.906911071384968e-10
1844,3.1284798751585186e-08,0.0
1845,1.2276501593078137e-08,5.580227946389016e-10
1846,9.952652035849496e-09,0.0
1847,2.0494249852731627e-08,0.0
1848,9.65426583121598e-09,2.413566457803995e-09
1849,8.379414495607307e-09,0.0
1850,2.2403686017469226e-08,0.0
1851,8.384270167027807e-09,6.449438760824933e-10
1852,1.1718981340891332e-08,0.0
1853,1.0152284346531815e-08,0.0
1854,1.1950028522278444e-08,5.195664454227256e-10
1855,1.6451505047143655e-08,5.306937111981824e-10
1856,1.7084724746041502e-08,5.177189232874468e-10
1857,1.8061584228235006e-08,0.0
1858,8.31924928945682e-09,4.893676019968041e-10
1859,5.092173349652285e-09,0.0
1860,7.323494255473406e-09,4.577183909670879e-10
1861,1.4619487842537637e-08,0.0
1862,4.9697850279528666e-09,0.0
1863,5.9935452156878455e-09,0.0
1864,1.342523781033833e-08,0.0
1865,1.2708479601997169e-08,0.0
1866,5.352174259343201e-09,0.0
1867,1.9896527092555516e-08,9.7056229719783e-10
1868,9.87974857480367e-09,0.0
1869,2.1487483792270723e-08,0.0
1870,9.747882501187632e-09,2.2936195165357276e-09
1871,9.559059321873065e-09,0.0
1872,1.9956219787786722e-08,6.047339295989218e-10
1873,7.781805422268917e-09,0.0
1874,1.0754296120296658e-08,5.974609140757536e-10
1875,7.437985338754061e-09,0.0
1876,1.0278225381910033e-08,6.04601479992084e-10
1877,1.1132669008873108e-08,4.329371083855449e-09
1878,1.3285995414946683e-08,0.0
1879,1.2829582729523281e-08,0.0
1880,1.2835692508872398e-08,0.0
1881,1.1156012114099667e-08,6.972507571312292e-10
1882,1.1979693681496428e-08,0.0
1883,4.423537092179686e-09,0.0
1884,1.1883054540362536e-08,6.601696966868076e-10
1885,9.023890079618013e-09,0.0
1886,8.38950331427668e-09,6.453463874400711e-10
1887,9.793386546164129e-09,0.0
1888,6.340614699951175e-09,0.0
1889,4.385595886446936e-09,0.0
1890,7.209825181320184e-09,0.0
1891,7.0116419337296065e-09,6.374220040683554e-10
1892,5.641661360300532e-09,1.2537024751679837e-09
1893,9.853466487186324e-09,6.158416554491453e-10
1894,3.150769645188234e-09,0.0
1895,1.8055843042930064e-08,6.018614495673091e-10
1896,1.1794058174530164e-08,5.89702897624278e-10
1897,2.330685422435863e-09,0.0
1898,9.05336783318944e-09,1.13167097914868e-09
1899,1.6582735185011188e-08,1.1055156790007459e-09
1900,9.863001082521805e-09,5.191053142894475e-10
1901,1.0059729937950124e-08,0.0
1902,1.4239823542538943e-08,0.0
1903,1.0260418292773466e-08,1.0800440541913758e-09
1904,6.449550227216605e-09,1.0749250378694342e-09
1905,1.3934049469810361e-08,5.160759042333041e-10
1906,1.0288369267641428e-08,2.0576738091193647e-09
1907,1.5942815068115124e-08,0.0
1908,7.858222517143076e-09,9.822778146428846e-10
1909,4.400786846048277e-09,2.2003934230241384e-09
1910,1.6566866989364826e-08,0.0
1911,1.0640748726586935e-08,0.0
1912,1.0939784189645252e-08,0.0
1913,1.2727175757731857e-08,1.060597942803554e-09
1914,4.018046340092951e-09,0.0
1915,7.068456930880984e-09,0.0
1916,7.69122365795738e-09,0.0
1917,1.2063066989753679e-08,0.0
1918,9.189101035644853e-09,1.1486376294556067e-09
1919,8.287063479883727e-09,0.0
