year,souriant_VERB en_ADP,souriant_VERB dans_ADP
1800,1.8864986461863964e-08,2.5153315874604232e-08
1801,4.7623651688866175e-09,1.6668277424969347e-08
1802,2.2378401354217203e-09,1.1189200677108602e-08
1803,7.801356893821776e-09,9.751696339321825e-09
1804,2.4718509461507665e-09,4.943701892301533e-09
1805,3.127165504324125e-08,0.0
1806,0.0,0.0
1807,0.0,2.2775640928784924e-08
1808,0.0,2.2660739951163578e-09
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,1.0028307073639553e-08
1812,2.6672082320544632e-09,1.0668832928217853e-08
1813,0.0,1.1502966579257645e-08
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,0.0
1817,6.22749374290521e-09,6.227493631882908e-09
1818,2.384235475716423e-09,0.0
1819,7.245734900962475e-09,5.175524897538253e-09
1820,0.0,0.0
1821,9.86148829262845e-10,0.0
1822,1.804610860745015e-08,9.023054303725075e-09
1823,2.075364324838347e-08,1.9765373782121287e-09
1824,3.3684450784221553e-09,2.5263338088166165e-09
1825,1.0566531649658373e-08,2.7296873650328735e-08
1826,7.927186018719112e-09,4.403992281964975e-09
1827,1.843454577876713e-08,7.373818444733615e-09
1828,9.172301418391982e-09,7.3378408349533686e-09
1829,2.1432940755516938e-08,1.457439946506156e-08
1830,1.7742621594152297e-08,1.4611569953970616e-08
1831,2.0268568157177924e-08,4.677361609140007e-09
1832,1.2176972319366541e-08,2.4353944638733083e-08
1833,1.621708034527103e-08,1.0425265983826648e-08
1834,1.3068343740485489e-08,1.0267983796552471e-08
1835,2.2689263801112247e-08,6.050470346963266e-09
1836,1.3441500523736494e-08,1.2097349788575684e-08
1837,2.0177884252348122e-08,1.8090515752078318e-08
1838,1.51491887923072e-08,2.3986215014204504e-08
1839,2.0974425751774106e-08,2.027527845616106e-08
1840,1.8472096352528666e-08,1.9746034474188434e-08
1841,1.6051371343195342e-08,1.9903700021473014e-08
1842,1.8112316535479067e-08,1.0733224087289273e-08
1843,1.4767278067040479e-08,2.7171790151214736e-08
1844,1.0428266250528395e-08,1.3721403568922597e-08
1845,2.120486702894553e-08,2.2320911008399946e-08
1846,1.5807152919933287e-08,3.219975841517453e-08
