year,réfléchissant_VERB en_ADP,réfléchissant_VERB dans_ADP
1800,3.458580977167003e-08,6.288328968651058e-09
1801,1.904946067554647e-08,3.095537381980762e-08
1802,2.9091921760482364e-08,2.4616241489638924e-08
1803,1.9503391568420625e-08,9.751696339321825e-09
1804,2.7190360185613827e-08,5.19088700912107e-08
1805,8.528632911009026e-09,3.41145314219915e-08
1806,3.7461699520235925e-08,2.881669125542885e-09
1807,2.2775640928784924e-08,8.540865792383556e-09
1808,1.8128591960930862e-08,4.5321479902327155e-09
1809,1.129515236897305e-08,1.581321384946932e-08
1810,2.3401267590372754e-09,1.8721014072298203e-08
1811,2.5070767684098882e-09,2.0056613703189896e-08
1812,0.0,3.467370746079723e-08
1813,4.888760685162197e-08,3.738464116054274e-08
1814,4.405347864278042e-08,1.5733386149463513e-08
1815,2.966945977789237e-08,2.6972236000233352e-08
1816,1.3905623319487859e-08,1.8540831092650478e-08
1817,3.42512151974006e-08,1.401186100480345e-08
1818,2.2650237241350624e-08,4.6492593330782483e-08
1819,3.9333990287104825e-08,9.315945348475907e-09
1820,9.493184904840746e-09,3.085285271708926e-08
1821,3.4515210245444905e-08,1.577838126820552e-08
1822,2.3058916553964082e-08,2.105379337535851e-08
1823,9.882686669016039e-09,3.162459771832715e-08
1824,3.2000230021367315e-08,2.863178316658832e-08
1825,4.6668848341369085e-08,4.9310479255382234e-08
1826,4.315912249808207e-08,3.435113837824133e-08
1827,3.0417001140037314e-08,2.1199728195142598e-08
1828,1.0089530988466322e-08,1.1006761724274838e-08
1829,1.7146351560803907e-08,4.715246826325625e-08
1830,2.7135773184028267e-08,6.157733256628717e-08
1831,2.3386808933878456e-08,2.0268567268999504e-08
1832,6.088486359523415e-08,4.058990654698391e-08
1833,3.70676112027013e-08,4.749287596528262e-08
1834,3.733812459216779e-08,7.094243414940138e-08
1835,3.1764969321557146e-08,5.067268915581735e-08
1836,3.696412598230836e-08,4.973355061110851e-08
1837,1.7394727436226276e-08,1.8090515752078318e-08
1838,2.5248647617104325e-08,2.5248647617104325e-08
1839,2.3071868193724754e-08,9.088918062616358e-08
1840,2.8663599493938818e-08,3.312238233688092e-08
1841,2.5682194149112547e-08,4.751206006403663e-08
1842,1.2745703603656011e-08,4.293289634915709e-08
1843,9.451057825238252e-09,4.075768533784441e-08
1844,2.9638231424655714e-08,3.348022398208528e-08
1845,1.5624638138866942e-08,4.1293688468613254e-08
1846,1.8148954339380907e-08,4.3323311160747835e-08
1847,3.4516631330916425e-08,3.55952778363644e-08
1848,1.448139919091318e-08,3.218088551193432e-08
1849,3.100383594301093e-08,4.273501463814e-08
1850,1.8330290174617403e-08,3.326608233322759e-08
1851,1.805842853030981e-08,2.902247508984601e-08
1852,2.2135855370919444e-08,7.0313888045348e-08
1853,2.030456869306363e-08,5.5538965426649156e-08
1854,1.9223957981040485e-08,1.6626126253527218e-08
1855,1.6982198758341838e-08,9.393278332936461e-08
1856,2.6403664810104033e-08,5.0736453260924463e-08
1857,1.6597131002882293e-08,2.39193944651106e-08
1858,1.468102794888182e-08,4.8447392708705905e-08
1859,3.0043821652725455e-08,5.703234151610559e-08
1860,2.013961006297471e-08,3.982150076353719e-08
1861,1.5091083938045813e-08,3.6312922446768425e-08
1862,2.7559716397895784e-08,5.2408640982548604e-08
1863,1.848009772986714e-08,4.844782353075061e-08
1864,1.1986819536957682e-08,3.212467802882202e-08
1865,1.6003271208209213e-08,4.424433797112215e-08
1866,3.5518972651971126e-08,3.503241430280468e-08
1867,1.6014277903764196e-08,3.202855403117155e-08
1868,4.544684273355415e-08,4.1000953965308895e-08
1869,1.6115613732381462e-08,3.320792885119772e-08
1870,2.981705193860762e-08,3.2110673231500186e-08
