year,chantant_VERB en_ADP,chantant_VERB dans_ADP
1800,7.231578535993322e-08,2.829747991484055e-08
1801,2.6193008650921e-08,4.0480102825313224e-08
1802,2.4616241489638924e-08,4.4756802708434407e-08
1803,3.705644502360883e-08,2.3404069793286908e-08
1804,6.673997354766925e-08,1.9774807569206132e-08
1805,5.970043304159844e-08,1.7057265822018053e-08
1806,1.152667650217154e-08,8.06867319624871e-08
1807,1.7081731584767113e-08,8.540865792383556e-09
1808,2.4926813946279935e-08,2.945896149242344e-08
1809,3.388545621874073e-08,3.6144488291256494e-08
1810,3.7442028144596406e-08,5.148278958699848e-08
1811,7.771937582390365e-08,3.760615285841595e-08
1812,1.8670457180292033e-08,4.267533171287141e-08
1813,3.738464116054274e-08,4.888760685162197e-08
1814,7.552025138579666e-08,7.552024783308298e-08
1815,8.631115377966125e-08,4.585280044544504e-08
1816,1.622322720606917e-08,4.1716869958463576e-08
1817,2.490997452753163e-08,1.4011860671736542e-08
1818,6.079800130009971e-08,7.867976847819591e-08
1819,2.898294049202832e-08,4.347440862861873e-08
1820,1.0679833017945839e-08,5.6959109429044474e-08
1821,2.2681422962023134e-08,2.859831660373402e-08
1822,3.709477880420309e-08,5.3135764233047666e-08
1823,5.633131616722409e-08,1.0080340473450633e-07
1824,1.431589158329416e-08,4.7158231097910175e-08
1825,6.075755432100038e-08,6.251864448358901e-08
1826,3.435113749006291e-08,5.19671061738336e-08
1827,4.2399457278463615e-08,3.410390903013649e-08
1828,5.228211580332598e-08,7.154395120778645e-08
1829,8.744639434787871e-08,4.372319750700626e-08
1830,8.662573391937656e-08,3.757261035630677e-08
1831,8.731075240575592e-08,7.795603096383275e-08
1832,1.0012177242835207e-07,7.576782501406143e-08
1833,7.297686188678654e-08,8.571885246055899e-08
1834,6.62751729052502e-08,6.627517024071494e-08
1835,9.605121675804185e-08,7.789980571715205e-08
1836,6.115882911217341e-08,8.804182272115213e-08
1837,6.888312220620918e-08,5.357576071673975e-08
1838,4.734121294980298e-08,7.574594462766981e-08
1839,6.292327725532232e-08,7.341049013120937e-08
1840,5.860113683198165e-08,6.815567132889555e-08
1841,7.062603657459476e-08,1.0208672440725763e-07
1842,5.500777389144673e-08,7.580339200785602e-08
1843,7.324569667455094e-08,8.38781373802e-08
1844,6.202074587235984e-08,9.934296163471856e-08
1845,8.984166816050632e-08,5.35701881188011e-08
1846,5.444686168587509e-08,6.20577138565892e-08
1847,6.849393763275202e-08,5.555020177183678e-08
1848,5.9534640106662096e-08,4.022610866627474e-08
1849,5.865590591014325e-08,5.865590324560799e-08
1850,7.264225843073291e-08,6.721106160512136e-08
1851,5.1595508532287226e-08,6.44943867200709e-08
1852,6.380334838240742e-08,7.226705722729321e-08
1853,8.181546373720039e-08,5.912212452940935e-08
1854,4.831968003493614e-08,4.624141425324524e-08
1855,9.923972399406011e-08,7.53585069901419e-08
1856,8.283502894723682e-08,7.714011801551734e-08
1857,1.0592874843950995e-07,9.470127887434288e-08
1858,5.627727484025513e-08,1.1206518024664547e-07
1859,7.129042689513199e-08,9.52236405282747e-08
1860,8.010071872455171e-08,8.879736607125821e-08
1861,6.366551064118653e-08,8.252936822827905e-08
1862,5.466763419725851e-08,6.46072066956549e-08
1863,4.345320248066997e-08,8.9903174682604e-08
1864,4.411149623351207e-08,8.8222995353604e-08
1865,7.719224459634688e-08,9.225414743241345e-08
1866,4.914269108313718e-08,6.617233516692522e-08
1867,5.338092634588065e-08,9.560038449762942e-08
1868,4.3964877960434023e-08,6.323038481692578e-08
1869,5.5672117804661525e-08,1.006004939352323e-07
1870,8.830435271889314e-08,1.0206607159446435e-07
1871,3.717412155879174e-08,6.478918379571041e-08
1872,6.833493459978968e-08,1.0703790376265232e-07
1873,7.48250528204153e-08,6.9437653849036e-08
1874,9.260643984987382e-08,1.063480450369525e-07
1875,6.465325463889116e-08,1.0813686185384697e-07
1876,5.441413142293072e-08,9.552703583715072e-08
1877,8.41134961682144e-08,8.782438953858218e-08
1878,6.2202616391005e-08,1.4554203953132117e-07
1879,4.337620829186761e-08,1.0630226254804143e-07
1880,8.407378970787249e-08,1.0525267857275367e-07
1881,1.1295462321037064e-07,9.133984946174678e-08
1882,7.187815653786345e-08,1.1314154502173324e-07
1883,7.077659303078576e-08,1.0300522595985129e-07
1884,6.271612296160356e-08,9.968562597606478e-08
1885,6.832373689036331e-08,1.0248560600167878e-07
1886,7.356949133230373e-08,8.002294904496665e-08
1887,4.3090901069575693e-08,8.944626728180083e-08
1888,7.5453316039642e-08,1.0525420179874345e-07
1889,6.89165040590467e-08,9.397704925362405e-08
1890,5.7023163357872164e-08,6.75101772817932e-08
1891,6.629188931128738e-08,8.541454832311501e-08
1892,5.829716442917743e-08,7.772955257223657e-08
1893,5.48099060027063e-08,9.114456400727278e-08
1894,5.545354442304529e-08,1.266609439554145e-07
1895,7.282523206697533e-08,8.064943557428705e-08
1896,4.9535042734305534e-08,8.491721814607445e-08
1897,6.817254671886985e-08,7.691262027265111e-08
1898,5.941272740450643e-08,8.034864151795773e-08
1899,4.145683796252797e-08,7.738609930640905e-08
1900,6.125442364446343e-08,6.333085167398167e-08
1901,3.968004602672437e-08,6.985923306501718e-08
1902,3.977329826598819e-08,6.972602761834423e-08
1903,5.8322379370423505e-08,6.480264147512571e-08
1904,6.449549871945237e-08,6.127072627037933e-08
1905,4.489860377931976e-08,6.141303288131894e-08
1906,4.475440434914546e-08,1.0082601420435822e-07
1907,5.6056993713582415e-08,9.308546233821602e-08
1908,4.371136341774218e-08,8.840500242968119e-08
1909,5.555993326522568e-08,8.086445557609068e-08
1910,6.359539006517423e-08,1.1115833276065246e-07
1911,5.3203741412488625e-08,8.778617377469544e-08
1912,5.1573270709592833e-08,8.074602675378628e-08
1913,5.1438998838193584e-08,8.749933044782665e-08
1914,4.553785615257766e-08,9.10757114169769e-08
1915,5.772573175022444e-08,1.366568369576271e-07
1916,5.493731114469824e-08,8.570220444426013e-08
1917,5.483212106582869e-08,8.992468070179171e-08
1918,7.236417332023848e-08,1.0797193361611335e-07
1919,3.038589824200244e-08,7.274200403140085e-08
1920,5.6791738423100924e-08,1.0222512791813188e-07
1921,4.240738649130549e-08,7.572747684481129e-08
1922,4.500540740082215e-08,9.14863989009973e-08
1923,4.989495661078536e-08,9.554353397334125e-08
1924,4.383152285569736e-08,1.0571132214032275e-07
1925,3.95934391939079e-08,8.578578980511509e-08
1926,6.687682940764716e-08,6.57622148958481e-08
1927,5.3516280407173156e-08,9.142364376657497e-08
1928,5.141718650847338e-08,1.0397697236541603e-07
1929,2.2280811862174232e-08,9.803557476928404e-08
1930,5.566909833110145e-08,7.77266683238409e-08
1931,4.676196141417677e-08,7.299428261831054e-08
1932,3.3974563717897865e-08,9.863582850488939e-08
1933,5.276504566609219e-08,6.997103607631061e-08
1934,7.06913212411564e-08,1.1502316965561477e-07
1935,5.505410793915644e-08,1.041240693666623e-07
1936,4.364897421282876e-08,5.092379984361628e-08
1937,4.784624962894668e-08,8.184226629737168e-08
1938,4.019216603978748e-08,9.983214965814113e-08
1939,3.8235125288110794e-08,1.0705835506996664e-07
1940,3.803674331059881e-08,7.86092684279538e-08
1941,7.969057236323351e-08,8.559357844717397e-08
1942,4.5513175450651033e-08,9.709477666319799e-08
1943,7.258088174921795e-08,1.3064558856967778e-07
1944,5.1410978585408884e-08,1.124615138792251e-07
1945,5.2284098384092204e-08,7.62476446425353e-08
1946,5.150808579656996e-08,7.099762910911522e-08
1947,4.887557025767819e-08,1.0967201546918659e-07
1948,4.674911635582646e-08,8.697510067712244e-08
1949,4.515823803785679e-08,9.326157623945619e-08
1950,3.722376362702562e-08,7.976521354535748e-08
1951,7.356366893418453e-08,5.97038485317114e-08
1952,5.905090050273287e-08,6.537778318715937e-08
1953,4.632745742583211e-08,7.002987800763805e-08
1954,4.299915956629263e-08,8.20893006903134e-08
1955,4.8805161689813303e-08,6.194500912215517e-08
1956,8.110661409155284e-08,7.936239021510971e-08
1957,4.947621123907453e-08,6.802979229947326e-08
1958,3.22617488279775e-08,8.354966124501928e-08
1959,5.580538398053392e-08,7.053180439697826e-08
1960,4.360125160918216e-08,6.920833328649678e-08
1961,5.141637871020066e-08,8.337790968759862e-08
1962,4.883306276015631e-08,7.039571414679813e-08
