year,provenant_VERB en_ADP,provenant_VERB dans_ADP
1800,9.432493897065797e-09,0.0
1801,6.191074675143682e-08,0.0
1802,2.9091921760482364e-08,0.0
1803,1.1702034896643454e-08,1.950339223455444e-09
1804,2.7190360185613827e-08,0.0
1805,2.55858996212055e-08,0.0
1806,5.76333825108577e-08,5.76333825108577e-09
1807,3.701041606518629e-08,1.9928686256776018e-08
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,9.036121806360597e-08,0.0
1810,0.0,0.0
1811,2.2563691359778204e-08,1.0028307073639553e-08
1812,7.734903562095496e-08,0.0
1813,3.738464116054274e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,6.47333635583891e-08,0.0
1816,6.489290882427667e-08,0.0
1817,6.227493543065066e-08,1.556873407970727e-09
1818,5.6029534789558966e-08,1.0729059418679299e-08
1819,5.3825459644940565e-08,1.035105001712111e-09
1820,5.458581142647745e-08,1.1866481131050932e-09
1821,4.437669787193954e-08,2.9584463767662328e-09
1822,3.709477880420309e-08,1.0025615893027862e-09
1823,8.597937295462543e-08,9.882686891060644e-10
1824,1.431589158329416e-08,8.421112696055388e-10
1825,4.402721387464226e-08,1.0566531649658373e-08
1826,3.2589543508265706e-08,4.403992281964975e-09
1827,4.977327350275118e-08,0.0
1828,7.796455747666187e-08,2.7516904310687096e-09
1829,8.74463985667262e-08,8.57317605795771e-10
1830,8.975678866818271e-08,2.0873671680021744e-09
1831,1.0134284167406804e-07,9.354723218280014e-09
1832,7.712082350508354e-08,1.488296597074168e-08
1833,1.0077756940063409e-07,1.1583628500844156e-09
1834,6.534171492766916e-08,8.401078055442213e-09
1835,9.22696727911898e-08,6.050470346963266e-09
1836,8.064900214321824e-08,8.064899859050456e-09
1837,5.98378591121218e-08,3.478945576063097e-09
1838,5.491580878924651e-08,3.1560809521380406e-09
1839,7.410963576148788e-08,4.894032734625853e-09
1840,4.522479102320176e-08,3.1848443882154243e-09
1841,1.2776891367138887e-07,5.778493683550323e-09
1842,1.0934471816881342e-07,4.695785538189057e-09
1843,1.12231310578359e-07,1.7720733325177207e-08
1844,5.982531897652521e-08,9.330554107123135e-09
1845,9.542189938205325e-08,8.37034175305007e-09
1846,8.489026570579483e-08,2.3418005312692003e-09
1847,9.923531685274156e-08,2.6966118227278457e-09
1848,7.401604307233356e-08,8.045221711050488e-10
1849,8.46320900027564e-08,1.5920887719289567e-08
1850,6.585326417507531e-08,7.467895635215882e-09
1851,1.2253933023842478e-07,7.094382858952031e-09
1852,9.244974408240125e-08,3.320378283433456e-08
1853,1.51089874611543e-07,5.3747388761848924e-09
1854,1.0858938620517122e-07,5.7152309551611324e-09
1855,1.1409914790760922e-07,2.653468555990912e-09
1856,8.749449492695405e-08,1.1389816201301528e-08
1857,8.445010735158576e-08,7.810414537345878e-09
1858,1.1206518024664547e-07,1.9574704079872163e-09
1859,1.0999094257613251e-07,9.165912473463322e-09
1860,1.4006183368664438e-07,1.2358396972445007e-08
1861,1.145979169336897e-07,1.5091083938045813e-08
1862,9.71367060120798e-08,6.325180823552046e-09
1863,1.438450851765083e-07,3.496234635136375e-09
1864,1.0596348687386126e-07,1.3904711160250827e-08
1865,9.272483147970689e-08,1.5061901947888146e-08
1866,1.4694151673211309e-07,9.244664589402873e-09
1867,1.8246570654412153e-07,9.220341823379385e-09
1868,1.101591902141763e-07,3.951899252285784e-09
1869,1.3380842300847462e-07,9.278686263769487e-09
1870,1.2614907518582186e-07,1.204150201772336e-08
1871,1.1470871097429836e-07,1.0621176826930423e-08
1872,1.3666987275229303e-07,1.3304146229131675e-08
1873,1.6461511753718128e-07,4.190203295451056e-09
