year,posant_VERB en_ADP,posant_VERB dans_ADP
1800,9.432493897065797e-09,4.087413785214267e-08
1801,6.667311436281409e-08,7.143547975374531e-09
1802,2.9091921760482364e-08,3.3567602031325805e-08
1803,2.7304748240197796e-08,2.9255089017965474e-08
1804,2.7190360185613827e-08,1.730295728918918e-08
1805,3.4114531644036106e-08,5.685755422035754e-09
1806,2.881669125542885e-09,8.645007376628655e-09
1807,1.7081731584767113e-08,8.540865792383556e-09
1808,5.6651849433819734e-08,1.8128592405020072e-08
1809,1.8072244145628247e-08,4.518061036407062e-09
1810,1.0764583180389309e-07,0.0
1811,1.0028307073639553e-08,0.0
1812,2.1337665856435706e-08,5.3344164641089264e-09
1813,1.8979895344273245e-07,1.4378708002027452e-08
1814,2.5173417128598885e-08,3.1466771410748606e-09
1815,1.213750626671839e-07,0.0
1816,6.952811304472561e-08,1.8540831092650478e-08
1817,6.07180652423267e-08,1.556873407970727e-09
1818,7.271917934481564e-08,1.0729059418679299e-08
1819,5.693077564927762e-08,4.140420006848444e-09
1820,2.7292905713238724e-08,1.1866481131050932e-08
1821,6.015507914014506e-08,2.366757179128598e-08
1822,6.416394171537831e-08,1.0025615893027862e-08
1823,3.755421085216426e-08,1.482403011454636e-08
1824,2.273700339117113e-08,9.263223965660927e-09
1825,6.163810262194147e-08,4.0505039766713935e-08
1826,9.424542912750411e-08,5.2847905607222856e-08
1827,9.862482297506858e-08,1.3825909306319772e-08
1828,8.255071048957063e-08,2.935136400594729e-08
1829,9.773420561742796e-08,1.7146351893870815e-08
1830,9.393152433645469e-08,2.7135772739939057e-08
1831,1.2940700400143612e-07,1.7150327380477393e-08
1832,1.1906373131864711e-07,4.058990654698391e-08
1833,9.035230275067363e-08,2.4325620517906543e-08
1834,1.0548020235034983e-07,3.733812548034621e-08
1835,1.4369867074037757e-07,3.403389570166837e-08
1836,1.3844745572200168e-07,2.4866775305554256e-08
1837,1.308083459328202e-07,2.713577429425129e-08
1838,1.0225702595789699e-07,4.7341213615936795e-08
1839,1.3703291845690302e-07,6.432156851587933e-08
1840,1.808991578755581e-07,5.796416768788504e-08
1841,1.669342641896776e-07,2.8250413564023802e-08
1842,1.7173157873529021e-07,4.360372329870188e-08
1843,1.884304643984258e-07,4.548321375086317e-08
1844,1.8880651092567646e-07,4.39084892889241e-08
1845,2.3827573425450055e-07,4.74319382659516e-08
1846,2.0842024328615594e-07,6.030136479040493e-08
1847,2.362232010000298e-07,4.206714621091123e-08
1848,2.099802829391706e-07,3.861706332486392e-08
1849,2.81548352631944e-07,2.5976186757148412e-08
1850,2.640919438690048e-07,5.838536676350259e-08
1851,2.0122249133613934e-07,6.836405064269968e-08
1852,2.102906160317275e-07,2.929745512858517e-08
1853,2.257390159243755e-07,4.5386680858072737e-08
1854,2.187374681383858e-07,2.5978323159314698e-08
1855,1.9688737395995304e-07,5.200798369742188e-08
1856,1.8430794024304475e-07,4.193523395201737e-08
1857,1.747580251620917e-07,2.4407545651250473e-08
1858,2.451731730968021e-07,3.6213201770607384e-08
1859,2.8312484712245123e-07,3.8700516569178944e-08
1860,2.1329676708203849e-07,2.6089947979812678e-08
1861,1.9335451284518967e-07,4.055728669571934e-08
1862,2.164115447400583e-07,2.2589931841787703e-08
1863,2.2675578037478772e-07,4.6449973312157056e-08
1864,1.9226859193643975e-07,4.554991539507114e-08
1865,1.9250993910091552e-07,4.3773653146672586e-08
1866,1.5813241527329325e-07,2.4328065451051373e-08
1867,1.5820165799595998e-07,3.736664666575962e-08
1868,2.0204084894004382e-07,5.532658775564414e-08
1869,2.0706121484082018e-07,3.4184633235234685e-08
1870,2.373896239582507e-07,4.587239077480376e-08
1871,1.7631154802799642e-07,5.735435593123839e-08
1872,1.6932549384840456e-07,4.23313738506792e-08
1873,1.999325533463825e-07,2.5141219217594823e-08
1874,1.953697144063682e-07,5.138163849949251e-08
1875,1.882382374418512e-07,5.8359576282640546e-08
1876,2.019368965378021e-07,4.836811684505449e-08
